dose,dic
0.75,2.0
0.75,4.0
0.75,0.0
0.75,2.0
0.75,3.0
0.75,3.0
0.75,2.0
0.75,2.0
0.75,0.0
0.75,3.0
0.75,3.0
0.75,5.0
0.75,4.0
0.75,4.0
0.75,
0.75,2.0
0.75,3.0
0.75,2.0
0.75,3.0
0.75,4.0
0.75,4.0
0.75,4.0
0.75,1.0
0.75,2.0
0.75,4.0
0.75,4.0
0.75,0.0
0.75,1.0
0.75,0.0
0.75,5.0
0.75,3.0
0.75,2.0
0.75,3.0
0.75,2.0
0.75,4.0
0.75,5.0
0.75,6.0
0.75,6.0
0.75,5.0
0.75,2.0
0.75,4.0
0.75,6.0
0.75,2.0
0.75,2.0
0.75,0.0
0.75,0.0
0.75,2.0
0.75,0.0
0.75,0.0
0.75,2.0
0.75,4.0
0.75,3.0
0.75,0.0
0.75,6.0
0.75,3.0
0.75,0.0
0.75,3.0
0.75,3.0
0.75,4.0
0.75,4.0
0.75,6.0
0.75,1.0
0.75,4.0
0.75,3.0
0.75,0.0
0.75,2.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,3.0
0.75,3.0
0.75,7.0
0.75,3.0
0.75,2.0
0.75,2.0
0.75,5.0
0.75,3.0
0.75,1.0
0.75,3.0
0.75,3.0
0.75,2.0
0.75,3.0
0.75,2.0
0.75,1.0
0.75,1.0
0.75,2.0
0.75,5.0
0.75,5.0
0.75,2.0
0.75,2.0
0.75,4.0
0.75,
0.75,2.0
0.75,3.0
0.75,3.0
0.75,2.0
0.75,1.0
0.75,4.0
0.75,4.0
0.75,3.0
0.75,3.0
0.75,4.0
0.75,5.0
0.75,2.0
0.75,3.0
0.75,7.0
0.75,4.0
0.75,2.0
0.75,2.0
0.75,4.0
0.75,3.0
0.75,4.0
0.75,4.0
0.75,4.0
0.75,2.0
0.75,3.0
0.75,2.0
0.75,3.0
0.75,3.0
0.75,6.0
0.75,2.0
0.75,5.0
0.75,3.0
0.75,3.0
0.75,2.0
0.75,3.0
0.75,3.0
0.75,4.0
0.75,3.0
0.75,5.0
0.75,0.0
0.75,5.0
0.75,5.0
0.75,4.0
0.75,4.0
0.75,1.0
0.75,0.0
0.75,5.0
0.75,3.0
0.75,
0.75,4.0
0.75,3.0
0.75,4.0
0.75,
0.75,2.0
0.75,4.0
0.75,3.0
0.75,3.0
0.75,1.0
0.75,2.0
0.75,1.0
0.75,4.0
0.75,2.0
0.75,3.0
0.75,4.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,6.0
0.75,7.0
0.75,4.0
0.75,3.0
0.75,4.0
0.75,3.0
0.75,3.0
0.75,3.0
0.75,5.0
0.75,2.0
0.75,0.0
0.75,3.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,0.0
0.75,3.0
0.75,3.0
0.75,3.0
0.75,4.0
0.75,2.0
0.75,1.0
0.75,2.0
0.75,3.0
0.75,4.0
0.75,4.0
0.75,0.0
0.75,3.0
0.75,1.0
0.75,4.0
0.75,3.0
0.75,3.0
0.75,2.0
0.75,2.0
0.75,5.0
0.75,3.0
0.75,3.0
0.75,6.0
0.75,1.0
0.75,5.0
0.75,4.0
0.75,3.0
1.5,6.0
1.5,6.0
1.5,6.0
1.5,4.0
1.5,4.0
1.5,5.0
1.5,0.0
1.5,3.0
1.5,0.0
1.5,5.0
1.5,8.0
1.5,8.0
1.5,6.0
1.5,6.0
1.5,4.0
1.5,7.0
1.5,0.0
1.5,4.0
1.5,5.0
1.5,4.0
1.5,3.0
1.5,5.0
1.5,3.0
1.5,0.0
1.5,0.0
1.5,2.0
1.5,3.0
1.5,7.0
1.5,6.0
1.5,4.0
1.5,4.0
1.5,2.0
1.5,7.0
1.5,7.0
1.5,0.0
1.5,0.0
1.5,0.0
1.5,6.0
1.5,3.0
1.5,4.0
1.5,5.0
1.5,5.0
1.5,0.0
1.5,3.0
1.5,3.0
1.5,5.0
1.5,0.0
1.5,4.0
1.5,3.0
1.5,0.0
1.5,5.0
1.5,0.0
1.5,4.0
1.5,6.0
1.5,5.0
1.5,7.0
1.5,6.0
1.5,5.0
1.5,7.0
1.5,4.0
1.5,6.0
1.5,4.0
1.5,2.0
1.5,0.0
1.5,2.0
1.5,4.0
1.5,5.0
1.5,5.0
1.5,5.0
1.5,4.0
1.5,2.0
1.5,0.0
1.5,0.0
1.5,2.0
1.5,0.0
1.5,0.0
1.5,0.0
1.5,1.0
1.5,5.0
1.5,3.0
1.5,4.0
1.5,0.0
1.5,2.0
1.5,5.0
1.5,5.0
1.5,0.0
1.5,2.0
1.5,0.0
1.5,0.0
1.5,0.0
1.5,8.0
1.5,5.0
1.5,2.0
1.5,2.0
1.5,5.0
1.5,2.0
1.5,0.0
1.5,0.0
1.5,5.0
1.5,4.0
1.5,5.0
1.5,2.0
1.5,0.0
1.5,5.0
1.5,0.0
1.5,4.0
1.5,5.0
1.5,3.0
1.5,5.0
1.5,5.0
1.5,0.0
1.5,4.0
1.5,6.0
1.5,5.0
1.5,3.0
1.5,5.0
1.5,6.0
1.5,5.0
1.5,3.0
1.5,0.0
1.5,0.0
1.5,0.0
1.5,0.0
1.5,5.0
1.5,6.0
1.5,4.0
1.5,4.0
1.5,4.0
1.5,5.0
1.5,3.0
1.5,1.0
1.5,1.0
1.5,5.0
1.5,2.0
1.5,3.0
1.5,4.0
1.5,3.0
1.5,2.0
1.5,4.0
1.5,5.0
1.5,4.0
1.5,5.0
1.5,0.0
1.5,4.0
1.5,5.0
1.5,1.0
1.5,2.0
1.5,3.0
1.5,0.0
1.5,4.0
1.5,4.0
1.5,5.0
1.5,3.0
1.5,4.0
1.5,3.0
1.5,3.0
1.5,3.0
1.5,2.0
1.5,4.0
1.5,4.0
1.5,0.0
1.5,0.0
1.5,5.0
1.5,2.0
1.5,4.0
1.5,5.0
1.5,5.0
1.5,3.0
1.5,6.0
1.5,5.0
1.5,5.0
1.5,7.0
1.5,3.0
1.5,7.0
1.5,7.0
1.5,3.0
1.5,3.0
1.5,6.0
1.5,6.0
1.5,5.0
1.5,3.0
1.5,2.0
1.5,7.0
1.5,7.0
1.5,4.0
1.5,5.0
1.5,0.0
1.5,5.0
1.5,4.0
1.5,5.0
1.5,5.0
1.5,4.0
1.5,4.0
1.5,7.0
1.5,7.0
1.5,0.0
1.5,0.0
1.5,5.0
1.5,6.0
1.5,5.0
3.0,6.0
3.0,5.0
3.0,7.0
3.0,6.0
3.0,5.0
3.0,4.0
3.0,6.0
3.0,8.0
3.0,4.0
3.0,7.0
3.0,7.0
3.0,7.0
3.0,6.0
3.0,4.0
3.0,5.0
3.0,6.0
3.0,7.0
3.0,2.0
3.0,5.0
3.0,5.0
3.0,6.0
3.0,4.0
3.0,0.0
3.0,0.0
