Dataset,Model,Link,Row,Col,Value,CovarianceStatus
C2,Poisson,identity,0,0,0.0004931797198028673,inverse
C2,Poisson,identity,0,1,-0.0005079312894182115,inverse
C2,Poisson,identity,0,2,9.330764028347479e-05,inverse
C2,Poisson,identity,1,0,-0.0005079312894182115,inverse
C2,Poisson,identity,1,1,0.0005633312008902278,inverse
C2,Poisson,identity,1,2,-0.00010730992011580414,inverse
C2,Poisson,identity,2,0,9.330764028347479e-05,inverse
C2,Poisson,identity,2,1,-0.00010730992011580414,inverse
C2,Poisson,identity,2,2,2.1593095470733154e-05,inverse
C2,Poisson,log,0,0,0.02010349204229995,inverse
C2,Poisson,log,0,1,-0.013777467800050344,inverse
C2,Poisson,log,0,2,0.002020550857650891,inverse
C2,Poisson,log,1,0,-0.013777467800050344,inverse
C2,Poisson,log,1,1,0.010666697854549182,inverse
C2,Poisson,log,1,2,-0.0016566445268702548,inverse
C2,Poisson,log,2,0,0.002020550857650891,inverse
C2,Poisson,log,2,1,-0.0016566445268702548,inverse
C2,Poisson,log,2,2,0.00026634113535398883,inverse
C2,NB,identity,0,0,0.0010316391499484107,inverse
C2,NB,identity,0,1,-0.001140538344616437,inverse
C2,NB,identity,0,2,0.0002227023180348046,inverse
C2,NB,identity,0,3,-1.79307803333943e-05,inverse
C2,NB,identity,1,0,-0.001140538344616437,inverse
C2,NB,identity,1,1,0.0013320660608448424,inverse
C2,NB,identity,1,2,-0.000269125529668699,inverse
C2,NB,identity,1,3,2.0895932787037524e-05,inverse
C2,NB,identity,2,0,0.0002227023180348046,inverse
C2,NB,identity,2,1,-0.000269125529668699,inverse
C2,NB,identity,2,2,5.8053348746615585e-05,inverse
C2,NB,identity,2,3,-4.2593189326081075e-06,inverse
C2,NB,identity,3,0,-1.79307803333943e-05,inverse
C2,NB,identity,3,1,2.0895932787037524e-05,inverse
C2,NB,identity,3,2,-4.2593189326081075e-06,inverse
C2,NB,identity,3,3,0.0049987098937635,inverse
C2,NB,log,0,0,0.037432202610185594,inverse
C2,NB,log,0,1,-0.02837832722682028,inverse
C2,NB,log,0,2,0.00440265344683843,inverse
C2,NB,log,0,3,-0.0001877690337575522,inverse
C2,NB,log,1,0,-0.02837832722682028,inverse
C2,NB,log,1,1,0.024247362772734635,inverse
C2,NB,log,1,2,-0.003968327698189403,inverse
C2,NB,log,1,3,0.00016260134887977317,inverse
C2,NB,log,2,0,0.00440265344683843,inverse
