Dataset,Model,Link,Row,Col,Value
C2,Poisson,identity,0,0,-40211.06416082996
C2,Poisson,identity,0,1,-59201.057871263125
C2,Poisson,identity,0,2,-120448.74642114433
C2,Poisson,identity,1,0,-59201.057871263125
C2,Poisson,identity,1,1,-120448.74642114433
C2,Poisson,identity,1,2,-342768.5648072337
C2,Poisson,identity,2,0,-120448.74642114433
C2,Poisson,identity,2,1,-342768.5648072337
C2,Poisson,identity,2,2,-1229266.9682302016
C2,Poisson,log,0,0,-1356.9999699157506
C2,Poisson,log,0,1,-4529.99995008093
C2,Poisson,log,0,2,-17881.99995711632
C2,Poisson,log,1,0,-4529.99995008093
C2,Poisson,log,1,1,-17881.99995711632
C2,Poisson,log,1,2,-76860.15923506788
C2,Poisson,log,2,0,-17881.99995711632
C2,Poisson,log,2,1,-76860.15923506788
C2,Poisson,log,2,2,-346166.84973857936
C2,NB,identity,0,0,-25730.85230712118
C2,NB,identity,0,1,-32946.9749300762
C2,NB,identity,0,2,-54028.824958433266
C2,NB,identity,0,3,-0.6086538230071756
C2,NB,identity,1,0,-32946.9749300762
C2,NB,identity,1,1,-54028.824958433266
C2,NB,identity,1,2,-124078.28852231085
C2,NB,identity,1,3,1.9462464417949406
C2,NB,identity,2,0,-54028.824958433266
C2,NB,identity,2,1,-124078.28852231085
C2,NB,identity,2,2,-385168.21490578196
C2,NB,identity,2,3,-3.3211938776439567
C2,NB,identity,3,0,-0.6086538230071756
C2,NB,identity,3,1,1.9462464417949406
C2,NB,identity,3,2,-3.3211938776439567
C2,NB,identity,3,3,-200.0647666199832
C2,NB,log,0,0,-532.4357829924293
C2,NB,log,0,1,-1466.9503645321493
C2,NB,log,0,2,-5155.829413828021
C2,NB,log,0,3,0.12368498458053834
C2,NB,log,1,0,-1466.9503645321493
C2,NB,log,1,1,-5155.829413828021
C2,NB,log,1,2,-20760.74144609193
C2,NB,log,1,3,1.4969479236024616
C2,NB,log,2,0,-5155.829413828021
C2,NB,log,2,1,-20760.74144609193
C2,NB,log,2,2,-89982.33825914783
C2,NB,log,2,3,0.06015594210462183
C2,NB,log,3,0,0.12368498458053834
C2,NB,log,3,1,1.4969479236024616
C2,NB,log,3,2,0.06015594210462183
C2,NB,log,3,3,-200.17268074947933
C2,ZIP,identity,0,0,-3709.333808721077
C2,ZIP,identity,0,1,-4641.315443180786
C2,ZIP,identity,0,2,-7348.873899720997
C2,ZIP,identity,0,3,696.0298819364135
C2,ZIP,identity,0,4,1023.9259694533083
C2,ZIP,identity,1,0,-4641.315443180786
C2,ZIP,identity,1,1,-7348.873899720997
C2,ZIP,identity,1,2,-16354.005704319836
C2,ZIP,identity,1,3,1023.9259694533083
C2,ZIP,identity,1,4,1927.7166024849619
C2,ZIP,identity,2,0,-7348.873899720997
C2,ZIP,identity,2,1,-16354.005704319836
C2,ZIP,identity,2,2,-50147.275913034224
C2,ZIP,identity,2,3,1927.7166024849619
C2,ZIP,identity,2,4,4667.189388649104
C2,ZIP,identity,3,0,696.0298819364135
C2,ZIP,identity,3,1,1023.9259694533083
C2,ZIP,identity,3,2,1927.7166024849619
C2,ZIP,identity,3,3,-453.4926916292801
C2,ZIP,identity,3,4,-1370.8954380202065
C2,ZIP,identity,4,0,1023.9259694533083
C2,ZIP,identity,4,1,1927.7166024849619
C2,ZIP,identity,4,2,4667.189388649104
C2,ZIP,identity,4,3,-1370.8954380202065
C2,ZIP,identity,4,4,-5001.985649656665
C2,ZIP,log,0,0,-1075.4150967766343
C2,ZIP,log,0,1,-3635.9709886049764
C2,ZIP,log,0,2,-14638.429804165145
C2,ZIP,log,0,3,322.37684469773643
C2,ZIP,log,0,4,705.3734598596923
C2,ZIP,log,1,0,-3635.9709886049764
C2,ZIP,log,1,1,-14638.429804165145
C2,ZIP,log,1,2,-64098.70420132327
C2,ZIP,log,1,3,705.3734598596923
C2,ZIP,log,1,4,1962.7697523392371
C2,ZIP,log,2,0,-14638.429804165145
C2,ZIP,log,2,1,-64098.70420132327
C2,ZIP,log,2,2,-293153.6683737632
C2,ZIP,log,2,3,1962.7697523392371
C2,ZIP,log,2,4,6461.5477395498
C2,ZIP,log,3,0,322.37684469773643
C2,ZIP,log,3,1,705.3734598596923
C2,ZIP,log,3,2,1962.7697523392371
C2,ZIP,log,3,3,-451.3547185152915
C2,ZIP,log,3,4,-1366.917293590034
C2,ZIP,log,4,0,705.3734598596923
C2,ZIP,log,4,1,1962.7697523392371
C2,ZIP,log,4,2,6461.5477395498
C2,ZIP,log,4,3,-1366.917293590034
