Dataset,Model,Link,Log-Likelihood_analytical,Log-Likelihood_legacy,Delta_LogLik,AIC_analytical,AIC_legacy,Delta_AIC,BIC_analytical,BIC_legacy,Delta_BIC,success,grad_norm_inf
C2,ZIP,identity,-2843.3676581344034,-3517.6910353189724,674.3233771845689,5696.735316268807,7045.382070637945,-1348.6467543691379,5729.887925652423,7078.534680021561,-1348.6467543691379,True,0.0001085160879168
C3,ZIP,identity,-3081.209367793103,-3463.7057458319305,382.4963780388275,6172.418735586206,6937.411491663861,-764.992756077655,6204.365534685738,6969.358290763393,-764.992756077655,True,0.0010533109585608
C3,ZIP,log,-3081.331619577849,-3462.2824966056496,380.95087702780074,6172.663239155698,6934.564993211299,-761.9017540556015,6204.6100382552295,6966.511792310831,-761.9017540556015,True,0.0016788560767935
C2,ZINB,identity,-2843.366453431804,-2939.450939997182,96.08448656537803,5698.732906863608,5890.901879994364,-192.16897313075606,5738.516038123948,5930.685011254704,-192.16897313075515,True,0.1302815027040722
H2AX4H100,ZIP,identity,-1223.251144101269,-1305.534920797685,82.283776696416,2454.502288202538,2619.0698415953693,-164.56755339283154,2472.063250870799,2636.6308042636306,-164.56755339283154,True,2.9533856710450838e-05
H2AX4H100,ZIP,log,-1224.5668501208895,-1305.4081288490204,80.84127872813087,2457.1337002417795,2618.8162576980408,-161.6825574562613,2474.6946629100407,2636.377220366302,-161.6825574562613,True,2.308722706256816e-05
H2AX4H100,ZINB,identity,-1223.2510591754385,-1302.652670749596,79.40161157415741,2456.502118350877,2615.305341499192,-158.80322314831483,2478.453321686204,2637.2565448345185,-158.80322314831437,True,0.0001485686323411
H2AX4H100,ZINB,log,-1224.566459949982,-1302.5439213726977,77.9774614227158,2459.132919899964,2615.0878427453954,-155.9549228454316,2481.0841232352905,2637.039046080722,-155.9549228454316,True,9.165895880423687e-05
C3,ZINB,log,-3080.9386209824074,-3153.542256684831,72.60363570242362,6173.877241964815,6319.084513369662,-145.20727140484723,6212.213400884253,6357.4206722891,-145.20727140484723,True,0.0009581277051324
C3,ZINB,identity,-3080.6803349860043,-3152.4296287522675,71.74929376626324,6173.3606699720085,6316.859257504535,-143.49858753252647,6211.696828891447,6355.195416423973,-143.49858753252647,True,0.0028248272219286
H2AX1H60,P+NB,identity,-1170.622009954236,-1165.4372147092795,-5.184795244956604,2353.244019908472,2342.874429418559,10.369590489913207,2379.615589497165,2369.245999007252,10.369590489912753,True,11.503255821979868
C2,ZIP--ZINB,log,-2838.556823198372,-2843.668416435875,5.111593237502802,5701.113646396743,5711.33683287175,-10.223186475006514,5780.679908917422,5790.903095392428,-10.223186475006514,True,0.1801210934374353
C2,Z+P+NB,log,-2839.7225429911878,-2843.700187776399,3.977644785211396,5699.445085982375,5709.400375552798,-9.955289570423702,5765.750304749607,5782.336116196754,-16.585811447147535,True,0.0551579754660735
H2AX1H60,Z+P+NB,identity,-1165.9816830345585,-1162.3865949650065,-3.595088069552048,2347.963366069117,2342.773189930013,5.190176139104096,2383.1254588540405,2382.330544313052,0.7949145409884295,True,0.0067163288264768
C2,ZIP--ZINB,identity,-2839.9729328000985,-2843.3677014092204,3.394768609121911,5703.945865600197,5710.735402818441,-6.789537218243822,5783.512128120876,5790.30166533912,-6.789537218243822,True,50.49377578918144
C2,P+NB,log,-2842.9132065629765,-2846.2247982367776,3.3115916738011038,5701.826413125953,5708.449596473555,-6.6231833476022075,5754.870588139739,5761.493771487341,-6.6231833476022075,True,0.0023313218985663
H2AX4H100,ZIP--ZINB,log,-1222.1553959162636,-1224.5678421288353,2.4124462125716946,2464.3107918325272,2469.1356842576706,-4.824892425143389,2508.2131985031806,2513.038090928324,-4.824892425143389,True,0.0253198004912031
C3,ZIP--ZINB,log,-3077.0638907414955,-3078.2778016824973,1.2139109410018136,6178.127781482991,6180.555603364995,-2.4278218820036273,6254.800099321868,6257.227921203871,-2.4278218820027178,True,0.0040922996265351
C3,ZIP--ZINB,identity,-3078.3765748787155,-3079.334103937604,0.9575290588886674,6180.753149757431,6182.668207875207,-1.9150581177764252,6257.425467596308,6259.340525714084,-1.9150581177755157,True,155.54775704140474
C3,Z+P+NB,identity,-3079.3201117552044,-3080.011775032436,0.6916632772317826,6178.640223510409,6182.023550064871,-3.3833265544626556,6242.533821709472,6252.306508083841,-9.772686374369187,True,0.0005957595737271
