Dataset,Model,Link,Index,Value,SE,CovarianceStatus
C2,Poisson,identity,0,0.0008700876676471621,0.02220765002882717,inverse
C2,Poisson,identity,1,0.06847109823885068,0.023734599235930395,inverse
C2,Poisson,identity,2,0.012548503117312917,0.004646837146999361,inverse
C2,Poisson,log,0,-3.3007957045916942,0.14178678373635517,inverse
C2,Poisson,log,1,0.9182560965351311,0.10327970688644107,inverse
C2,Poisson,log,2,-0.06824313332664712,0.016319961254671802,inverse
C2,NB,identity,0,-0.007692744934697842,0.03211913993164217,inverse
C2,NB,identity,1,0.07847259061608003,0.03649748019856772,inverse
C2,NB,identity,2,0.010497368121445501,0.007619274817632947,inverse
C2,NB,identity,3,1.6028069743206297,0.07070155510145092,inverse
C2,NB,log,0,-3.3726602149761,0.1934740360104828,inverse
C2,NB,log,1,0.980883060391854,0.15571564716731146,inverse
C2,NB,log,2,-0.07859230831839123,0.025969641472199077,inverse
C2,NB,log,3,1.605151272721056,0.07068789587679213,inverse
C2,ZIP,identity,0,0.10613625600670763,0.08784046403529223,inverse
C2,ZIP,identity,1,-0.0006174176807554691,0.10429060485447605,inverse
C2,ZIP,identity,2,0.12864398951775113,0.021640055197537585,inverse
C2,ZIP,identity,3,0.42159133973521523,0.19516548724582583,inverse
C2,ZIP,identity,4,0.20527606839951545,0.05071162035226957,inverse
C2,ZIP,log,0,-2.421423429616787,0.22359807084530253,inverse
C2,ZIP,log,1,1.083332719512604,0.13470119965514782,inverse
C2,ZIP,log,2,-0.07100371393310247,0.019808688857825666,inverse
C2,ZIP,log,3,0.42399319639163885,0.20219747617092668,inverse
C2,ZIP,log,4,0.20187899486786087,0.05215736617084599,inverse
C2,ZINB,identity,0,0.10644235548909967,0.08784687104337921,singular_pinv_rank_5_of_6
C2,ZINB,identity,1,-0.0008560231425459048,0.10427805426848238,singular_pinv_rank_5_of_6
C2,ZINB,identity,2,0.12868039569638118,0.021637963366552177,singular_pinv_rank_5_of_6
C2,ZINB,identity,3,0.4220109298770167,0.19519191566853666,singular_pinv_rank_5_of_6
C2,ZINB,identity,4,0.2051677004837848,0.05071769010476674,singular_pinv_rank_5_of_6
C2,ZINB,identity,5,-19.4600979036383,1.183639412650464e-09,singular_pinv_rank_5_of_6
C2,ZINB,log,0,-2.421412710218758,0.22359819036786516,singular_pinv_rank_5_of_6
C2,ZINB,log,1,1.0833282969959088,0.13470123238692602,singular_pinv_rank_5_of_6
C2,ZINB,log,2,-0.07100326818351432,0.019808689739775582,singular_pinv_rank_5_of_6
C2,ZINB,log,3,0.423998787593293,0.20219739035570608,singular_pinv_rank_5_of_6
C2,ZINB,log,4,0.2018775501883561,0.05215734890376461,singular_pinv_rank_5_of_6
C2,ZINB,log,5,-19.976178012664242,1.2365013068642642e-09,singular_pinv_rank_5_of_6
C2,P+NB,identity,0,-1.366375119336655,0.09842512420334795,inverse
C2,P+NB,identity,1,-0.05685266832186386,0.20717118597944043,inverse
C2,P+NB,identity,2,0.21024867187865273,0.1748330933782439,inverse
C2,P+NB,identity,3,0.09409088507501795,0.03188529953635059,inverse
C2,P+NB,identity,4,0.027128640077691543,0.046994725718538286,inverse
C2,P+NB,identity,5,0.016927134927091123,0.03714544370329088,inverse
C2,P+NB,identity,6,-0.004437811119361431,0.005676457479513686,inverse
C2,P+NB,identity,7,1.6966015572984996,0.6853017558948182,inverse
C2,P+NB,log,0,-1.3401181000991673,0.07994475316112251,inverse
C2,P+NB,log,1,-2.1956263950063866,0.3827952231678203,inverse
C2,P+NB,log,2,0.9797329936555543,0.21654458014471098,inverse
C2,P+NB,log,3,-0.05896315227805252,0.02967309608387673,inverse
C2,P+NB,log,4,-6.594599220109564,1.4758512110377826,inverse
C2,P+NB,log,5,3.975781073096487,1.409038796710067,inverse
C2,P+NB,log,6,-0.9362641388642308,0.3537643944851768,inverse
C2,P+NB,log,7,2.13512547152108,0.36166700002645646,inverse
C2,Z+P+NB,identity,0,1.3786349799275346,0.6690209125629971,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,0.10125950551662216,0.11360166648263963,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,-0.0014386219405871045,0.15067102567780413,indefinite_pinv_rank_8_of_10
