Data,Dataset,Model,Link,rho,alpha,pzip_beta_0,pzip_beta_dose,pzip_gamma_0,pzip_gamma_dose,nb_beta_0,nb_beta_dose,nb_gamma_0,nb_gamma_dose,shared_gamma_0,shared_gamma_dose,CovarianceStatus
1H60,H2AX1H60,Poisson,identity,,,1.5696162035717682,0.6202524926539857,,,,,,,,,inverse
1H60,H2AX1H60,Poisson,log,,,0.4930164137007679,0.2590759289453103,,,,,,,,,inverse
1H60,H2AX1H60,NB,identity,,1.4250841675036319,,,,,1.664098874470924,0.5593461721912923,,,,,inverse
1H60,H2AX1H60,NB,log,,1.4143366060242466,,,,,0.5354184458544105,0.2363361211427007,,,,,inverse
1H60,H2AX1H60,ZIP,identity,,,3.697942920341268,0.3758801761727716,0.3320934023558117,-0.4368393595991872,,,,,,,inverse
1H60,H2AX1H60,ZIP,log,,,1.3089123947598824,0.0902090381872022,0.3306627421058091,-0.4362015687116476,,,,,,,inverse
1H60,H2AX1H60,ZINB,identity,,0.0887070693349417,,,,,3.640040677963612,0.3755903305228271,0.3004635617762428,-0.4391296385301029,,,inverse
1H60,H2AX1H60,ZINB,log,,0.08826674902907679,,,,,1.2926826525495372,0.0917224314958578,0.2983458727281315,-0.4380427074009852,,,inverse
1H60,H2AX1H60,P+NB,identity,0.5331125164907183,1.2176288646477136,3.463282368979481,0.7382524625453196,,,-0.1652462255625737,0.2203283140834316,,,,,inverse
1H60,H2AX1H60,P+NB,log,0.5139091543723545,1.939912832190702,1.2468659405352884,0.1699873809438051,,,-6.346423233545201,2.209570382293829,,,,,inverse
1H60,H2AX1H60,Z+P+NB,identity,0.6690116028413458,2.093670838372808e-09,3.0147162814972823,0.9683184232505456,,,5.690855937317815,-1.4698882019166908,,,0.4705916008357992,-0.5746347763480109,indefinite_pinv_rank_7_of_8
1H60,H2AX1H60,Z+P+NB,log,0.6672361601279756,2.062454666469447e-09,1.100004201443951,0.23087939483893,,,2.1225326174180443,-0.6433852682847852,,,0.4732613413581263,-0.5854331662739183,singular_pinv_rank_7_of_8
1H60,H2AX1H60,ZIP--ZINB,identity,0.494204299153967,1.9072177055368478e-07,-0.2898774253096481,2.205088719371777,25.0,-11.439452125933734,5.342679547406132,-1.2583336806605512,-23.674076587685928,7.750214205485363,,,indefinite_pinv_rank_9_of_10
1H60,H2AX1H60,ZIP--ZINB,log,0.4874625799984617,2.2256797827612455e-09,-2.9152924944920446,1.590583636643353,25.0,-11.24967456276352,1.789013480172862,-0.3902519731273299,-20.820769520070822,6.81965348983994,,,indefinite_pinv_rank_7_of_10
4H100,H2AX4H100,Poisson,identity,,,2.009965478317641,1.043037819116787,,,,,,,,,inverse
4H100,H2AX4H100,Poisson,log,,,0.8475284320741096,0.2658169530890837,,,,,,,,,inverse
4H100,H2AX4H100,NB,identity,,0.04582217857011356,,,,,2.011964275061985,1.0417342205801936,,,,,inverse
4H100,H2AX4H100,NB,log,,0.0456673579118607,,,,,0.8472732116912349,0.2659532056899619,,,,,inverse
4H100,H2AX4H100,ZIP,identity,,,2.460077713588337,1.0551579094907335,-1.6350048128367107,-0.2457864120597234,,,,,,,inverse
4H100,H2AX4H100,ZIP,log,,,1.0269999668455423,0.2333273365886589,-1.6279355466582366,-0.2505666220665799,,,,,,,inverse
4H100,H2AX4H100,ZINB,identity,,5.088036807704331e-09,,,,,2.460080369195806,1.0551570765348708,-1.635004465428989,-0.2457866642172472,,,indefinite_pinv_rank_4_of_5
4H100,H2AX4H100,ZINB,log,,2.0766541220342104e-09,,,,,1.026999961900231,0.233327343742596,-1.627933140063374,-0.2505676125232006,,,singular_pinv_rank_4_of_5
4H100,H2AX4H100,P+NB,identity,0.8878175699637588,18122.503242991064,2.432268715562075,1.0663603138529292,,,9.986218613350865e-09,1.9708335045470878e-11,,,,,indefinite_pinv_rank_3_of_6
4H100,H2AX4H100,P+NB,log,0.8835284095481298,13.101246396181663,1.0191008226604774,0.237695429083545,,,-39.75880786755264,13.01174382340352,,,,,singular_pinv_rank_5_of_6
4H100,H2AX4H100,Z+P+NB,identity,0.9999999970194104,18414.406432863932,2.460077372503656,1.0551582125780714,,,-0.0029836506717267,0.0051235976743488,,,-1.6350050329225376,-0.2457860895722702,indefinite_pinv_rank_4_of_8
4H100,H2AX4H100,Z+P+NB,log,0.9999999852824404,1.6187110717123874e-05,1.026999939059822,0.233327347229844,,,1.0015656675963351,0.2246678592269439,,,-1.6279353077055312,-0.2505666796877112,singular_pinv_rank_4_of_8
4H100,H2AX4H100,ZIP--ZINB,identity,0.8861143244091031,1.1555232040572354e-06,2.449508303829153,1.0700705743619097,-4.222400954177228,0.585274003733892,5.091840021754682,0.096694916045505,25.0,-10.849671613682265,,,inverse
4H100,H2AX4H100,ZIP--ZINB,log,0.8859460972707027,7.439316274222494e-06,1.026482940053417,0.2354303871908116,-4.223132747543074,0.5848292531182085,0.7258927095275828,0.3193141854090872,25.0,-10.81895013157068,,,indefinite_pinv_rank_9_of_10
