Dataset,Link,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,decision,method
C2,identity,Poisson,ZIP--ZINB,-3526.904000784993,-2839.9729328000985,1373.862135969789,,2,1.2185991983338294e-299,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C2,identity,NB,ZIP--ZINB,-2939.450897495083,-2839.9729328000985,198.95592938996924,,2,1.7439640022438671e-44,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C2,identity,P+NB,ZIP--ZINB,-2845.6014550674854,-2839.9729328000985,11.25704453477374,,2,0.0012950775746051531,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C2,identity,ZIP,ZIP--ZINB,-2843.3676581344034,-2839.9729328000985,6.789450668609788,,1,0.004584906070124634,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
C2,identity,ZINB,ZIP--ZINB,-2843.366453431804,-2839.9729328000985,6.7870412634110835,,1,0.004591098516884935,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
C2,identity,Z+P+NB,ZIP--ZINB,-2843.2300655485983,-2839.9729328000985,6.514265496999542,2.0,0,0.03849862515831068,Reject,chi²(df=2)
C2,log,Poisson,ZIP--ZINB,-3528.696552805838,-2838.5566587972635,1380.2797880171493,,2,4.923158503187583e-301,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C2,log,NB,ZIP--ZINB,-2940.5233778138704,-2838.5566587972635,203.93343803321386,,2,1.445940864018139e-45,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C2,log,P+NB,ZIP--ZINB,-2842.9132065629765,-2838.5566587972635,8.713095531426006,,2,0.00478530590902857,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C2,log,ZIP,ZIP--ZINB,-2843.6911053579684,-2838.5566587972635,10.268893121409747,,1,0.0006764597327148784,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
C2,log,ZINB,ZIP--ZINB,-2843.690593147905,-2838.5566587972635,10.267868701283078,,1,0.0006768354460495022,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
C2,log,Z+P+NB,ZIP--ZINB,-2839.722587108766,-2838.5566587972635,2.3318566230054785,2.0,0,0.31163323499752477,Fail,chi²(df=2)
C3,identity,Poisson,ZIP--ZINB,-3466.6358733923075,-3078.3765748787155,776.5185970271841,,2,6.356573273734886e-170,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C3,identity,NB,ZIP--ZINB,-3152.429606462653,-3078.3765748787155,148.1060631678747,,2,1.951165094268732e-33,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C3,identity,P+NB,ZIP--ZINB,-3079.9558058878947,-3078.3765748787155,3.1584620183584775,,2,0.08930054462706422,Fail,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C3,identity,ZIP,ZIP--ZINB,-3081.2093677930843,-3078.3765748787155,5.665585828737676,,1,0.008650468905397465,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
C3,identity,ZINB,ZIP--ZINB,-3080.680334985858,-3078.3765748787155,4.607520214284705,,1,0.01591601635864539,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
C3,identity,Z+P+NB,ZIP--ZINB,-3079.3201117552044,-3078.3765748787155,1.8870737529778125,2.0,0,0.3892486733522844,Fail,chi²(df=2)
C3,log,Poisson,ZIP--ZINB,-3468.148246215912,-3077.063890741384,782.1687109490558,,2,3.769047445680598e-171,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C3,log,NB,ZIP--ZINB,-3153.5422421105286,-3077.063890741384,152.9567027382891,,2,1.7226637236171686e-34,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C3,log,P+NB,ZIP--ZINB,-3077.951773503597,-3077.063890741384,1.7757655244258785,,2,0.1942166106798186,Fail,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
C3,log,ZIP,ZIP--ZINB,-3081.331619577849,-3077.063890741384,8.535457672929624,,1,0.00174146869768575,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
C3,log,ZINB,ZIP--ZINB,-3080.938620982335,-3077.063890741384,7.749460481902133,,1,0.002686429496517117,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
C3,log,Z+P+NB,ZIP--ZINB,-3077.3058872727324,-3077.063890741384,0.48399306269675435,2.0,0,0.7850589006429365,Fail,chi²(df=2)
H2AX1H60,identity,Poisson,ZIP--ZINB,-1590.3284183337996,-1151.5405628805142,877.5757109065707,,2,7.203714769504102e-192,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX1H60,identity,NB,ZIP--ZINB,-1267.4561720564357,-1151.5405628805142,231.83121835184284,,2,1.2575953229356443e-51,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX1H60,identity,P+NB,ZIP--ZINB,-1170.622009954236,-1151.5405628805142,38.162894147443694,,2,1.6165298686236244e-09,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
H2AX1H60,identity,ZIP,ZIP--ZINB,-1188.3167116188392,-1151.5405628805142,73.55229747664998,,1,4.90023956660528e-18,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
H2AX1H60,identity,ZINB,ZIP--ZINB,-1180.3105819554544,-1151.5405628805142,57.540038149880274,,1,1.6558447410090496e-14,Reject,"chi-bar² heuristic; dfs=[0, 1]; weights=[0.5, 0.5]"
H2AX1H60,identity,Z+P+NB,ZIP--ZINB,-1165.9816830345585,-1151.5405628805142,28.882240308088512,2.0,0,5.349352346837428e-07,Reject,chi²(df=2)
H2AX1H60,log,Poisson,ZIP--ZINB,-1584.6951980400706,-1151.8495567739728,865.6912825321956,,2,2.7439655708436703e-189,Reject,"chi-bar² heuristic; dfs=[0, 1, 2]; weights=[0.25, 0.5, 0.25]"
