Model,Link,Dataset,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
Poisson,identity,C3,-3466.6358733923075,6939.271746784615,6958.439826244334,4400,3,True,9,0.0053535006834408,inverse,426.8099220187679,3,Optimization terminated successfully
Poisson,log,C3,-3468.148246215912,6942.296492431824,6961.464571891543,4400,3,True,12,0.000377806768256,inverse,39.13245399062382,3,Optimization terminated successfully
NB,identity,C3,-3152.429606462653,6312.859212925306,6338.416652204931,4400,4,True,11,0.0026096947527776,inverse,170.86336089169572,4,Optimization terminated successfully
NB,log,C3,-3153.5422421105286,6315.084484221057,6340.641923500682,4400,4,True,14,0.0001030410570024,inverse,24.01749605048209,4,Optimization terminated successfully
ZIP,identity,C3,-3081.2093677930843,6172.418735586169,6204.3655346857,4400,5,True,58,0.0003123021413529,inverse,15.00313646955003,5,Optimization terminated successfully
ZIP,log,C3,-3081.331619577849,6172.663239155698,6204.6100382552295,4400,5,True,16,0.0016788560767935,inverse,11.22604295057137,5,Optimization terminated successfully
ZINB,identity,C3,-3080.680334985858,6173.360669971716,6211.696828891154,4400,6,True,26,0.0018936524944663,inverse,0.8681735227450573,6,Optimization terminated successfully
ZINB,log,C3,-3080.938620982335,6173.87724196467,6212.2134008841085,4400,6,True,20,0.0004135487087779,inverse,0.6636962763716259,6,Optimization terminated successfully
P+NB,identity,C3,-3079.9558058878947,6175.911611775789,6227.02649033504,4400,8,True,51,0.0018864023492142,inverse,0.3775924161491204,8,Optimization terminated successfully
P+NB,log,C3,-3077.951773503597,6171.903547007195,6223.018425566445,4400,8,True,60,0.0017553662098919,inverse,0.1606850955663563,8,Optimization terminated successfully
Z+P+NB,identity,C3,-3079.3201117552044,6178.640223510409,6242.533821709472,4400,10,True,98,0.0005957595737271,inverse,0.0086187395345557,10,Optimization terminated successfully
Z+P+NB,log,C3,-3077.3058872727324,6174.611774545465,6238.505372744528,4400,10,True,39,0.0007188027152835,inverse,0.232898559747839,10,Optimization terminated successfully
ZIP--ZINB,identity,C3,-3078.3765748787155,6180.753149757431,6257.425467596308,4400,12,True,96,155.54775704140474,singular_pinv_rank_11_of_12,2.657674019891869e-05,11,Optimization terminated successfully
ZIP--ZINB,log,C3,-3077.063890741384,6178.127781482768,6254.800099321645,4400,12,True,247,0.0024672338164464,singular_pinv_rank_11_of_12,2.5324627478557857e-06,11,Optimization terminated successfully
