Model,Link,Dataset,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
Poisson,identity,H2AX1H60,-1590.3284183337996,3184.6568366675992,3193.44735986383,599,2,True,5,2.837368129071649e-05,inverse,52.95038890019137,2,Optimization terminated successfully
Poisson,log,H2AX1H60,-1584.6951980400706,3173.3903960801413,3182.180919276372,599,2,True,10,1.4099023767144558e-05,inverse,254.9050656917575,2,Optimization terminated successfully
NB,identity,H2AX1H60,-1267.4561720564357,2540.912344112872,2554.098128907218,599,3,True,7,5.622331663346358e-06,inverse,12.904261295899856,3,Optimization terminated successfully
NB,log,H2AX1H60,-1266.4157692032245,2538.831538406449,2552.0173232007955,599,3,True,9,2.7008691945606955e-05,inverse,64.55990369142498,3,Optimization terminated successfully
ZIP,identity,H2AX1H60,-1188.3167116188392,2384.6334232376785,2402.21446963014,599,4,True,10,2.060040489815229e-05,inverse,15.396707918770153,4,Optimization terminated successfully
ZIP,log,H2AX1H60,-1187.9872353466617,2383.9744706933234,2401.555517085785,599,4,True,10,0.0002350434617987,inverse,25.02065081867716,4,Optimization terminated successfully
ZINB,identity,H2AX1H60,-1180.3105819554544,2370.6211639109088,2392.597471901486,599,5,True,15,2.540060284150769e-05,inverse,9.387346471381235,5,Optimization terminated successfully
ZINB,log,H2AX1H60,-1180.052761102157,2370.105522204314,2392.081830194892,599,5,True,22,8.089443142644814e-05,inverse,9.526826800647877,5,Optimization terminated successfully
P+NB,identity,H2AX1H60,-1170.622009954236,2353.244019908472,2379.615589497165,599,6,True,28,11.503255821979868,inverse,0.7233564749841954,6,Optimization terminated successfully
P+NB,log,H2AX1H60,-1164.1319809356316,2340.2639618712637,2366.635531459956,599,6,True,35,8.21612958724488e-05,inverse,0.319546297784946,6,Optimization terminated successfully
Z+P+NB,identity,H2AX1H60,-1165.9816830345585,2347.963366069117,2383.1254588540405,599,8,True,40,0.0067163288264768,indefinite_pinv_rank_7_of_8,-3.157674918579176e-05,7,Optimization terminated successfully
Z+P+NB,log,H2AX1H60,-1162.5866775848929,2341.1733551697857,2376.3354479547093,599,8,True,48,0.0052858658757508,singular_pinv_rank_7_of_8,-2.009411854048478e-06,7,Optimization terminated successfully
ZIP--ZINB,identity,H2AX1H60,-1151.5405628805142,2323.0811257610285,2367.033741742183,599,10,True,49,0.0055441020693508,indefinite_pinv_rank_9_of_10,-1.0118780397825362e-05,9,Optimization terminated successfully
ZIP--ZINB,log,H2AX1H60,-1151.8495567739728,2323.6991135479457,2367.6517295291,599,10,True,73,0.1586398220050233,indefinite_pinv_rank_7_of_10,-0.0001566383416915,7,Optimization terminated successfully
