Model,Link,Dataset,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
Poisson,identity,C2,-3526.904000784993,7059.808001569986,7079.699567200156,5600,3,True,47,0.0014257970337894,inverse,946.159114186632,3,Optimization terminated successfully
Poisson,log,C2,-3528.696552805838,7063.393105611676,7083.284671241846,5600,3,True,10,4.9919070335135984e-05,inverse,33.13958464023378,3,Optimization terminated successfully
NB,identity,C2,-2939.450897495083,5886.901794990166,5913.423882497059,5600,4,True,85,0.0001233184663078,inverse,200.0397354254167,4,Optimization terminated successfully
NB,log,C2,-2940.5233778138704,5889.046755627741,5915.568843134633,5600,4,True,10,0.0011802984858491,inverse,16.512741053344662,4,Optimization terminated successfully
ZIP,identity,C2,-2843.3676581344034,5696.735316268807,5729.887925652423,5600,5,True,92,0.0001085160879168,inverse,24.107524393875813,5,Optimization terminated successfully
ZIP,log,C2,-2843.6911053579684,5697.382210715937,5730.534820099553,5600,5,True,17,0.0023533427288668,inverse,10.839117872316349,5,Optimization terminated successfully
ZINB,identity,C2,-2843.366453431804,5698.732906863608,5738.516038123948,5600,6,True,46,0.1302815027040722,singular_pinv_rank_5_of_6,-0.0002463300721482,5,Optimization terminated successfully
ZINB,log,C2,-2843.690593147905,5699.38118629581,5739.164317556149,5600,6,True,38,0.0016345520241145,singular_pinv_rank_5_of_6,-1.3398992091167669e-05,5,Optimization terminated successfully
P+NB,identity,C2,-2845.6014550674854,5707.202910134971,5760.247085148757,5600,8,True,57,0.019696234881394,inverse,2.0824384167050902,8,Optimization terminated successfully
P+NB,log,C2,-2842.9132065629765,5701.826413125953,5754.870588139739,5600,8,True,34,0.0023313218985663,inverse,0.2370916357538879,8,Optimization terminated successfully
Z+P+NB,identity,C2,-2843.2300655485983,5706.460131097197,5772.765349864429,5600,10,True,116,13.323511083121955,indefinite_pinv_rank_8_of_10,-0.491280113190595,8,Optimization terminated successfully
Z+P+NB,log,C2,-2839.722587108766,5699.445174217532,5765.750392984764,5600,10,True,64,0.0028194607477507,singular_pinv_rank_9_of_10,7.129224924989667e-07,9,Optimization terminated successfully
ZIP--ZINB,identity,C2,-2839.9729328000985,5703.945865600197,5783.512128120876,5600,12,True,122,50.49377578918144,singular_pinv_rank_11_of_12,2.5427159622937374e-06,11,Optimization terminated successfully
ZIP--ZINB,log,C2,-2838.5566587972635,5701.113317594527,5780.679580115206,5600,12,True,185,0.0726337820245817,singular_pinv_rank_10_of_12,-0.0001280379386289,10,Optimization terminated successfully
Poisson,identity,C3,-3466.6358733923075,6939.271746784615,6958.439826244334,4400,3,True,9,0.0053535006834408,inverse,426.8099220187679,3,Optimization terminated successfully
Poisson,log,C3,-3468.148246215912,6942.296492431824,6961.464571891543,4400,3,True,12,0.000377806768256,inverse,39.13245399062382,3,Optimization terminated successfully
NB,identity,C3,-3152.429606462653,6312.859212925306,6338.416652204931,4400,4,True,11,0.0026096947527776,inverse,170.86336089169572,4,Optimization terminated successfully
NB,log,C3,-3153.5422421105286,6315.084484221057,6340.641923500682,4400,4,True,14,0.0001030410570024,inverse,24.01749605048209,4,Optimization terminated successfully
ZIP,identity,C3,-3081.2093677930843,6172.418735586169,6204.3655346857,4400,5,True,58,0.0003123021413529,inverse,15.00313646955003,5,Optimization terminated successfully
ZIP,log,C3,-3081.331619577849,6172.663239155698,6204.6100382552295,4400,5,True,16,0.0016788560767935,inverse,11.22604295057137,5,Optimization terminated successfully
ZINB,identity,C3,-3080.680334985858,6173.360669971716,6211.696828891154,4400,6,True,26,0.0018936524944663,inverse,0.8681735227450573,6,Optimization terminated successfully
ZINB,log,C3,-3080.938620982335,6173.87724196467,6212.2134008841085,4400,6,True,20,0.0004135487087779,inverse,0.6636962763716259,6,Optimization terminated successfully
P+NB,identity,C3,-3079.9558058878947,6175.911611775789,6227.02649033504,4400,8,True,51,0.0018864023492142,inverse,0.3775924161491204,8,Optimization terminated successfully
P+NB,log,C3,-3077.951773503597,6171.903547007195,6223.018425566445,4400,8,True,60,0.0017553662098919,inverse,0.1606850955663563,8,Optimization terminated successfully
Z+P+NB,identity,C3,-3079.3201117552044,6178.640223510409,6242.533821709472,4400,10,True,98,0.0005957595737271,inverse,0.0086187395345557,10,Optimization terminated successfully
Z+P+NB,log,C3,-3077.3058872727324,6174.611774545465,6238.505372744528,4400,10,True,39,0.0007188027152835,inverse,0.232898559747839,10,Optimization terminated successfully
ZIP--ZINB,identity,C3,-3078.3765748787155,6180.753149757431,6257.425467596308,4400,12,True,96,155.54775704140474,singular_pinv_rank_11_of_12,2.657674019891869e-05,11,Optimization terminated successfully
ZIP--ZINB,log,C3,-3077.063890741384,6178.127781482768,6254.800099321645,4400,12,True,247,0.0024672338164464,singular_pinv_rank_11_of_12,2.5324627478557857e-06,11,Optimization terminated successfully
Poisson,identity,H2AX1H60,-1590.3284183337996,3184.6568366675992,3193.44735986383,599,2,True,5,2.837368129071649e-05,inverse,52.95038890019137,2,Optimization terminated successfully
Poisson,log,H2AX1H60,-1584.6951980400706,3173.3903960801413,3182.180919276372,599,2,True,10,1.4099023767144558e-05,inverse,254.9050656917575,2,Optimization terminated successfully
NB,identity,H2AX1H60,-1267.4561720564357,2540.912344112872,2554.098128907218,599,3,True,7,5.622331663346358e-06,inverse,12.904261295899856,3,Optimization terminated successfully
NB,log,H2AX1H60,-1266.4157692032245,2538.831538406449,2552.0173232007955,599,3,True,9,2.7008691945606955e-05,inverse,64.55990369142498,3,Optimization terminated successfully
ZIP,identity,H2AX1H60,-1188.3167116188392,2384.6334232376785,2402.21446963014,599,4,True,10,2.060040489815229e-05,inverse,15.396707918770153,4,Optimization terminated successfully
