Scenario,Dataset,Rep,Count,Observed,Expected,RootogramDiff
D3,Dataset 3,0,0,3224.0,3224.236047487322,-0.0020785664855011987
D3,Dataset 3,0,1,152.0,145.0072956124866,0.2869304971361686
D3,Dataset 3,0,2,180.0,173.6761046431953,0.2377848472781352
D3,Dataset 3,0,3,165.0,193.3918470626274,-1.061307144164104
D3,Dataset 3,0,4,203.0,197.18739551261265,0.2054638992308444
D3,Dataset 3,0,5,183.0,183.97874148477763,-0.03612708587984592
D3,Dataset 3,0,6,161.0,158.40253422410763,0.10277068414874435
D3,Dataset 3,0,7,140.0,127.70795860563048,0.5313649655691304
D3,Dataset 3,0,8,97.0,98.35902713264247,-0.06875416543887525
D3,Dataset 3,0,9,68.0,74.1683140179974,-0.36589151278215226
D3,Dataset 3,0,10,61.0,56.21621790667693,0.3125021537052737
D3,Dataset 3,0,11,40.0,43.79085375114004,-0.29291049001239955
D3,Dataset 3,0,12,39.0,35.468561223873145,0.28944922235154724
D3,Dataset 3,0,13,34.0,29.84942749890164,0.36748893634529445
D3,Dataset 3,0,14,29.0,25.87496696084699,0.2984205673631557
D3,Dataset 3,0,15,22.0,22.863347515933043,-0.0911475322321138
D3,Dataset 3,0,16,24.0,20.422178061720036,0.3798890835363151
D3,Dataset 3,0,17,13.0,18.342541716935536,-0.6772680899698993
D3,Dataset 3,0,18,15.0,16.517406634356878,-0.19117789989944445
D3,Dataset 3,0,19,14.0,14.890984698077663,-0.11722648010747383
D3,Dataset 3,0,20,11.0,13.431490886459166,-0.3482750563606283
D3,Dataset 3,0,21,6.0,12.117996790616914,-1.031601579003269
D3,Dataset 3,0,22,14.0,10.934608086920953,0.4349054930085572
D3,Dataset 3,0,23,14.0,9.8680456074303,0.6003128326967704
D3,Dataset 3,0,24,11.0,8.906670621481059,0.3322202230286009
D3,Dataset 3,0,25,5.0,8.040078236113766,-0.5994351940931755
D3,Dataset 3,0,26,5.0,7.258901456292143,-0.4581668779447283
D3,Dataset 3,0,27,8.0,6.554691142007107,0.26821401994278204
D3,Dataset 3,0,28,8.0,5.919824497560001,0.3953581784234599
D3,Dataset 3,0,29,7.0,5.347426430389603,0.33330100232504867
D3,Dataset 3,0,30,6.0,4.831298806662714,0.2514681763142059
D3,Dataset 3,0,31,4.0,4.365855980458557,-0.08946308425359772
D3,Dataset 3,0,32,4.0,3.9460659381016914,0.013529275800498564
