Scenario,Dataset,Rep,Threshold,ObservedTailCount,ExpectedTailCount,ObservedTailRate,ExpectedTailRate
D3,Dataset 3,0,1,1776.0,1775.7639525126779,0.3552,0.35515279050253556
D3,Dataset 3,0,2,1624.0,1630.7566569001915,0.3248,0.3261513313800383
D3,Dataset 3,0,3,1444.0,1457.080552256996,0.2888,0.2914161104513992
D3,Dataset 3,0,5,1076.0,1066.5013096817559,0.2152,0.21330026193635118
D3,Dataset 3,0,8,592.0,596.4120753672403,0.1184,0.11928241507344806
D3,Dataset 3,0,10,427.0,423.88473421660046,0.0854,0.08477694684332009
D3,Dataset 3,0,15,224.0,232.68470687516168,0.0448,0.04653694137503234
D3,Dataset 3,0,20,136.0,139.64824824813854,0.0272,0.02792964964962771
D3,Dataset 3,1,1,1774.0,1770.9074818840893,0.3548,0.35418149637681784
D3,Dataset 3,1,2,1607.0,1609.6808953349264,0.3214,0.3219361790669853
D3,Dataset 3,1,3,1422.0,1433.4342715233363,0.2844,0.2866868543046673
D3,Dataset 3,1,5,1064.0,1056.3453395478755,0.2128,0.2112690679095751
D3,Dataset 3,1,8,624.0,611.3411796702969,0.1248,0.12226823593405939
D3,Dataset 3,1,10,460.0,446.8811334577805,0.092,0.0893762266915561
D3,Dataset 3,1,15,250.0,256.7914739711892,0.05,0.05135829479423784
D3,Dataset 3,1,20,152.0,160.00432215855187,0.0304,0.03200086443171037
