Scenario,Dataset,Rep,Bin,DoseMin,DoseMax,n,ObservedZeroRate,FittedZeroProbability
D3,Dataset 3,0,1,0.00014685016126247952,0.3067839054298589,500,0.152,0.1614747238141922
D3,Dataset 3,0,2,0.3069158228344112,0.6108523090978163,500,0.236,0.23757785277513
D3,Dataset 3,0,3,0.6112411828286133,0.8989343705895767,500,0.372,0.3512837249446271
D3,Dataset 3,0,4,0.8997959894597196,1.2010317635295071,500,0.512,0.4955550316695437
D3,Dataset 3,0,5,1.2013060286344874,1.522611569633336,500,0.632,0.651335235854297
D3,Dataset 3,0,6,1.522783879805286,1.8161240513262278,500,0.762,0.7822044459107149
D3,Dataset 3,0,7,1.8161659230712122,2.1267802559115827,500,0.882,0.8741767427768271
D3,Dataset 3,0,8,2.1276121027856902,2.413762868799769,500,0.946,0.9354360812627772
D3,Dataset 3,0,9,2.413856300517675,2.712068009185644,500,0.968,0.9696438017112219
D3,Dataset 3,0,10,2.7120797975752637,2.99978705086317,500,0.986,0.9897844542553131
D3,Dataset 3,1,1,0.00032380877990956236,0.28696319597939424,500,0.156,0.17373272605511228
D3,Dataset 3,1,2,0.28705101026358315,0.5940076863589085,500,0.214,0.238432927085303
D3,Dataset 3,1,3,0.5958133532142863,0.8990863967422703,500,0.37,0.3456683271985505
D3,Dataset 3,1,4,0.8993435156833646,1.2024543565229862,500,0.514,0.4954064142898648
D3,Dataset 3,1,5,1.2028473129468167,1.501186320254376,500,0.666,0.6548281575903963
D3,Dataset 3,1,6,1.5021684313105979,1.7907022786055173,500,0.772,0.7844429835323767
D3,Dataset 3,1,7,1.7917540982247977,2.082320014960049,500,0.862,0.8768558800274368
D3,Dataset 3,1,8,2.0829303544347626,2.386969531050916,500,0.95,0.9343070306444065
D3,Dataset 3,1,9,2.387359118466221,2.686873313550463,500,0.968,0.9681252777336244
D3,Dataset 3,1,10,2.687094740769907,2.9990574298236417,500,0.98,0.98638531207475
