Scenario,Dataset,Rep,Parameter,true,estimate
D3,Dataset 3,0,beta_z[0],6.6,6.740516794377721
D3,Dataset 3,0,beta_z[1],-2.1,-2.24699842691796
D3,Dataset 3,0,gamma_z[0],-2.5,-3.0994737899011744
D3,Dataset 3,0,gamma_z[1],2.0,2.1698520716469933
D3,Dataset 3,0,beta_nb[0],8.0,7.352915199284892
D3,Dataset 3,0,beta_nb[1],2.5,3.2344715850330803
D3,Dataset 3,0,gamma_nb[0],-2.5,-2.280893807766188
D3,Dataset 3,0,gamma_nb[1],2.5,2.4224195973428575
D3,Dataset 3,3,beta_z[0],6.6,6.752686209684494
D3,Dataset 3,3,beta_z[1],-2.1,-2.211923272949904
D3,Dataset 3,3,gamma_z[0],-2.5,-1.7202413315140372
D3,Dataset 3,3,gamma_z[1],2.0,1.6224274924487723
D3,Dataset 3,3,beta_nb[0],8.0,7.634533953989827
D3,Dataset 3,3,beta_nb[1],2.5,2.0899873929111066
D3,Dataset 3,3,gamma_nb[0],-2.5,-2.966051495104013
D3,Dataset 3,3,gamma_nb[1],2.5,2.6243366620976616
D3,Dataset 3,1,beta_z[0],6.6,6.559201949833521
D3,Dataset 3,1,beta_z[1],-2.1,-2.070583321016845
D3,Dataset 3,1,gamma_z[0],-2.5,-2.314949076427112
D3,Dataset 3,1,gamma_z[1],2.0,1.909755960208397
D3,Dataset 3,1,beta_nb[0],8.0,6.894688374909428
D3,Dataset 3,1,beta_nb[1],2.5,3.291191627431695
D3,Dataset 3,1,gamma_nb[0],-2.5,-2.8742460096611078
D3,Dataset 3,1,gamma_nb[1],2.5,2.6509211272300814
D3,Dataset 3,2,beta_z[0],6.6,6.666640058470749
D3,Dataset 3,2,beta_z[1],-2.1,-2.159578892376686
D3,Dataset 3,2,gamma_z[0],-2.5,-2.7742748265242
D3,Dataset 3,2,gamma_z[1],2.0,2.1723226002032487
D3,Dataset 3,2,beta_nb[0],8.0,7.260651639899005
D3,Dataset 3,2,beta_nb[1],2.5,3.045281747428125
D3,Dataset 3,2,gamma_nb[0],-2.5,-2.251427850121694
D3,Dataset 3,2,gamma_nb[1],2.5,2.3728849123660014
