Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D3,Dataset 3,0,Poisson,0.14381122589111328,True,17,-17875.349599154877,35754.699198309754,35767.733584692585
D3,Dataset 3,0,NB,0.2843787670135498,True,23,-8314.71324697365,16635.4264939473,16654.97807352155
D3,Dataset 3,0,ZIP,0.3015787601470947,True,12,-10540.309936998536,21088.61987399707,21114.688646762737
D3,Dataset 3,0,ZINB,0.4830617904663086,True,19,-7466.580603427616,14943.161206855231,14975.747172812313
D3,Dataset 3,0,P+NB,0.8985157012939453,True,31,-8141.300661745033,16294.601323490066,16333.704482638563
D3,Dataset 3,0,Z+P+NB,1.025280237197876,True,12,-7329.609035904006,14675.218071808013,14727.355617339343
D3,Dataset 3,0,ZIP--ZINB,2.275969982147217,True,18,-7322.638092491148,14665.276184982296,14730.44811689646
D3,Dataset 3,3,Poisson,0.13028788566589355,True,13,-18417.251573686073,36838.50314737215,36851.53753375498
D3,Dataset 3,3,NB,0.24223589897155762,True,18,-8272.193510990826,16550.387021981653,16569.938601555903
D3,Dataset 3,3,ZIP,0.35022497177124023,True,11,-10900.470997796649,21808.941995593297,21835.010768358963
D3,Dataset 3,3,ZINB,0.4732236862182617,True,18,-7515.488629680343,15040.977259360687,15073.563225317768
D3,Dataset 3,3,P+NB,0.7228963375091553,True,21,-8084.849894554864,16181.699789109727,16220.802948258224
D3,Dataset 3,3,Z+P+NB,1.1361076831817627,True,30,-7367.246411348713,14750.492822697426,14802.630368228756
D3,Dataset 3,3,ZIP--ZINB,2.2608580589294434,True,42,-7360.693955003493,14741.387910006986,14806.55984192115
D3,Dataset 3,1,Poisson,0.11838507652282715,True,10,-19457.52512294134,38919.05024588268,38932.08463226551
D3,Dataset 3,1,NB,0.22299647331237793,True,16,-8419.840313127792,16845.680626255584,16865.232205829834
D3,Dataset 3,1,ZIP,0.3794541358947754,True,10,-11357.09763609046,22722.19527218092,22748.264044946587
D3,Dataset 3,1,ZINB,0.4794459342956543,True,22,-7556.429972082225,15122.85994416445,15155.44591012153
D3,Dataset 3,1,P+NB,0.756211519241333,True,27,-8281.244431576613,16574.488863153227,16613.592022301724
D3,Dataset 3,1,Z+P+NB,1.0762295722961426,True,14,-7445.958463744248,14907.916927488495,14960.054473019825
D3,Dataset 3,1,ZIP--ZINB,2.46061635017395,True,15,-7441.036759326944,14902.073518653888,14967.24545056805
D3,Dataset 3,2,Poisson,0.12508749961853027,True,10,-17309.10149054374,34622.20298108748,34635.23736747031
D3,Dataset 3,2,NB,0.28536081314086914,True,26,-8242.689052044467,16491.378104088933,16510.929683663184
D3,Dataset 3,2,ZIP,0.35416197776794434,True,14,-9978.879960531423,19965.759921062847,19991.828693828513
D3,Dataset 3,2,ZINB,0.5533769130706787,True,14,-7340.216194411142,14690.432388822284,14723.018354779366
D3,Dataset 3,2,P+NB,0.9296054840087891,True,31,-8061.889880006145,16135.77976001229,16174.882919160787
D3,Dataset 3,2,Z+P+NB,1.174957513809204,True,21,-7213.603705040779,14443.207410081557,14495.344955612887
D3,Dataset 3,2,ZIP--ZINB,2.4147520065307617,True,35,-7210.316341198024,14440.632682396048,14505.804614310211
