Scenario,Dataset,Rep,Parameter,true,estimate
D3,Dataset 3,0,rho,0.4,0.36236798780763174
D3,Dataset 3,0,lambda,3.4264648460855023,3.3448365569421394
D3,Dataset 3,0,pi,0.578331108893531,0.5255957010295257
D3,Dataset 3,0,varphi,11.778018040374402,12.240871999018237
D3,Dataset 3,0,alpha,1.0,0.9081707723210214
D3,Dataset 3,0,omega,0.6598660852049335,0.6764245723029951
D3,Dataset 3,3,rho,0.4,0.4557323117608155
D3,Dataset 3,3,lambda,3.469056373296505,3.4548733172084765
D3,Dataset 3,3,pi,0.5707131423803247,0.6177207995012838
D3,Dataset 3,3,varphi,11.727313841313686,10.750549529097297
D3,Dataset 3,3,alpha,1.0,1.2240862035001525
D3,Dataset 3,3,omega,0.6520252692292734,0.6123907027380432
D3,Dataset 3,1,rho,0.4,0.35288674050941293
D3,Dataset 3,1,lambda,3.466753799771674,3.4698460818181984
D3,Dataset 3,1,pi,0.5731719637987422,0.5832425631869883
D3,Dataset 3,1,varphi,11.730055000271816,11.80521868961116
D3,Dataset 3,1,alpha,1.0,1.1164358066557822
D3,Dataset 3,1,omega,0.6555826529134153,0.6308962240774523
D3,Dataset 3,2,rho,0.4,0.38791345727054205
D3,Dataset 3,2,lambda,3.4532432310241057,3.4306069643165595
D3,Dataset 3,2,pi,0.5739548881842895,0.5673156855263903
D3,Dataset 3,2,varphi,11.746139010685587,11.823871140926714
D3,Dataset 3,2,alpha,1.0,0.8589424897132778
D3,Dataset 3,2,omega,0.6555934501446364,0.6693908668154612
