Scenario,Dataset,Rep,Count,Observed,Expected,RootogramDiff
D3,Dataset 3,1,0,13059.0,13057.818905909413,0.0051678435806508105
D3,Dataset 3,1,1,573.0,584.0005608691531,-0.22868514448005683
D3,Dataset 3,1,2,686.0,674.7260369764078,0.21611254982119377
D3,Dataset 3,1,3,745.0,743.4775363243073,0.02790363974237664
D3,Dataset 3,1,4,763.0,758.0678391265983,0.08942285153981899
D3,Dataset 3,1,5,700.0,709.9784895383876,-0.18790843862570128
D3,Dataset 3,1,6,627.0,614.1406944367711,0.25810584429886063
D3,Dataset 3,1,7,468.0,497.23345873803146,-0.6654245698791144
D3,Dataset 3,1,8,388.0,384.1761281493654,0.09730417552862747
D3,Dataset 3,1,9,331.0,290.2284183897483,1.1573137579772812
D3,Dataset 3,1,10,215.0,220.12624282307857,-0.17377370994384655
D3,Dataset 3,1,11,166.0,171.4668706661967,-0.2104371820498283
D3,Dataset 3,1,12,132.0,138.87433252928886,-0.2953701364825996
D3,Dataset 3,1,13,108.0,116.92867584530174,-0.421051518144802
D3,Dataset 3,1,14,76.0,101.47915652821638,-1.355888455475501
D3,Dataset 3,1,15,103.0,89.82996180550815,0.671024621232533
D3,Dataset 3,1,16,73.0,80.4208682722828,-0.42376455411364944
D3,Dataset 3,1,17,77.0,72.41830434641867,0.2650698906067088
D3,Dataset 3,1,18,65.0,65.39500588719085,-0.024460120354396153
D3,Dataset 3,1,19,64.0,59.12924645502168,0.31044562701962075
D3,Dataset 3,1,20,60.0,53.4960839412699,0.4318649744135117
D3,Dataset 3,1,21,58.0,48.414547567266524,0.6577167991596777
D3,Dataset 3,1,22,53.0,43.82408367121843,0.6601337812255625
D3,Dataset 3,1,23,30.0,39.67467772987446,-0.8215582543771962
D3,Dataset 3,1,24,33.0,35.922819304376446,-0.24900217786959988
D3,Dataset 3,1,25,28.0,32.529789656852785,-0.4119866306749991
D3,Dataset 3,1,26,32.0,29.460827009713142,0.22907136789946048
D3,Dataset 3,1,27,28.0,26.68461933134555,0.1257868603643555
D3,Dataset 3,1,28,18.0,24.172927551259853,-0.673956464494812
D3,Dataset 3,1,29,17.0,21.900271255961034,-0.55666693893727
D3,Dataset 3,1,30,22.0,19.843653242494447,0.23579419985961536
D3,Dataset 3,1,31,17.0,17.98231378218052,-0.11745020848952858
D3,Dataset 3,1,32,19.0,16.297510069319298,0.3218814715300189
D3,Dataset 3,1,33,25.0,14.772317869378778,1.1565226852004478
D3,Dataset 3,1,34,14.0,13.391452991591873,0.0822239618306928
D3,Dataset 3,1,35,13.0,12.141110540158376,0.12114163534439282
D3,Dataset 3,1,36,8.0,11.00882013357441,-0.4895270843372339
D3,Dataset 3,1,37,6.0,9.983315475944998,-0.7101487612145498
D3,Dataset 3,1,38,18.0,9.054416833368716,1.2335848828230738
D3,Dataset 3,1,39,6.0,8.212925118370062,-0.4163304048133285
D3,Dataset 3,1,40,5.0,7.450526418787731,-0.49349726604866406
D3,Dataset 3,1,41,6.0,6.759705926711093,-0.15045370404621305
D3,Dataset 3,1,42,9.0,6.1336703295263195,0.5233752142227277
D3,Dataset 3,1,43,5.0,5.566277820434502,-0.12322806590690849
D3,Dataset 3,1,44,6.0,5.051974971137763,0.2018298550026083
D3,Dataset 3,1,45,4.0,4.585739785842304,-0.1414340489126218
D3,Dataset 3,1,46,6.0,4.163030324305549,0.4091392032175989
D3,Dataset 3,1,47,5.0,3.7797383431452083,0.2919130600240223
D3,Dataset 3,1,48,1.0,3.4321474598530948,-0.8526055866948838
D3,Dataset 3,1,49,3.0,3.1168953935079706,-0.033422328309426375
D3,Dataset 3,1,50,1.0,2.8309398807260666,-0.682539711485606
D3,Dataset 3,1,51,1.0,2.5715279053867937,-0.6035984239786449
D3,Dataset 3,1,52,2.0,2.336167916636543,-0.11423922284355759
D3,Dataset 3,1,53,5.0,2.1226047420079057,0.7791518021458659
D3,Dataset 3,1,54,0.0,1.9287969315666618,-1.3888113376433322
D3,Dataset 3,1,55,1.0,1.7528962951545681,-0.3239698996406859
D3,Dataset 3,1,56,0.0,1.5932294183294684,-1.2622319193909923
D3,Dataset 3,1,57,1.0,1.4482809637801235,-0.20344545525757973
D3,Dataset 3,1,58,0.0,1.3166785840552777,-1.1474661581307215
D3,Dataset 3,1,59,2.0,1.197179288604182,0.3200566775507301
D3,Dataset 3,1,60,2.0,1.0886571235772229,0.3708262308527135
