Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D3,Dataset 3,7,Z+P+NB,50.40702738089749,0.025,39,39,2.075850074570693,6.312805387259875,918.5702486038208
D3,Dataset 3,7,P+NB,6598.544732374779,0.025,39,39,3.5247518675695084,10.401554956290788,1605.7115569114685
D3,Dataset 3,7,ZIP,27992.979748795464,0.025,39,39,6.452342503459547,12.824913822599775,1714.7768425941467
D3,Dataset 3,7,ZINB,1146.9250295643287,0.025,39,39,7.663103364839164,14.246054296811788,1910.4297909736633
D3,Dataset 3,10,Z+P+NB,20.355755807140667,0.025,39,39,1.8308212946460862,5.778273724354222,1003.2544231414795
D3,Dataset 3,10,P+NB,6677.218362432017,0.025,39,39,4.168140916556392,12.264588348871623,1615.7103292942047
D3,Dataset 3,10,ZIP,25584.31962854058,0.025,39,39,5.91193071857747,10.320927279526222,1733.2209813594818
D3,Dataset 3,10,ZINB,1014.8112305967952,0.025,39,39,7.860021993335044,16.103194183033338,1853.9487245082855
D3,Dataset 3,1,Z+P+NB,31.371211763835163,0.025,39,39,1.8831189985245986,5.002569731311816,1047.9992187023163
D3,Dataset 3,1,P+NB,6478.4717077122405,0.025,39,39,3.9754459364513215,12.25443453406697,1638.2831118106842
D3,Dataset 3,1,ZIP,25796.863306184496,0.025,39,39,5.661805790414339,14.182259908937704,1674.698297739029
D3,Dataset 3,1,ZINB,1007.5890858837447,0.025,39,39,8.035706024526847,16.38645888904721,1855.273860692978
D3,Dataset 3,3,Z+P+NB,45.11625184556033,0.025,39,39,2.3226376822879105,5.776923298920157,960.7186903953552
D3,Dataset 3,3,P+NB,6657.319606038611,0.025,39,39,3.950971656664012,9.714291947838504,1672.2976326942444
D3,Dataset 3,3,ZIP,29738.582419689454,0.025,39,39,5.877199626292657,13.838124035025977,1721.5781452655792
D3,Dataset 3,3,ZINB,1221.066429645798,0.025,39,39,7.993201168019321,15.275039157432914,1870.4564628601074
D3,Dataset 3,6,Z+P+NB,16.914262529666303,0.025,39,39,2.135239033132026,6.768983833347011,957.8954193592072
D3,Dataset 3,6,P+NB,6705.600453914725,0.025,39,39,2.7931847913468326,6.446284820833536,1617.3891808986664
D3,Dataset 3,6,ZIP,28454.427942445924,0.025,39,39,6.255067353335714,11.204074325367401,1752.3349635601044
D3,Dataset 3,6,ZINB,1208.7290175423477,0.025,39,39,8.260273577910713,17.17184143119303,1912.3571000099182
D3,Dataset 3,4,Z+P+NB,31.62534009609226,0.025,39,39,2.066295587066494,6.170670264485673,1012.5172317028046
D3,Dataset 3,4,P+NB,6538.819991275035,0.025,39,39,3.2709831552873276,6.866251297583951,1678.4095039367676
D3,Dataset 3,4,ZIP,27761.723093335044,0.025,39,39,7.044387681849632,12.973859424291733,1681.6410698890686
D3,Dataset 3,4,ZINB,1130.0360883514586,0.025,39,39,6.6177060240555035,11.207369781267337,1882.9002857208252
D3,Dataset 3,2,Z+P+NB,50.3904096167098,0.025,39,39,1.7318243602653054,3.7985354501412085,1019.5810186862946
D3,Dataset 3,2,P+NB,6989.727326747801,0.025,39,39,2.7767679636224503,6.932869991128975,1641.0639419555664
D3,Dataset 3,2,ZIP,25982.46672637912,0.025,39,39,6.370454717172461,9.821617080016585,1700.6167764663696
D3,Dataset 3,2,ZINB,1100.7116856531502,0.025,39,39,7.315013843197495,12.601847221734351,1896.331975698471
D3,Dataset 3,0,Z+P+NB,56.882817505575076,0.025,39,39,2.446849829365443,7.96426527580261,996.6995737552643
D3,Dataset 3,0,P+NB,6647.020834583993,0.025,39,39,2.934674761697235,8.621048164773676,1686.6641809940338
D3,Dataset 3,0,ZIP,26354.40095324187,0.025,39,39,5.993065817083661,10.212215829682831,1772.539363861084
D3,Dataset 3,0,ZINB,1163.281090503886,0.025,39,39,7.194922922109515,13.326417132132338,1839.9659008979797
D3,Dataset 3,9,Z+P+NB,42.25620273268578,0.025,39,39,1.6205590707093227,3.9216803622461174,1025.5655283927917
D3,Dataset 3,9,P+NB,6626.083876091689,0.025,39,39,3.3994737490235516,9.443504001949627,1666.0893235206604
D3,Dataset 3,9,ZIP,27161.34794365122,0.025,39,39,5.668022210772809,10.229681299496589,1741.3975777626038
D3,Dataset 3,9,ZINB,1092.8775583186434,0.025,39,39,8.35475028404322,15.259592690436694,1857.6218507289886
D3,Dataset 3,5,Z+P+NB,47.68410084371135,0.025,39,39,2.3297303681896526,5.460856652133955,1038.4886577129364
D3,Dataset 3,5,P+NB,6927.683342299701,0.025,39,39,3.134934166743523,6.168078258506285,1626.3272423744202
D3,Dataset 3,5,ZIP,26224.992499890766,0.025,39,39,6.2425589303055835,13.442352885047148,1754.6589291095734
D3,Dataset 3,5,ZINB,1149.408012035572,0.025,39,39,8.248634096310035,15.719907536372197,1918.8596940040588
D3,Dataset 3,8,Z+P+NB,49.93807420338271,0.025,39,39,1.1853130506985905,3.084779609842372,1034.028312444687
D3,Dataset 3,8,P+NB,6587.660513565701,0.025,39,39,4.075414965003661,9.88851332863706,1628.0597636699677
D3,Dataset 3,8,ZIP,25703.85006337968,0.025,39,39,6.000659417197592,12.51111734206061,1782.5235950946808
D3,Dataset 3,8,ZINB,1105.7617635126371,0.025,39,39,8.369386530231845,13.633189184587536,1904.8418989181519
D3,Dataset 3,11,Z+P+NB,68.3680337998303,0.025,39,39,2.3470496435529173,6.992126674105386,1057.1968286037445
D3,Dataset 3,11,P+NB,6929.371347902328,0.025,39,39,3.6759328325275327,7.985383107986128,1665.117483139038
D3,Dataset 3,11,ZIP,29040.954571321592,0.025,39,39,5.300216659464357,11.880458031067974,1786.857660293579
D3,Dataset 3,11,ZINB,1282.985907028844,0.025,39,39,6.716987984471556,12.778411134845374,1896.396276473999
