Scenario,Dataset,Rep,Parameter,true,estimate
D3,Dataset 3,7,beta_z[0],6.6,6.492624918145456
D3,Dataset 3,7,beta_z[1],-2.1,-2.0483554939368003
D3,Dataset 3,7,gamma_z[0],-2.5,-2.581596391078491
D3,Dataset 3,7,gamma_z[1],2.0,1.9638836466775917
D3,Dataset 3,7,beta_nb[0],8.0,7.33768784988952
D3,Dataset 3,7,beta_nb[1],2.5,3.30229912072866
D3,Dataset 3,7,gamma_nb[0],-2.5,-2.3735929722270472
D3,Dataset 3,7,gamma_nb[1],2.5,2.424833349001025
D3,Dataset 3,10,beta_z[0],6.6,6.617944132383304
D3,Dataset 3,10,beta_z[1],-2.1,-2.05215585727263
D3,Dataset 3,10,gamma_z[0],-2.5,-2.2181313054399965
D3,Dataset 3,10,gamma_z[1],2.0,1.9753561379077378
D3,Dataset 3,10,beta_nb[0],8.0,8.464591445173648
D3,Dataset 3,10,beta_nb[1],2.5,1.4216558116092686
D3,Dataset 3,10,gamma_nb[0],-2.5,-2.6579317282224757
D3,Dataset 3,10,gamma_nb[1],2.5,2.520670543370053
D3,Dataset 3,1,beta_z[0],6.6,6.719436605045847
D3,Dataset 3,1,beta_z[1],-2.1,-2.23983425185717
D3,Dataset 3,1,gamma_z[0],-2.5,-2.528331002404523
D3,Dataset 3,1,gamma_z[1],2.0,2.0192960045796546
D3,Dataset 3,1,beta_nb[0],8.0,8.073464718135638
D3,Dataset 3,1,beta_nb[1],2.5,1.9577444104668584
D3,Dataset 3,1,gamma_nb[0],-2.5,-2.3790532694525326
D3,Dataset 3,1,gamma_nb[1],2.5,2.415670914902195
D3,Dataset 3,3,beta_z[0],6.6,6.806472115202941
D3,Dataset 3,3,beta_z[1],-2.1,-2.199375189289572
D3,Dataset 3,3,gamma_z[0],-2.5,-2.2217398350045574
D3,Dataset 3,3,gamma_z[1],2.0,1.888384944618
D3,Dataset 3,3,beta_nb[0],8.0,7.904237412877701
D3,Dataset 3,3,beta_nb[1],2.5,2.907420016692986
D3,Dataset 3,3,gamma_nb[0],-2.5,-2.7554491496404347
D3,Dataset 3,3,gamma_nb[1],2.5,2.5974731593254266
D3,Dataset 3,6,beta_z[0],6.6,6.749682726978828
D3,Dataset 3,6,beta_z[1],-2.1,-2.2370025488174528
D3,Dataset 3,6,gamma_z[0],-2.5,-2.3305663222236173
D3,Dataset 3,6,gamma_z[1],2.0,1.9897554573800966
D3,Dataset 3,6,beta_nb[0],8.0,7.802450400644251
D3,Dataset 3,6,beta_nb[1],2.5,2.5598556815581537
D3,Dataset 3,6,gamma_nb[0],-2.5,-2.519655730255251
D3,Dataset 3,6,gamma_nb[1],2.5,2.3761491055833552
D3,Dataset 3,4,beta_z[0],6.6,6.655173088667869
D3,Dataset 3,4,beta_z[1],-2.1,-2.1572813175520817
D3,Dataset 3,4,gamma_z[0],-2.5,-2.505098884561604
D3,Dataset 3,4,gamma_z[1],2.0,2.0048825028907715
D3,Dataset 3,4,beta_nb[0],8.0,8.511307488898403
D3,Dataset 3,4,beta_nb[1],2.5,1.9372634783896205
D3,Dataset 3,4,gamma_nb[0],-2.5,-2.3896268253292936
D3,Dataset 3,4,gamma_nb[1],2.5,2.407395424323459
D3,Dataset 3,2,beta_z[0],6.6,6.432272771026613
D3,Dataset 3,2,beta_z[1],-2.1,-2.0070300574873188
D3,Dataset 3,2,gamma_z[0],-2.5,-2.5313777553771732
D3,Dataset 3,2,gamma_z[1],2.0,2.0101272313817207
