Scenario,Dataset,Rep,Threshold,ObservedTailCount,ExpectedTailCount,ObservedTailRate,ExpectedTailRate
D3,Dataset 3,0,1,6960.0,6964.903513182409,0.348,0.34824517565912044
D3,Dataset 3,0,2,6429.0,6414.945803832523,0.32145,0.3207472901916261
D3,Dataset 3,0,3,5766.0,5750.263568453733,0.2883,0.28751317842268664
D3,Dataset 3,0,5,4203.0,4227.822482485377,0.21015,0.21139112412426883
D3,Dataset 3,0,8,2381.0,2372.626057779879,0.11905,0.11863130288899394
D3,Dataset 3,0,10,1696.0,1698.0093687826602,0.0848,0.08490046843913301
D3,Dataset 3,0,15,953.0,957.8259784524764,0.04765,0.04789129892262382
D3,Dataset 3,0,20,589.0,589.1725985644521,0.02945,0.029458629928222603
D3,Dataset 3,1,1,6941.0,6942.181094090587,0.34705,0.34710905470452935
D3,Dataset 3,1,2,6368.0,6358.180533221435,0.3184,0.3179090266610718
D3,Dataset 3,1,3,5682.0,5683.454496245027,0.2841,0.28417272481225136
D3,Dataset 3,1,5,4174.0,4181.909120794121,0.2087,0.20909545603970606
D3,Dataset 3,1,8,2379.0,2360.556478080931,0.11895,0.11802782390404655
D3,Dataset 3,1,10,1660.0,1686.1519315418175,0.083,0.08430759657709087
D3,Dataset 3,1,15,963.0,937.2766531497351,0.04815,0.046863832657486754
D3,Dataset 3,1,20,581.0,570.083266383313,0.02905,0.02850416331916565
