Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D3,Dataset 3,7,Z+P+NB,50.40702738089749,0.01,99,99,2.459722377515896,8.578466394892882,2402.1975288391113
D3,Dataset 3,6,Z+P+NB,16.914262529666303,0.01,99,99,1.9911284238917164,6.012215107150401,2433.0070037841797
D3,Dataset 3,3,Z+P+NB,45.11625184556033,0.01,99,99,2.1183383639225286,5.654915718353731,2462.0238387584686
D3,Dataset 3,0,Z+P+NB,56.882817505575076,0.01,99,99,1.9762054495096726,6.2707523667086145,2514.070785045624
D3,Dataset 3,10,Z+P+NB,20.355755807140667,0.01,99,99,1.87446624364494,5.825760126344536,2552.9800424575806
D3,Dataset 3,4,Z+P+NB,31.62534009609226,0.01,99,99,2.262126501137141,7.581653024302795,2573.316668510437
D3,Dataset 3,9,Z+P+NB,42.25620273268578,0.01,99,99,1.7843964008220197,5.379601875734804,2555.419337749481
D3,Dataset 3,2,Z+P+NB,50.3904096167098,0.01,99,99,2.12697733496257,5.614673159593802,2612.782371520996
D3,Dataset 3,5,Z+P+NB,47.68410084371135,0.01,99,99,2.0593812449709126,4.876248266932815,2636.6052091121674
D3,Dataset 3,8,Z+P+NB,49.93807420338271,0.01,99,99,1.8500221680782616,4.992201396721061,2664.692684650421
D3,Dataset 3,11,Z+P+NB,68.3680337998303,0.01,99,99,2.426770388495178,6.768652213423774,2685.024097442627
D3,Dataset 3,1,Z+P+NB,31.371211763835163,0.01,99,99,2.0152847945779526,5.172591608524814,2713.694146156311
