Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D3,Dataset 3,7,Poisson,0.6455471515655518,True,15,-74519.1488491712,149042.2976983424,149058.10467344747
D3,Dataset 3,7,NB,2.776951313018799,True,14,-33462.63070468662,66931.26140937324,66954.97187203084
D3,Dataset 3,7,ZIP,5.842007875442505,True,17,-43414.22216471798,86836.44432943597,86868.05827964611
D3,Dataset 3,7,ZINB,7.201467752456665,True,20,-29991.194805102416,59992.38961020483,60031.907047967514
D3,Dataset 3,7,P+NB,17.33626413345337,True,46,-32717.00465650764,65446.00931301528,65493.4302383305
D3,Dataset 3,7,Z+P+NB,22.11585760116577,True,28,-29442.9358040107,58901.8716080214,58965.099508441686
D3,Dataset 3,7,ZIP--ZINB,36.46994948387146,True,17,-29417.73229032025,58855.4645806405,58934.49945616586
D3,Dataset 3,6,Poisson,0.5155103206634521,True,11,-75478.58791750997,150961.17583501994,150976.98281012502
D3,Dataset 3,6,NB,4.372682332992554,True,15,-33763.660951389276,67533.32190277855,67557.03236543616
D3,Dataset 3,6,ZIP,5.4078896045684814,True,11,-43782.2997626015,87572.599525203,87604.21347541314
D3,Dataset 3,6,ZINB,8.61520266532898,True,20,-30159.45030014971,60328.90060029942,60368.418038062104
D3,Dataset 3,6,P+NB,16.801412105560303,True,26,-32907.8860183359,65827.7720366718,65875.19296198702
D3,Dataset 3,6,Z+P+NB,18.404836416244507,True,24,-29563.54292264337,59143.08584528674,59206.313745707026
D3,Dataset 3,6,ZIP--ZINB,28.00828981399536,True,18,-29555.085791378537,59130.17158275707,59209.20645828243
D3,Dataset 3,3,Poisson,1.2036614418029785,True,14,-76450.23398992138,152904.46797984277,152920.27495494785
D3,Dataset 3,3,NB,4.499239444732666,True,18,-33666.16955015322,67338.33910030645,67362.04956296405
D3,Dataset 3,3,ZIP,3.3244166374206543,True,15,-44457.867431162755,88923.73486232551,88955.34881253565
D3,Dataset 3,3,ZINB,7.649675607681274,True,14,-30199.109436140927,60408.218872281854,60447.73631004454
D3,Dataset 3,3,P+NB,15.744081735610962,True,37,-32917.23602433733,65846.47204867467,65893.89297398989
D3,Dataset 3,3,Z+P+NB,19.17329502105713,True,14,-29611.134347240808,59238.268694481616,59301.4965949019
D3,Dataset 3,3,ZIP--ZINB,40.51918578147888,True,29,-29588.576221318028,59197.152442636056,59276.187318161414
D3,Dataset 3,0,Poisson,1.055755615234375,True,16,-72932.49998194541,145868.99996389082,145884.8069389959
D3,Dataset 3,0,NB,3.40602970123291,True,33,-33113.974937966406,66233.94987593281,66257.66033859042
D3,Dataset 3,0,ZIP,5.050083637237549,True,15,-42238.08640684943,84484.17281369885,84515.786763909
D3,Dataset 3,0,ZINB,10.86462926864624,True,15,-29642.526475480434,59295.05295096087,59334.57038872355
D3,Dataset 3,0,P+NB,14.68661093711853,True,47,-32384.396347520487,64780.792695040975,64828.21362035619
D3,Dataset 3,0,Z+P+NB,20.100569248199463,True,27,-29089.32733898128,58194.65467796256,58257.88257838284
D3,Dataset 3,0,ZIP--ZINB,34.703243255615234,True,17,-29060.88593022849,58141.77186045698,58220.80673598234
D3,Dataset 3,10,Poisson,1.0151216983795166,True,15,-72053.99957305817,144111.99914611634,144127.80612122142
D3,Dataset 3,10,NB,4.961385488510132,True,28,-33083.786667258595,66173.57333451719,66197.2837971748
D3,Dataset 3,10,ZIP,3.221264362335205,True,15,-41856.67002257101,83721.34004514202,83752.95399535216
D3,Dataset 3,10,ZINB,8.99872636795044,True,22,-29571.915823599116,59153.83164719823,59193.349084960915
D3,Dataset 3,10,P+NB,23.36837601661682,True,55,-32403.119389516727,64818.238779033454,64865.65970434867
D3,Dataset 3,10,Z+P+NB,21.954017400741577,True,14,-29074.68808620429,58165.37617240858,58228.604072828864
D3,Dataset 3,10,ZIP--ZINB,39.217029333114624,True,17,-29064.51020830072,58149.02041660144,58228.055292126795
D3,Dataset 3,4,Poisson,0.6915266513824463,True,15,-74149.11958675658,148302.23917351317,148318.04614861825
D3,Dataset 3,4,NB,4.578720331192017,True,19,-33300.57996565261,66607.15993130521,66630.87039396282
D3,Dataset 3,4,ZIP,4.369725465774536,True,15,-43194.21749519602,86396.43499039204,86428.04894060218
D3,Dataset 3,4,ZINB,8.119596004486084,True,17,-29878.373992704226,59766.74798540845,59806.265423171135
D3,Dataset 3,4,P+NB,15.878265380859375,True,36,-32582.765944166014,65177.53188833203,65224.95281364724
D3,Dataset 3,4,Z+P+NB,20.367390871047974,True,27,-29329.168618576543,58674.337237153086,58737.56513757337
D3,Dataset 3,4,ZIP--ZINB,37.30893874168396,True,41,-29313.355948528497,58646.71189705699,58725.74677258235
D3,Dataset 3,9,Poisson,0.7668218612670898,True,15,-73862.32094809807,147728.64189619615,147744.44887130123
D3,Dataset 3,9,NB,3.526036262512207,True,22,-33617.04422437848,67240.08844875696,67263.79891141456
D3,Dataset 3,9,ZIP,3.7809510231018066,True,14,-43177.055739885385,86362.11147977077,86393.72542998091
D3,Dataset 3,9,ZINB,4.848176002502441,True,17,-30142.820547219097,60295.64109443819,60335.158532200876
D3,Dataset 3,9,P+NB,47.39650011062622,True,32,-32909.42370610562,65830.84741221124,65878.26833752646
D3,Dataset 3,9,Z+P+NB,20.603191614151,True,13,-29617.509869426118,59251.019738852236,59314.24763927252
D3,Dataset 3,9,ZIP--ZINB,42.76437973976135,True,18,-29596.381768059775,59212.76353611955,59291.79841164491
D3,Dataset 3,2,Poisson,0.6558282375335693,True,18,-72240.32934828856,144484.65869657713,144500.4656716822
D3,Dataset 3,2,NB,3.8939106464385986,True,19,-33304.63437973281,66615.26875946562,66638.97922212322
D3,Dataset 3,2,ZIP,4.708195209503174,True,10,-42060.69785529921,84129.39571059842,84161.00966080856
D3,Dataset 3,2,ZINB,7.7831950187683105,True,21,-29619.820334936223,59249.640669872446,59289.15810763513
D3,Dataset 3,2,P+NB,22.517196655273438,True,39,-32564.32815548355,65140.6563109671,65188.07723628231
D3,Dataset 3,2,Z+P+NB,24.664777994155884,True,22,-29094.659696918003,58205.319393836005,58268.54729425629
D3,Dataset 3,2,ZIP--ZINB,39.76004981994629,True,15,-29069.464492109648,58158.928984219296,58237.963859744654
D3,Dataset 3,5,Poisson,0.8545300960540771,True,17,-71812.94711162469,143629.89422324937,143645.70119835445
D3,Dataset 3,5,NB,4.488796710968018,True,14,-33248.06827887437,66502.13655774874,66525.84702040635
D3,Dataset 3,5,ZIP,3.4025940895080566,True,14,-42173.707189527966,84355.41437905593,84387.02832926608
D3,Dataset 3,5,ZINB,6.482686758041382,True,15,-29635.91494560037,59281.82989120074,59321.34732896342
D3,Dataset 3,5,P+NB,17.11599564552307,True,38,-32525.052610732433,65062.105221464866,65109.52614678008
D3,Dataset 3,5,Z+P+NB,19.756248474121094,True,23,-29085.05299000444,58186.10598000888,58249.33388042916
D3,Dataset 3,5,ZIP--ZINB,34.107051372528076,True,17,-29061.210939582583,58142.421879165166,58221.456754690524
D3,Dataset 3,8,Poisson,0.9982311725616455,True,16,-71880.48771043768,143764.97542087536,143780.78239598044
D3,Dataset 3,8,NB,5.4605793952941895,True,29,-33439.327996433465,66884.65599286693,66908.36645552453
D3,Dataset 3,8,ZIP,4.591139793395996,True,15,-42326.60839726586,84661.21679453172,84692.83074474186
D3,Dataset 3,8,ZINB,5.332057952880859,True,13,-30027.56424733234,60065.12849466468,60104.64593242736
D3,Dataset 3,8,P+NB,20.360849618911743,True,37,-32768.51362235887,65549.02724471774,65596.44817003296
D3,Dataset 3,8,Z+P+NB,20.386695623397827,True,15,-29499.65240267771,59015.30480535542,59078.53270577571
D3,Dataset 3,8,ZIP--ZINB,46.471946477890015,True,40,-29474.68336557602,58969.36673115204,59048.4016066774
D3,Dataset 3,11,Poisson,0.8998768329620361,True,13,-74639.14287106297,149282.28574212594,149298.09271723102
D3,Dataset 3,11,NB,4.155251502990723,True,14,-33804.84796490214,67615.69592980428,67639.40639246188
D3,Dataset 3,11,ZIP,4.649616479873657,True,14,-44107.21637876372,88222.43275752744,88254.04670773758
D3,Dataset 3,11,ZINB,6.606497764587402,True,14,-30228.232046617344,60466.46409323469,60505.98153099737
D3,Dataset 3,11,P+NB,19.728689193725586,True,37,-33051.424767054086,66114.84953410817,66162.2704594234
D3,Dataset 3,11,Z+P+NB,19.52526617050171,True,14,-29620.923110002837,59257.846220005675,59321.07412042596
D3,Dataset 3,11,ZIP--ZINB,39.040623903274536,True,19,-29586.739093102922,59193.478186205844,59272.5130617312
D3,Dataset 3,1,Poisson,1.087508201599121,True,10,-72241.45489686886,144486.90979373772,144502.7167688428
