SourceFolder,Dataset,Link,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
C2_identity_NB,C2,identity,NB,192.1688391991729,0.01,99,99,6.069539751507649,14.634270965986603,191.7848494052887
C2_identity_P_plus_NB,C2,identity,P+NB,18.76740767319734,0.01,99,99,1.867631592316868,8.38183025941671,234.88979530334475
C2_identity_Poisson,C2,identity,Poisson,1367.0750457747629,0.01,99,99,1.0722573863265896,4.634262055418003,156.5187644958496
C2_identity_ZINB,C2,identity,ZINB,0.0006847775084679,0.7,99,99,2.739787750914031,8.920629318808823,165.61777019500732
C2_identity_ZIP,C2,identity,ZIP,0.0023604735852131,0.97,99,99,5.1504896500286526,10.989536603885242,187.71955585479736
C2_identity_Z_plus_P_plus_NB,C2,identity,Z+P+NB,0.0023271370573638,0.56,99,99,1.4343913649777875,5.614034154284304,164.43175411224365
C2_log_NB,C2,log,NB,203.9326574316501,0.01,99,99,9.365812291726511,17.471144472273405,170.67306423187256
C2_log_P_plus_NB,C2,log,P+NB,15.325755682425552,0.03,99,99,4.494142251051035,10.69682999616252,240.1545171737671
C2_log_Poisson,C2,log,Poisson,1380.27900741577,0.01,99,99,2.841824569180907,7.85041989415785,141.63591170310974
C2_log_ZINB,C2,log,ZINB,10.266293751810736,0.1,99,99,5.710565031144133,12.089732270933464,193.24709129333496
C2_log_ZIP,C2,log,ZIP,10.268112524527169,0.14,99,99,5.638739254513498,13.25863844803898,225.2531247138977
C2_log_Z_plus_P_plus_NB,C2,log,Z+P+NB,2.3310443997925177,0.31,99,99,1.906214303882808,5.44341830648209,277.65868616104126
C3_identity_NB,C3,identity,NB,148.1060631653272,0.01,99,99,5.462918911235169,13.585981112601342,163.30870532989502
C3_identity_P_plus_NB,C3,identity,P+NB,3.158462016291196,0.33,99,99,2.9157558844055087,9.304964545137128,202.96397995948792
C3_identity_Poisson,C3,identity,Poisson,776.5185970243183,0.01,99,99,1.8694958813390403,7.850202562265524,125.1746416091919
C3_identity_ZINB,C3,identity,ZINB,4.607520211475276,0.51,99,99,5.146194996510871,9.62444457661313,180.9625997543335
C3_identity_ZIP,C3,identity,ZIP,5.665585826709503,0.35,99,99,4.933006980251812,11.112261121227402,177.95093703269958
C3_identity_Z_plus_P_plus_NB,C3,identity,Z+P+NB,1.8870737502493284,0.33,99,99,1.6457916379112425,4.195201325166179,209.6512336730957
C3_log_NB,C3,log,NB,152.6782680375063,0.01,99,99,9.195182600062456,17.927486167845288,140.5886788368225
