SourceFolder,Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C2_identity_NB,C2,identity,,Poisson,0.1093182563781738,True,29,-3526.904000784989,7059.808001569978,7079.699567200148,9.700982582216966e-05,not_computed
C2_identity_NB,C2,identity,,NB,0.2992522716522217,True,34,-2939.450897497194,5886.901794994388,5913.423882501281,0.036799884449806,not_computed
C2_identity_NB,C2,identity,,ZIP,0.4279775619506836,True,21,-2843.3676581344,5696.7353162688005,5729.887925652417,2.083284280907094e-05,not_computed
C2_identity_NB,C2,identity,,ZINB,1.2913429737091064,True,45,-2843.366820286362,5698.733640572724,5738.516771833063,0.0013320200490127,not_computed
C2_identity_NB,C2,identity,,P+NB,0.9422206878662108,True,46,-2852.7501817342063,5721.500363468413,5774.544538482199,1068.120085966574,not_computed
C2_identity_NB,C2,identity,,Z+P+NB,1.376481294631958,True,73,-2843.3676414661363,5706.735282932273,5773.040501699505,0.0050455309340122,not_computed
C2_identity_NB,C2,identity,,ZIP--ZINB,2.095088005065918,True,87,-2843.366477897608,5710.732955795215,5790.299218315894,0.0079804079419361,not_computed
C2_identity_P_plus_NB,C2,identity,,Poisson,0.1285879611968994,True,29,-3526.904000784989,7059.808001569978,7079.699567200148,9.700982582216966e-05,not_computed
C2_identity_P_plus_NB,C2,identity,,NB,0.2998125553131103,True,34,-2939.450897497194,5886.901794994388,5913.423882501281,0.036799884449806,not_computed
C2_identity_P_plus_NB,C2,identity,,ZIP,0.4409754276275635,True,21,-2843.3676581344,5696.7353162688005,5729.887925652417,2.083284280907094e-05,not_computed
C2_identity_P_plus_NB,C2,identity,,ZINB,1.315295934677124,True,45,-2843.366820286362,5698.733640572724,5738.516771833063,0.0013320200490127,not_computed
C2_identity_P_plus_NB,C2,identity,,P+NB,0.9522712230682372,True,46,-2852.7501817342063,5721.500363468413,5774.544538482199,1068.120085966574,not_computed
C2_identity_P_plus_NB,C2,identity,,Z+P+NB,1.3993306159973145,True,73,-2843.3676414661363,5706.735282932273,5773.040501699505,0.0050455309340122,not_computed
