Dataset,Link,RestrictedModel,mean_BootstrapPValue,sd_BootstrapPValue,n_BootstrapPValue,mean_ObservedLRT,sd_ObservedLRT,n_ObservedLRT,mean_BootstrapQ95,sd_BootstrapQ95,n_BootstrapQ95,min_BootstrapRepsSucceeded
C2,identity,NB,0.01,0.0,1,192.1688391991729,0.0,1,14.634270965986603,0.0,1,99
C2,identity,P+NB,0.01,0.0,1,18.76740767319734,0.0,1,8.38183025941671,0.0,1,99
C2,identity,Poisson,0.01,0.0,1,1367.0750457747629,0.0,1,4.634262055418003,0.0,1,99
C2,identity,ZINB,0.7,0.0,1,0.0006847775084679,0.0,1,8.920629318808823,0.0,1,99
C2,identity,ZIP,0.97,0.0,1,0.0023604735852131,0.0,1,10.989536603885242,0.0,1,99
C2,identity,Z+P+NB,0.56,0.0,1,0.0023271370573638,0.0,1,5.614034154284304,0.0,1,99
C2,log,NB,0.01,0.0,1,203.9326574316501,0.0,1,17.471144472273405,0.0,1,99
C2,log,P+NB,0.03,0.0,1,15.325755682425552,0.0,1,10.69682999616252,0.0,1,99
C2,log,Poisson,0.01,0.0,1,1380.27900741577,0.0,1,7.85041989415785,0.0,1,99
C2,log,ZINB,0.1,0.0,1,10.266293751810736,0.0,1,12.089732270933464,0.0,1,99
C2,log,ZIP,0.14,0.0,1,10.268112524527169,0.0,1,13.25863844803898,0.0,1,99
C2,log,Z+P+NB,0.31,0.0,1,2.3310443997925177,0.0,1,5.44341830648209,0.0,1,99
C3,identity,NB,0.01,0.0,1,148.1060631653272,0.0,1,13.585981112601342,0.0,1,99
C3,identity,P+NB,0.33,0.0,1,3.158462016291196,0.0,1,9.304964545137128,0.0,1,99
C3,identity,Poisson,0.01,0.0,1,776.5185970243183,0.0,1,7.850202562265524,0.0,1,99
C3,identity,ZINB,0.51,0.0,1,4.607520211475276,0.0,1,9.62444457661313,0.0,1,99
C3,identity,ZIP,0.35,0.0,1,5.665585826709503,0.0,1,11.112261121227402,0.0,1,99
C3,identity,Z+P+NB,0.33,0.0,1,1.8870737502493284,0.0,1,4.195201325166179,0.0,1,99
C3,log,NB,0.01,0.0,1,152.6782680375063,0.0,1,17.927486167845288,0.0,1,99
C3,log,P+NB,0.81,0.0,1,1.497330825143763,0.0,1,7.612782167260865,0.0,1,99
C3,log,Poisson,0.01,0.0,1,781.890276248203,0.0,1,8.663378773380815,0.0,1,99
C3,log,ZINB,0.26,0.0,1,7.471025780966556,0.0,1,11.14201994977102,0.0,1,99
C3,log,ZIP,0.26,0.0,1,8.257022972018603,0.0,1,12.88859667857068,0.0,1,99
C3,log,Z+P+NB,0.83,0.0,1,0.5160862832526618,0.0,1,7.564252644951739,0.0,1,99
H2AX1H60,identity,NB,0.01,0.0,1,231.83109388102,0.0,1,12.018647145209796,0.0,1,99
H2AX1H60,identity,P+NB,0.01,0.0,1,38.16276967663498,0.0,1,7.186578442624748,0.0,1,99
H2AX1H60,identity,Poisson,0.01,0.0,1,877.5755864357488,0.0,1,8.120446773997582,0.0,1,99
H2AX1H60,identity,ZINB,0.01,0.0,1,57.53991367908657,0.0,1,11.43910554350422,0.0,1,99
H2AX1H60,identity,ZIP,0.01,0.0,1,73.55217300597315,0.0,1,9.072555966336813,0.0,1,99
H2AX1H60,identity,Z+P+NB,0.01,0.0,1,28.882344845258103,0.0,1,4.783556403277043,0.0,1,99
H2AX1H60,log,NB,0.01,0.0,1,229.1288744340054,0.0,1,14.304707494294734,0.0,1,99
H2AX1H60,log,P+NB,0.01,0.0,1,24.561297898821067,0.0,1,5.813775648974294,0.0,1,99
H2AX1H60,log,Poisson,0.01,0.0,1,865.6877321077391,0.0,1,7.205114349778569,0.0,1,99
H2AX1H60,log,ZINB,0.01,0.0,1,56.40285823188788,0.0,1,10.375062959202658,0.0,1,99
H2AX1H60,log,ZIP,0.01,0.0,1,72.27180672096847,0.0,1,10.737534507960072,0.0,1,99
H2AX1H60,log,Z+P+NB,0.01,0.0,1,21.470596559290243,0.0,1,5.8743378497684215,0.0,1,99
H2AX4H100,identity,NB,0.01,0.0,1,164.3326337664157,0.0,1,7.36538315499033,0.0,1,99
H2AX4H100,identity,P+NB,0.06,0.0,1,8.222365863797677,0.0,1,8.170646345548578,0.0,1,99
H2AX4H100,identity,Poisson,0.01,0.0,1,170.09713671028385,0.0,1,7.29441197959486,0.0,1,99
H2AX4H100,identity,ZINB,0.08,0.0,1,5.528337524406197,0.0,1,6.365123899286528,0.0,1,99
H2AX4H100,identity,ZIP,0.24,0.0,1,5.529573475699181,0.0,1,7.72599481707743,0.0,1,99
H2AX4H100,identity,Z+P+NB,0.03,0.0,1,5.52851044867748,0.0,1,3.841812720197412,0.0,1,99
H2AX4H100,log,NB,0.01,0.0,1,160.1645190347599,0.0,1,7.928112261731075,0.0,1,99
H2AX4H100,log,P+NB,0.05,0.0,1,6.665201246116794,0.0,1,6.435549654507939,0.0,1,99
H2AX4H100,log,Poisson,0.01,0.0,1,165.8929367663059,0.0,1,5.7204581230676,0.0,1,99
H2AX4H100,log,ZINB,0.21,0.0,1,4.210367390819556,0.0,1,6.140733876438207,0.0,1,99
H2AX4H100,log,ZIP,0.35,0.0,1,4.210369582061048,0.0,1,7.370062553639263,0.0,1,99
H2AX4H100,log,Z+P+NB,0.07,0.0,1,4.210369597793942,0.0,1,4.391689971617825,0.0,1,99
