Dataset,Link,Fold,Model,n_train,n_test,test_loglik,mean_test_log_score
C3,identity,2,Poisson,3520,880,-717.9271114867094,-0.8158262630530788
C3,identity,2,NB,3520,880,-649.9850689729119,-0.7386193965601272
C3,identity,2,ZIP,3520,880,-631.1098244130055,-0.717170255014779
C3,identity,2,ZINB,3520,880,-631.3905285471787,-0.7174892369854304
C3,identity,2,P+NB,3520,880,-630.0357023572967,-0.7159496617696554
C3,identity,2,Z+P+NB,3520,880,-632.0936495178889,-0.7182882380885102
C3,identity,2,ZIP--ZINB,3520,880,-632.1297003317437,-0.718329204922436
C3,identity,1,Poisson,3520,880,-722.2607834493781,-0.8207508902833842
C3,identity,1,NB,3520,880,-659.1922468197655,-0.7490820986588245
C3,identity,1,ZIP,3520,880,-645.9147392480388,-0.7339940218727714
C3,identity,1,ZINB,3520,880,-646.2321412766221,-0.7343547059961615
C3,identity,1,P+NB,3520,880,-645.6112163187577,-0.7336491094531337
C3,identity,1,Z+P+NB,3520,880,-646.0704317094944,-0.7341709451244255
C3,identity,1,ZIP--ZINB,3520,880,-647.0867603023797,-0.735325863979977
C3,identity,3,Poisson,3520,880,-743.0642448426069,-0.8443911873211442
C3,identity,3,NB,3520,880,-658.649954496899,-0.7484658573828398
C3,identity,3,ZIP,3520,880,-643.8653684480755,-0.7316651914182676
C3,identity,3,ZINB,3520,880,-643.6224692908613,-0.731389169648706
C3,identity,3,P+NB,3520,880,-643.8844562794213,-0.7316868821357061
C3,identity,3,Z+P+NB,3520,880,-643.6897398222071,-0.7314656134343263
C3,identity,3,ZIP--ZINB,3520,880,-644.5869456516557,-0.7324851655132452
C2,identity,0,Poisson,4480,1120,-748.5999315945324,-0.6683927960665468
C2,identity,0,NB,4480,1120,-620.0192818742148,-0.5535886445305489
C2,identity,0,ZIP,4480,1120,-601.3163634947217,-0.5368896102631444
C2,identity,0,ZINB,4480,1120,-601.3163512338585,-0.5368895993159452
C2,identity,0,P+NB,4480,1120,-602.410074634972,-0.5378661380669393
C2,identity,0,Z+P+NB,4480,1120,-601.3163650907181,-0.5368896116881412
C2,identity,0,ZIP--ZINB,4480,1120,-601.3163688052596,-0.536889615004696
C2,identity,2,Poisson,4480,1120,-732.946048968645,-0.6544161151505759
C2,identity,2,NB,4480,1120,-616.5569524319653,-0.5504972789571119
C2,identity,2,ZIP,4480,1120,-595.2252459253126,-0.5314511124333148
C2,identity,2,ZINB,4480,1120,-595.2251213706975,-0.531451001223837
C2,identity,2,P+NB,4480,1120,-596.5241043509836,-0.5326108074562353
C2,identity,2,Z+P+NB,4480,1120,-595.2253641840226,-0.5314512180214488
C2,identity,2,ZIP--ZINB,4480,1120,-595.2254937472994,-0.531451333702946
C3,identity,4,Poisson,3520,880,-711.7380017655107,-0.808793183824444
C3,identity,4,NB,3520,880,-646.5920018923446,-0.7347636385140279
C3,identity,4,ZIP,3520,880,-637.905043957627,-0.7248920954063943
C3,identity,4,ZINB,3520,880,-637.734915245151,-0.7246987673240353
C3,identity,4,P+NB,3520,880,-636.9814277169505,-0.7238425314965347
C3,identity,4,Z+P+NB,3520,880,-637.0172899874511,-0.723883284076649
C3,identity,4,ZIP--ZINB,3520,880,-639.0737450393639,-0.726220164817459
C2,identity,4,Poisson,4480,1120,-690.804963382142,-0.6167901458769125
C2,identity,4,NB,4480,1120,-562.8440551249412,-0.5025393349329832
C2,identity,4,ZIP,4480,1120,-541.6060857941794,-0.48357686231623165
C2,identity,4,ZINB,4480,1120,-541.6059660200174,-0.4835767553750155
C2,identity,4,P+NB,4480,1120,-542.9055034253427,-0.48473705662977024
C2,identity,4,Z+P+NB,4480,1120,-541.6060246303173,-0.48357680770564043
C2,identity,4,ZIP--ZINB,4480,1120,-542.0898077498591,-0.48400875691951706
C2,log,3,Poisson,4480,1120,-708.0702410110416,-0.6322055723312872
C2,log,3,NB,4480,1120,-570.5135176134456,-0.5093870692977193
C2,log,3,ZIP,4480,1120,-551.2079921780262,-0.4921499930160948
C2,log,3,ZINB,4480,1120,-551.2079430568798,-0.49214994915792837
C2,log,3,P+NB,4480,1120,-553.4966729863006,-0.4941934580234827
C2,log,3,Z+P+NB,4480,1120,-549.1242459329727,-0.4902895052972971
C2,log,3,ZIP--ZINB,4480,1120,-549.344035544601,-0.49048574602196515
C2,log,0,Poisson,4480,1120,-605.9917222152936,-0.5410640376922264
C2,log,0,NB,4480,1120,-514.071424189859,-0.45899234302665987
C2,log,0,ZIP,4480,1120,-497.00914285026835,-0.44375816325916817
C2,log,0,ZINB,4480,1120,-497.00907263183433,-0.4437581005641378
