Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C3,identity,2,Poisson,0.17630887031555176,True,22,-2749.4790255324783,5504.958051064957,5523.456699870733,0.0004157768776735793,not_computed
C3,identity,2,NB,0.5761322975158691,True,89,-2502.906562869618,5013.813125739236,5038.477990813604,0.010761732324304774,not_computed
C3,identity,2,ZIP,0.38306617736816406,True,26,-2450.90747856722,4911.81495713444,4942.646038477401,5.227076227454219e-05,not_computed
C3,identity,2,ZINB,0.8611695766448975,True,26,-2450.131983618523,4912.263967237046,4949.261264848599,0.0025910481039090882,not_computed
C3,identity,2,P+NB,1.0637385845184326,True,55,-2451.04781848807,4918.09563697614,4967.425367124877,0.0032987363801572278,not_computed
C3,identity,2,Z+P+NB,2.1722230911254883,True,69,-2448.927713341718,4917.855426683436,4979.517589369358,0.05334280301379124,not_computed
C3,identity,2,ZIP--ZINB,3.0042126178741455,True,126,-2447.7087302540876,4919.417460508175,4993.412055731281,450.36983296863013,not_computed
C3,identity,1,Poisson,0.2628345489501953,True,9,-2744.8513388382235,5495.702677676447,5514.2013264822235,0.000661123165087929,not_computed
C3,identity,1,NB,0.4223971366882324,True,11,-2493.450171862213,4994.900343724426,5019.565208798795,0.0012073678634578755,not_computed
C3,identity,1,ZIP,0.4913513660430908,True,13,-2435.7781227287705,4881.556245457541,4912.387326800502,0.0004919614736920153,not_computed
C3,identity,1,ZINB,0.6724278926849365,True,27,-2434.962935062059,4881.925870124118,4918.923167735671,0.001497921153571724,not_computed
C3,identity,1,P+NB,1.523040771484375,True,103,-2435.5108720176167,4887.0217440352335,4936.351474183971,155.0281798964148,not_computed
C3,identity,1,Z+P+NB,1.8342573642730713,True,65,-2434.446549594005,4888.89309918801,4950.555261873931,0.033995120599470685,not_computed
C3,identity,1,ZIP--ZINB,3.8602383136749268,True,111,-2431.905164951342,4887.810329902684,4961.80492512579,0.7561794426032482,not_computed
C3,identity,3,Poisson,0.40804481506347656,True,41,-2724.2052699141323,5454.4105398282645,5472.909188634041,0.0015973631875283445,not_computed
C3,identity,3,NB,0.6053915023803711,True,24,-2494.1002883708134,4996.200576741627,5020.865441815995,0.00367109430766277,not_computed
C3,identity,3,ZIP,0.556537389755249,True,18,-2437.801790118244,4885.603580236488,4916.434661579448,5.602609058286134e-05,not_computed
C3,identity,3,ZINB,1.324913740158081,True,27,-2437.497906840958,4886.995813681916,4923.993111293469,0.007794978885335979,not_computed
C3,identity,3,P+NB,1.1250178813934326,True,39,-2436.9247503635665,4889.849500727133,4939.17923087587,148.98096634490344,not_computed
C3,identity,3,Z+P+NB,1.7693665027618408,True,68,-2437.2874693595377,4894.574938719075,4956.237101404997,0.02183902651977121,not_computed
C3,identity,3,ZIP--ZINB,3.415212631225586,True,88,-2435.709387820301,4895.418775640602,4969.413370863707,0.00250235560007539,not_computed
C2,identity,0,Poisson,0.23401474952697754,True,47,-2778.8498574923497,5563.699714984699,5582.921849960926,0.0015722314452659703,not_computed
C2,identity,0,NB,0.6659224033355713,True,13,-2319.684423575298,4647.368847150596,4672.998360452232,0.00041783799197503413,not_computed
C2,identity,0,ZIP,0.6033809185028076,True,19,-2242.51932643366,4495.03865286732,4527.075544494365,0.0003676015400344568,not_computed
C2,identity,0,ZINB,1.6608467102050781,True,52,-2242.5188302251386,4497.037660450277,4535.481930402731,0.025170657137593366,not_computed
C2,identity,0,P+NB,2.5028305053710938,True,110,-2244.1307303034946,4504.261460606989,4555.520487210261,1288.6807117915548,not_computed
