Dataset,Link,Count,Observed,Expected,RootogramDiff
H2AX4H100,identity,0,78.0,79.10644082720958,-0.06241929978131289
H2AX4H100,identity,1,19.0,37.18966983194984,-1.7394344215640771
H2AX4H100,identity,2,64.0,69.77819950257106,-0.3533346336999479
H2AX4H100,identity,3,97.0,90.55886915719204,0.33261541537109096
H2AX4H100,identity,4,96.0,92.03972549057369,0.20422531365744767
H2AX4H100,identity,5,104.0,78.5029003359787,1.337852779934403
H2AX4H100,identity,6,62.0,58.624116954832914,0.21736912356570492
H2AX4H100,identity,7,48.0,39.34590821694603,0.6555715483619258
H2AX4H100,identity,8,17.0,24.10342050287757,-0.7864178240541673
H2AX4H100,identity,9,8.0,13.596887870553342,-0.8589686867382973
H2AX4H100,identity,10,2.0,7.098929456485648,-1.2501680650379725
H2AX4H100,identity,11,0.0,3.4419598249394836,-1.855251957266043
H2AX4H100,identity,12,1.0,1.554091088106156,-0.24663189759694348
H2AX4H100,identity,13,0.0,0.6551834183011133,-0.8094340110849761
H2AX4H100,identity,14,0.0,0.25860966585429,-0.5085367890863846
H2AX4H100,identity,15,0.0,0.09583607556080495,-0.3095740227486876
H2AX4H100,identity,>15,0.0,0.04925178006770814,-0.2219274207206224
H2AX4H100,log,0,78.0,78.75699717696047,-0.042753045823085145
H2AX4H100,log,1,19.0,36.70272604012415,-1.6993785377343578
H2AX4H100,log,2,64.0,69.62344222003534,-0.34406628808971895
H2AX4H100,log,3,97.0,90.9378401162092,0.3127244073741693
H2AX4H100,log,4,96.0,92.62127901488353,0.1739640098454025
H2AX4H100,log,5,104.0,78.90004791147757,1.3154691337663476
H2AX4H100,log,6,62.0,58.727231241893904,0.2106384295772088
H2AX4H100,log,7,48.0,39.26057437250712,0.6623773172368193
H2AX4H100,log,8,17.0,23.96681850622416,-0.7724861165749175
H2AX4H100,log,9,8.0,13.48492836766463,-0.8437559272903812
H2AX4H100,log,10,2.0,7.029182864168273,-1.237047055553455
H2AX4H100,log,11,0.0,3.40523727037927,-1.8453284993136778
H2AX4H100,log,12,1.0,1.536902125266034,-0.2397185669602735
H2AX4H100,log,13,0.0,0.6478004640822769,-0.8048605246142196
H2AX4H100,log,14,0.0,0.2556400637238466,-0.5056086072485778
H2AX4H100,log,15,0.0,0.09470263237009331,-0.3077379280655755
H2AX4H100,log,>15,0.0,0.048649612030047695,-0.2205665705179452
H2AX1H60,identity,0,243.0,254.5454197025519,-0.3660223442821291
H2AX1H60,identity,1,40.0,37.59075905162186,0.19342499619408393
