Dataset,Link,Threshold,ObservedTailCount,ExpectedTailCount,ObservedTailRate,ExpectedTailRate
H2AX4H100,identity,1,518.0,516.8935591727904,0.8691275167785235,0.8672710724375678
H2AX4H100,identity,2,499.0,479.70388934084053,0.837248322147651,0.8048722975517458
H2AX4H100,identity,3,435.0,409.9256898382695,0.7298657718120806,0.6877947816078347
H2AX4H100,identity,5,242.0,227.32709519050377,0.40604026845637586,0.3814213006552077
H2AX4H100,identity,8,28.0,50.85416968274616,0.04697986577181208,0.08532578805829892
H2AX4H100,identity,10,3.0,13.15386130931526,0.0050335570469798654,0.022070237096166543
H2AX4H100,identity,15,0.0,0.14508785562850646,0.0,0.00024343599937668868
H2AX4H100,log,1,518.0,517.2430028230394,0.8691275167785235,0.8678573872869789
H2AX4H100,log,2,499.0,480.5402767829153,0.837248322147651,0.8062756321860995
H2AX4H100,log,3,435.0,410.91683456288007,0.7298657718120806,0.6894577761122149
H2AX4H100,log,5,242.0,227.3577154317873,0.40604026845637586,0.381472676898972
H2AX4H100,log,8,28.0,50.4698619059087,0.04697986577181208,0.0846809763521958
H2AX4H100,log,10,3.0,13.01811503201986,0.0050335570469798654,0.021842474885939364
H2AX4H100,log,15,0.0,0.1433522444001567,0.0,0.00024052390000026293
H2AX1H60,identity,1,356.0,344.4545802974481,0.5943238731218697,0.5750493828004142
H2AX1H60,identity,2,316.0,306.8638212458263,0.5275459098497496,0.5122935246174062
H2AX1H60,identity,3,272.0,256.61158293415775,0.4540901502504174,0.4283999715094453
H2AX1H60,identity,5,166.0,148.15141480474546,0.27712854757929883,0.2473312434135984
H2AX1H60,identity,8,42.0,40.284443562178694,0.07011686143572621,0.0672528273158242
H2AX1H60,identity,10,8.0,12.489972398203225,0.01335559265442404,0.02085137295192525
H2AX1H60,identity,15,0.0,0.2335543025632293,0.0,0.0003899070159653244
H2AX1H60,log,1,356.0,346.8014853958768,0.5943238731218697,0.5789674213620648
H2AX1H60,log,2,316.0,311.008057477576,0.5275459098497496,0.5192121159892755
H2AX1H60,log,3,272.0,259.50916991239706,0.4540901502504174,0.43323734542971126
H2AX1H60,log,5,166.0,148.37059623632226,0.27712854757929883,0.2476971556532926
H2AX1H60,log,8,42.0,41.07842240001847,0.07011686143572621,0.06857833455762682
H2AX1H60,log,10,8.0,13.05442086377194,0.01335559265442404,0.021793690924494055
H2AX1H60,log,15,0.0,0.2618061408256799,0.0,0.0004370720214118195
C3,identity,1,935.0,934.3663512358193,0.2125,0.21235598891723165
C3,identity,2,391.0,392.56055172286665,0.08886363636363637,0.08921830720974241
C3,identity,3,194.0,188.29817415079538,0.04409090909090909,0.04279503957972622
C3,identity,5,37.0,42.19336603558321,0.00840909090909091,0.009589401371723457
C3,identity,8,2.0,2.5691296276593167,0.00045454545454545455,0.0005838930971952993
C3,identity,10,0.0,0.2617160319727363,0.0,5.948091635744007e-05
C3,identity,15,0.0,0.00024496911372740016,0.0,5.567479857440913e-08
C3,log,1,935.0,934.8958813657591,0.2125,0.21247633667403618
C3,log,2,391.0,392.4317260812758,0.08886363636363637,0.08918902865483541
C3,log,3,194.0,189.52010097933547,0.04409090909090909,0.04307275022257624
C3,log,5,37.0,41.72616785547281,0.00840909090909091,0.009483219967152911
C3,log,8,2.0,2.319588990968824,0.00045454545454545455,0.0005271793161292782
C3,log,10,0.0,0.227463716317855,0.0,5.1696299163148865e-05
C3,log,15,0.0,0.00023740915267023155,0.0,5.3956625606870805e-08
C2,log,1,722.0,722.0372364948913,0.12892857142857142,0.12893522080265915
C2,log,2,324.0,314.87769599948183,0.05785714285714286,0.05622815999990747
C2,log,3,161.0,161.30381035086003,0.02875,0.02880425184836786
C2,log,5,40.0,41.9566847876921,0.007142857142857143,0.007492265140659303
C2,log,8,2.0,3.0523306779485893,0.00035714285714285714,0.0005450590496336767
C2,log,10,0.0,0.33853949892639346,0.0,6.045348195114169e-05
C2,log,15,0.0,0.0003627438568631902,0.0,6.477568872556968e-08
C2,identity,1,722.0,721.517150678413,0.12892857142857142,0.1288423483354309
C2,identity,2,324.0,323.438283777052,0.05785714285714286,0.05775683638875929
C2,identity,3,161.0,161.63991199702255,0.02875,0.02886426999946831
C2,identity,5,40.0,38.8611794924294,0.007142857142857143,0.006939496337933821
C2,identity,8,2.0,2.5771798281336133,0.00035714285714285714,0.0004602106835952881
C2,identity,10,0.0,0.27304170452469023,0.0,4.875744723655183e-05
C2,identity,15,0.0,0.00025880259595378874,0.0,4.6214749277462275e-08
