Dataset,Link,Bin,DoseMin,DoseMax,n,ObservedZeroRate,FittedZeroProbability
H2AX4H100,identity,1,0.75,0.75,196,0.12755102040816327,0.16709172411241743
H2AX4H100,identity,2,1.5,1.5,200,0.195,0.15889575384127755
H2AX4H100,identity,3,3.0,3.0,200,0.07,0.07288656066460124
H2AX4H100,log,1,0.75,0.75,196,0.12755102040816327,0.17094078617867098
H2AX4H100,log,2,1.5,1.5,200,0.195,0.15644351266249992
H2AX4H100,log,3,3.0,3.0,200,0.07,0.06981950276720485
H2AX1H60,identity,1,0.75,0.75,199,0.44221105527638194,0.5004219139411343
H2AX1H60,identity,2,1.5,1.5,200,0.53,0.5100032530547683
H2AX1H60,identity,3,3.0,3.0,200,0.245,0.26480404108656225
H2AX1H60,log,1,0.75,0.75,199,0.44221105527638194,0.48911990114162845
H2AX1H60,log,2,1.5,1.5,200,0.53,0.513630073922845
H2AX1H60,log,3,3.0,3.0,200,0.245,0.2606881974618508
C3,identity,1,1.0,1.0,2000,0.9005,0.9014189383851273
C3,identity,2,2.0,2.0,1000,0.745,0.7445502523634061
C3,identity,3,3.0,3.0,600,0.6616666666666666,0.6561655095039648
C3,identity,4,4.0,4.0,400,0.65,0.6590196954296385
C3,identity,5,5.0,5.0,400,0.655,0.6523458393907152
C3,log,1,1.0,1.0,2000,0.9005,0.9010464420652847
C3,log,2,2.0,2.0,1000,0.745,0.74298324974896
C3,log,3,3.0,3.0,600,0.6616666666666666,0.6633667747485897
C3,log,4,4.0,4.0,400,0.65,0.650023625513089
C3,log,5,5.0,5.0,400,0.655,0.6549961742508045
C2,log,1,1.0,1.0,2400,0.9275,0.9275509104136105
C2,log,2,2.0,2.0,1200,0.8541666666666666,0.8529910726894833
C2,log,3,3.0,3.0,800,0.82125,0.8233210011168731
C2,log,4,4.0,4.0,600,0.8066666666666666,0.8059445486539969
C2,log,5,5.0,5.0,600,0.81,0.8100462686652791
C2,identity,1,1.0,1.0,2400,0.9275,0.9273031344936713
C2,identity,2,2.0,2.0,1200,0.8541666666666666,0.8599946869382006
C2,identity,3,3.0,3.0,800,0.82125,0.8124162983682092
C2,identity,4,4.0,4.0,600,0.8066666666666666,0.8018108721163741
C2,identity,5,5.0,5.0,600,0.81,0.8165702337442379
