Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
H2AX4H100,Poisson,identity,-1305.5349257185617,2615.0698514371234,2623.850332771254,596,2,True,5,9.479684058177895e-06,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,NB,identity,-1302.65267424663,2611.30534849326,2624.476070494456,596,3,True,9,4.581885658705431e-05,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,ZIP,identity,-1223.2511441012693,2454.5022882025387,2472.0632508708,596,4,True,10,1.4904842724705603e-05,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,ZINB,identity,-1223.2509678494403,2456.5019356988805,2478.453139034207,596,5,True,30,6.418839226300484e-05,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,P+NB,identity,-1224.5975402939243,2461.1950805878487,2487.536524590241,596,6,True,38,48.58693716523106,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,Z+P+NB,identity,-1223.2510443474953,2462.5020886949906,2497.6240140315135,596,8,True,28,0.010251638491562076,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,ZIP--ZINB,identity,-1220.4870176184322,2460.9740352368644,2504.876441907518,596,10,True,40,0.05724602817421487,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,Poisson,log,-1305.4081337130851,2614.8162674261703,2623.596748760301,596,2,True,6,2.603852447258248e-05,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,NB,log,-1302.5439248474531,2611.0878496949063,2624.258571696102,596,3,True,14,0.0015629842091104962,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,ZIP,log,-1224.566850120958,2457.133700241916,2474.694662910177,596,4,True,11,0.00046662954259169,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,ZINB,log,-1224.5661718900242,2459.1323437800484,2481.083547115375,596,5,True,28,0.0002854335779804984,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,P+NB,log,-1225.7942659529908,2463.5885319059817,2489.9299759083738,596,6,True,80,1.2406312279722442e-06,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,Z+P+NB,log,-1224.566850131458,2465.133700262916,2500.255625599439,596,8,True,36,8.196548037631146e-06,not_computed,nan,0,Optimization terminated successfully
H2AX4H100,ZIP--ZINB,log,-1222.4616478254216,2464.923295650843,2508.8257023214965,596,10,True,46,0.13200480001910364,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,Poisson,identity,-1590.3284183337996,3184.6568366675992,3193.44735986383,599,2,True,5,2.837368112729166e-05,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,NB,identity,-1267.456172056452,2540.912344112904,2554.0981289072506,599,3,True,8,2.6968619028344687e-05,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,ZIP,identity,-1188.3167116188401,2384.6334232376803,2402.214469630142,599,4,True,11,3.472198920029257e-05,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,ZINB,identity,-1180.310581955926,2370.621163911852,2392.5974719024293,599,5,True,13,0.0002881211119092342,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,P+NB,identity,-1170.6220099542425,2353.244019908485,2379.6155894971776,599,6,True,29,11.50303808303433,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,Z+P+NB,identity,-1165.9816564354032,2347.9633128708065,2383.12540565573,599,8,True,56,0.0011934228026311833,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,ZIP--ZINB,identity,-1151.540641530919,2323.081283061838,2367.0338990429923,599,10,True,52,0.0017399451009776357,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,Poisson,log,-1584.6951980400709,3173.3903960801417,3182.1809192763726,599,2,True,8,7.107520765359254e-05,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,NB,log,-1266.4157692032477,2538.8315384064954,2552.017323200842,599,3,True,8,0.00012040552181868946,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,ZIP,log,-1187.9872353466562,2383.9744706933125,2401.555517085774,599,4,True,12,3.0683145202381468e-06,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,ZINB,log,-1180.0527611021655,2370.105522204331,2392.0818301949084,599,5,True,22,0.00015228415801515904,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,P+NB,log,-1164.1319809356314,2340.263961871263,2366.6355314599555,599,6,True,35,8.215804532407667e-05,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,Z+P+NB,log,-1162.586738032732,2341.173476065464,2376.3355688503875,599,8,True,56,0.0010251742590744461,not_computed,nan,0,Optimization terminated successfully
H2AX1H60,ZIP--ZINB,log,-1151.733012276312,2323.466024552624,2367.418640533778,599,10,True,64,0.012914537017827854,not_computed,nan,0,Optimization terminated successfully
C3,Poisson,identity,-3466.6358733921306,6939.271746784261,6958.43982624398,4400,3,True,41,0.0006905443131017819,not_computed,nan,0,Optimization terminated successfully
C3,NB,identity,-3152.4296064626524,6312.859212925305,6338.41665220493,4400,4,True,11,0.0026096939348576598,not_computed,nan,0,Optimization terminated successfully
C3,ZIP,identity,-3081.2093677930843,6172.418735586169,6204.3655346857,4400,5,True,13,0.0002166195219857059,not_computed,nan,0,Optimization terminated successfully
C3,ZINB,identity,-3080.680334985683,6173.360669971366,6211.696828890805,4400,6,True,44,0.00022232185170167895,not_computed,nan,0,Optimization terminated successfully
C3,P+NB,identity,-3079.955805887862,6175.911611775724,6227.026490334974,4400,8,True,51,0.002340691835911457,not_computed,nan,0,Optimization terminated successfully
C3,Z+P+NB,identity,-3079.3201117559065,6178.640223511813,6242.5338217108765,4400,10,True,102,0.006281581720372742,not_computed,nan,0,Optimization terminated successfully
C3,ZIP--ZINB,identity,-3078.3765748829537,6180.753149765907,6257.425467604784,4400,12,True,96,155.5625788826749,not_computed,nan,0,Optimization terminated successfully
C3,Poisson,log,-3468.1482462159074,6942.296492431815,6961.4645718915335,4400,3,True,11,0.0015760586370561214,not_computed,nan,0,Optimization terminated successfully
C3,NB,log,-3153.542242110528,6315.084484221056,6340.6419235006815,4400,4,True,22,9.517477934650742e-06,not_computed,nan,0,Optimization terminated successfully
C3,ZIP,log,-3081.331619577844,6172.663239155688,6204.6100382552195,4400,5,True,19,0.0025703574480360203,not_computed,nan,0,Optimization terminated successfully
C3,ZINB,log,-3080.9386209823188,6173.8772419646375,6212.213400884076,4400,6,True,42,0.000950609849923012,not_computed,nan,0,Optimization terminated successfully
C3,P+NB,log,-3077.951773504372,6171.903547008744,6223.018425567994,4400,8,True,51,8.378937050679269e-05,not_computed,nan,0,Optimization terminated successfully
C3,Z+P+NB,log,-3077.461150841234,6174.922301682468,6238.815899881532,4400,10,True,52,0.14706416547673484,not_computed,nan,0,Optimization terminated successfully
C3,ZIP--ZINB,log,-3077.0641378277232,6178.1282756554465,6254.800593494323,4400,12,True,149,0.004058946692183221,not_computed,nan,0,Optimization terminated successfully
C2,Poisson,log,-3528.6965528061196,7063.393105612239,7083.284671242409,5600,3,True,9,0.004255604106788269,not_computed,nan,0,Optimization terminated successfully
C2,NB,log,-2940.5233778138704,5889.046755627741,5915.568843134633,5600,4,True,23,6.436432127543412e-05,not_computed,nan,0,Optimization terminated successfully
C2,ZIP,log,-2843.691105358018,5697.382210716036,5730.534820099652,5600,5,True,15,0.001284629016083727,not_computed,nan,0,Optimization terminated successfully
C2,ZINB,log,-2843.6902587348573,5699.3805174697145,5739.163648730054,5600,6,True,45,0.00034767626465281865,not_computed,nan,0,Optimization terminated successfully
C2,P+NB,log,-2846.219147403625,5708.43829480725,5761.482469821036,5600,8,True,76,1.3084741893253522,not_computed,nan,0,Optimization terminated successfully
C2,Z+P+NB,log,-2839.722590987377,5699.445181974754,5765.750400741987,5600,10,True,93,0.004678645444442964,not_computed,nan,0,Optimization terminated successfully
C2,ZIP--ZINB,log,-2838.5570499000623,5701.114099800125,5780.680362320803,5600,12,True,130,0.010060986388907622,not_computed,nan,0,Optimization terminated successfully
C2,Poisson,identity,-3526.9040007850317,7059.808001570063,7079.699567200233,5600,3,True,10,0.0023863488668212085,not_computed,nan,0,Optimization terminated successfully
C2,NB,identity,-2939.450897496767,5886.901794993534,5913.423882500427,5600,4,True,26,0.022387142376828706,not_computed,nan,0,Optimization terminated successfully
