Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
H2AX4H100,identity,,Poisson,0.04552507400512695,True,5,-1305.5349257185617,2615.0698514371234,2623.850332771254,9.479684058177895e-06,not_computed
H2AX4H100,identity,,NB,0.0679926872253418,True,9,-1302.65267424663,2611.30534849326,2624.476070494456,4.581885658705431e-05,not_computed
H2AX4H100,identity,,ZIP,0.07590293884277344,True,10,-1223.2511441012693,2454.5022882025387,2472.0632508708,1.4904842724705603e-05,not_computed
H2AX4H100,identity,,ZINB,0.2482466697692871,True,30,-1223.2509678494403,2456.5019356988805,2478.453139034207,6.418839226300484e-05,not_computed
H2AX4H100,identity,,P+NB,0.31902074813842773,True,38,-1224.5975402939243,2461.1950805878487,2487.536524590241,48.58693716523106,not_computed
H2AX4H100,identity,,Z+P+NB,0.43984436988830566,True,28,-1223.2510443474953,2462.5020886949906,2497.6240140315135,0.010251638491562076,not_computed
H2AX4H100,identity,,ZIP--ZINB,0.554262638092041,True,40,-1220.4870176184322,2460.9740352368644,2504.876441907518,0.05724602817421487,not_computed
H2AX4H100,log,,Poisson,0.04368472099304199,True,6,-1305.4081337130851,2614.8162674261703,2623.596748760301,2.603852447258248e-05,not_computed
H2AX4H100,log,,NB,0.0831289291381836,True,14,-1302.5439248474531,2611.0878496949063,2624.258571696102,0.0015629842091104962,not_computed
H2AX4H100,log,,ZIP,0.07965350151062012,True,11,-1224.566850120958,2457.133700241916,2474.694662910177,0.00046662954259169,not_computed
H2AX4H100,log,,ZINB,0.23878908157348633,True,28,-1224.5661718900242,2459.1323437800484,2481.083547115375,0.0002854335779804984,not_computed
H2AX4H100,log,,P+NB,0.722069263458252,True,80,-1225.7942659529908,2463.5885319059817,2489.9299759083738,1.2406312279722442e-06,not_computed
H2AX4H100,log,,Z+P+NB,0.5260918140411377,True,36,-1224.566850131458,2465.133700262916,2500.255625599439,8.196548037631146e-06,not_computed
H2AX4H100,log,,ZIP--ZINB,0.4282553195953369,True,46,-1222.4616478254216,2464.923295650843,2508.8257023214965,0.13200480001910364,not_computed
H2AX1H60,identity,,Poisson,0.04638314247131348,True,5,-1590.3284183337996,3184.6568366675992,3193.44735986383,2.837368112729166e-05,not_computed
H2AX1H60,identity,,NB,0.07169175148010254,True,8,-1267.456172056452,2540.912344112904,2554.0981289072506,2.6968619028344687e-05,not_computed
H2AX1H60,identity,,ZIP,0.08883881568908691,True,11,-1188.3167116188401,2384.6334232376803,2402.214469630142,3.472198920029257e-05,not_computed
H2AX1H60,identity,,ZINB,0.147078275680542,True,13,-1180.310581955926,2370.621163911852,2392.5974719024293,0.0002881211119092342,not_computed
H2AX1H60,identity,,P+NB,0.40862584114074707,True,29,-1170.6220099542425,2353.244019908485,2379.6155894971776,11.50303808303433,not_computed
H2AX1H60,identity,,Z+P+NB,0.6795942783355713,True,56,-1165.9816564354032,2347.9633128708065,2383.12540565573,0.0011934228026311833,not_computed
H2AX1H60,identity,,ZIP--ZINB,0.8677594661712646,True,52,-1151.540641530919,2323.081283061838,2367.0338990429923,0.0017399451009776357,not_computed
H2AX1H60,log,,Poisson,0.049588918685913086,True,8,-1584.6951980400709,3173.3903960801417,3182.1809192763726,7.107520765359254e-05,not_computed
