Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D1,Dataset 1,13,ZINB,2183.585578096696,0.01,99,99,6.4904064129627335,13.683035406422272,4986.603390693665
D1,Dataset 1,0,ZINB,2535.087882558044,0.01,99,99,6.23949393491226,13.122243216040076,5058.340091228485
D1,Dataset 1,9,ZINB,2469.8209913789324,0.01,99,99,7.113973906186246,13.032923434478288,5063.964295864105
D1,Dataset 1,12,ZINB,2431.944597455309,0.01,99,99,6.456366791140148,12.693396543365083,5105.127920150757
D1,Dataset 1,2,ZINB,2269.7612657550344,0.01,99,99,6.606382591193048,13.206869018700665,5112.993754863739
D1,Dataset 1,11,ZINB,2492.056523750347,0.01,99,99,6.545881828550435,11.730556711045207,5146.337669849396
D1,Dataset 1,5,ZINB,2399.6202510780568,0.01,99,99,6.84846962811196,12.888801739712648,5148.661732435226
D1,Dataset 1,14,ZINB,2561.2713499054516,0.01,99,99,6.456247429778673,11.950998799703664,5161.4036593437195
D1,Dataset 1,3,ZINB,2381.274538342899,0.01,99,99,6.530089855290811,12.037000897245882,5185.954028844833
D1,Dataset 1,7,ZINB,2467.5450104852207,0.01,99,99,7.211003837381746,12.690094446841975,5189.609894275665
D1,Dataset 1,6,ZINB,2476.421734520758,0.01,99,99,6.107635856152605,11.640369278959401,5194.222726583481
D1,Dataset 1,4,ZINB,2598.2253324126796,0.01,99,99,6.4650052758320316,12.936272163629472,5212.953294992447
D1,Dataset 1,10,ZINB,2628.8446603708726,0.01,99,99,6.574635346983666,13.930245018399722,5227.031196832657
D1,Dataset 1,1,ZINB,2478.5378944426047,0.01,99,99,6.594474154051494,13.281049147389421,5249.334601402283
D1,Dataset 1,8,ZINB,2519.6614313272585,0.01,99,99,6.359485734090229,11.28335041278333,5252.9355726242065
D1,Dataset 1,17,ZINB,2257.685041809702,0.01,99,99,6.882390911277557,12.67777758045704,4969.565240859985
D1,Dataset 1,15,ZINB,2366.1367179002264,0.01,99,99,6.535196222844234,11.229979706657465,5051.481457948685
D1,Dataset 1,18,ZINB,2365.547027043387,0.01,99,99,6.752344708446992,11.5995817052084,4942.623545885086
D1,Dataset 1,16,ZINB,2555.7325177419407,0.01,99,99,6.159765336389278,11.642021767939148,5213.646950244904
D1,Dataset 1,19,ZINB,2461.5700875523034,0.01,99,99,6.146050473550191,12.182578647942863,5232.164230585098
