Scenario,Dataset,Rep,Parameter,true,estimate
D1,Dataset 1,13,rho,0.7,0.6758251661381409
D1,Dataset 1,13,lambda,3.5020615017250587,3.50436102972875
D1,Dataset 1,13,pi,0.395939489927472,0.402425272012106
D1,Dataset 1,13,varphi,9.257215256037709,8.572694550395706
D1,Dataset 1,13,alpha,1.5,1.6183385769459475
D1,Dataset 1,13,omega,0.1458082060360976,0.13549450623067763
D1,Dataset 1,0,rho,0.7,0.7187667005372109
D1,Dataset 1,0,lambda,3.5080463797037393,3.4546043370707595
D1,Dataset 1,0,pi,0.3973134617821227,0.394643095776452
D1,Dataset 1,0,varphi,9.27816232896309,9.891680615057005
D1,Dataset 1,0,alpha,1.5,1.3307187619033607
D1,Dataset 1,0,omega,0.1452152310429932,0.1587095449163779
D1,Dataset 1,9,rho,0.7,0.7180022094374298
D1,Dataset 1,9,lambda,3.5018847237337396,3.4892102939804883
D1,Dataset 1,9,pi,0.3958469137871457,0.41010308527434053
D1,Dataset 1,9,varphi,9.256596533068086,9.325485684824333
D1,Dataset 1,9,alpha,1.5,1.4724460200689728
D1,Dataset 1,9,omega,0.145299986821806,0.10135590470359902
D1,Dataset 1,12,rho,0.7,0.6654508363181343
D1,Dataset 1,12,lambda,3.5004786202806573,3.5234929434315547
D1,Dataset 1,12,pi,0.3957240757344394,0.3769266745003361
D1,Dataset 1,12,varphi,9.2516751709823,8.75340366246224
D1,Dataset 1,12,alpha,1.5,1.643196250361312
D1,Dataset 1,12,omega,0.14698629008082598,0.17642009310785742
D1,Dataset 1,2,rho,0.7,0.689310314228603
D1,Dataset 1,2,lambda,3.5109871443647296,3.494076725220059
D1,Dataset 1,2,pi,0.3978497101714138,0.39491998124902156
D1,Dataset 1,2,varphi,9.288455005276552,9.211979737733216
D1,Dataset 1,2,alpha,1.5,1.4033108220416237
D1,Dataset 1,2,omega,0.14394946996377206,0.17918145036999375
D1,Dataset 1,11,rho,0.7,0.6972443045840347
D1,Dataset 1,11,lambda,3.509280451457156,3.4900428197473543
D1,Dataset 1,11,pi,0.397517028033592,0.3860274270515152
D1,Dataset 1,11,varphi,9.282481580100045,9.233723791786002
D1,Dataset 1,11,alpha,1.5,1.5142446205591547
D1,Dataset 1,11,omega,0.14454317118474624,0.1646248731075824
D1,Dataset 1,5,rho,0.7,0.6850950123343298
D1,Dataset 1,5,lambda,3.496957825102711,3.505660311601188
D1,Dataset 1,5,pi,0.3950004909779172,0.39279318316355494
D1,Dataset 1,5,varphi,9.239352387859489,8.64453430763182
D1,Dataset 1,5,alpha,1.5,1.6484748345311795
D1,Dataset 1,5,omega,0.1479449048897703,0.13005892944293398
D1,Dataset 1,14,rho,0.7,0.7004922861254222
D1,Dataset 1,14,lambda,3.5050382406196077,3.6051133282833443
D1,Dataset 1,14,pi,0.3966127883991522,0.3851883509578428
D1,Dataset 1,14,varphi,9.267633842168625,9.035145982445899
D1,Dataset 1,14,alpha,1.5,1.5418353154007258
D1,Dataset 1,14,omega,0.14542912349719053,0.15352315978315692
D1,Dataset 1,3,rho,0.7,0.6850135592497325
D1,Dataset 1,3,lambda,3.506577555499009,3.5460262374928657
D1,Dataset 1,3,pi,0.39703873448108706,0.3866537037283902
D1,Dataset 1,3,varphi,9.273021444246531,8.806536628777021
D1,Dataset 1,3,alpha,1.5,1.6370650386545746
D1,Dataset 1,3,omega,0.14584140295861633,0.14426246449790386
D1,Dataset 1,7,rho,0.7,0.7157659354144797
D1,Dataset 1,7,lambda,3.4910899245569103,3.455907060895006
D1,Dataset 1,7,pi,0.3934957437897623,0.3939642513887438
D1,Dataset 1,7,varphi,9.218814735949186,9.523802894471546
D1,Dataset 1,7,alpha,1.5,1.4440109596524426
D1,Dataset 1,7,omega,0.1475478499055759,0.15123587880685654
D1,Dataset 1,6,rho,0.7,0.6959201611275581
D1,Dataset 1,6,lambda,3.4988115851024415,3.4630041835030383
D1,Dataset 1,6,pi,0.3952593200018204,0.40054820391761
D1,Dataset 1,6,varphi,9.245840547858545,9.245392302968195
D1,Dataset 1,6,alpha,1.5,1.4945320337199195
D1,Dataset 1,6,omega,0.14669557168283057,0.11209703894074628
D1,Dataset 1,4,rho,0.7,0.6821932770093503
D1,Dataset 1,4,lambda,3.504509250692634,3.5747914424264398
D1,Dataset 1,4,pi,0.3963112590456617,0.3746079907195324
D1,Dataset 1,4,varphi,9.26578237742422,8.995337645343882
D1,Dataset 1,4,alpha,1.5,1.732374066744004
D1,Dataset 1,4,omega,0.14415038818669276,0.1552398346182797
D1,Dataset 1,10,rho,0.7,0.7019180419304201
D1,Dataset 1,10,lambda,3.4990877845893054,3.509851330820818
D1,Dataset 1,10,pi,0.39511582083627583,0.3862939481162968
D1,Dataset 1,10,varphi,9.24680724606257,9.367817751355597
D1,Dataset 1,10,alpha,1.5,1.558008283276495
D1,Dataset 1,10,omega,0.1452806884266435,0.1481517360730289
D1,Dataset 1,1,rho,0.7,0.7191277833840382
D1,Dataset 1,1,lambda,3.508952018563314,3.4538520308307445
D1,Dataset 1,1,pi,0.39729591596232816,0.3922305023693053
D1,Dataset 1,1,varphi,9.281332064971599,10.092986713763334
D1,Dataset 1,1,alpha,1.5,1.288222286361834
D1,Dataset 1,1,omega,0.14325208945351633,0.1607525342132792
D1,Dataset 1,8,rho,0.7,0.7078650787593619
D1,Dataset 1,8,lambda,3.512404721291038,3.5585659256169784
D1,Dataset 1,8,pi,0.39814916969162567,0.39997151325636093
D1,Dataset 1,8,varphi,9.293416524518634,9.4114333484631
D1,Dataset 1,8,alpha,1.5,1.4719293648208136
D1,Dataset 1,8,omega,0.14354245556395004,0.1614280502744169
D1,Dataset 1,17,rho,0.7,0.682268733318663
D1,Dataset 1,17,lambda,3.5019868195296397,3.496707118812893
D1,Dataset 1,17,pi,0.39580916274735434,0.3947385418679125
D1,Dataset 1,17,varphi,9.256953868353738,8.852384400093158
D1,Dataset 1,17,alpha,1.5,1.4993669893943955
D1,Dataset 1,17,omega,0.14511439281686062,0.12127590164009755
D1,Dataset 1,15,rho,0.7,0.6814890612105302
D1,Dataset 1,15,lambda,3.5015192574078027,3.4899512502937973
D1,Dataset 1,15,pi,0.39574895064972404,0.38733763307596036
D1,Dataset 1,15,varphi,9.25531740092731,9.01593049421247
D1,Dataset 1,15,alpha,1.5,1.57231662418568
D1,Dataset 1,15,omega,0.14586066854751778,0.14749256072298683
D1,Dataset 1,18,rho,0.7,0.6774423775161214
D1,Dataset 1,18,lambda,3.506248993311754,3.4810612344142404
D1,Dataset 1,18,pi,0.3967986640564618,0.3884257750236229
D1,Dataset 1,18,varphi,9.271871476591139,8.620038572897636
D1,Dataset 1,18,alpha,1.5,1.6472965719629291
D1,Dataset 1,18,omega,0.14459109136183296,0.14969655465753712
D1,Dataset 1,16,rho,0.7,0.6969897712246393
D1,Dataset 1,16,lambda,3.4944238905646126,3.4830897816034616
D1,Dataset 1,16,pi,0.3943355082263136,0.3916260341451837
D1,Dataset 1,16,varphi,9.230483616976143,9.379210071702538
D1,Dataset 1,16,alpha,1.5,1.5000414671935736
D1,Dataset 1,16,omega,0.14778414598835582,0.1481917835226735
D1,Dataset 1,19,rho,0.7,0.7048484151230221
D1,Dataset 1,19,lambda,3.4999388608376183,3.4825411087037157
D1,Dataset 1,19,pi,0.3954740215215162,0.39835593165697586
D1,Dataset 1,19,varphi,9.249786012931665,9.421317165922414
D1,Dataset 1,19,alpha,1.5,1.4641472927470733
D1,Dataset 1,19,omega,0.14623185715610856,0.1551925416061132
