Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D2,Dataset 2,11,NB,4397.113124065552,0.01,99,99,7.347667153406567,14.780904858954452,10800.85665178299
D2,Dataset 2,13,NB,4710.853516615571,0.01,99,99,7.305944626969288,11.778851651264992,11342.83038520813
D2,Dataset 2,12,NB,4608.239099838378,0.01,99,99,8.21893176646163,16.834726408527786,11834.704726696014
D2,Dataset 2,2,NB,4559.077907852246,0.01,99,99,8.185709037178466,14.90530620227218,11946.020060539246
D2,Dataset 2,4,NB,4602.4739369799645,0.01,99,99,7.573535320742086,14.354874950447991,12007.859518527985
D2,Dataset 2,9,NB,4504.081074694863,0.01,99,99,8.400454998390591,14.24907248204763,12447.222351074219
D2,Dataset 2,3,NB,4492.617301709877,0.01,99,99,8.17862317227859,14.329933750189957,12618.468423366547
D2,Dataset 2,6,NB,4748.656346630851,0.01,99,99,8.334299322545414,14.635285880497394,12629.601125955582
D2,Dataset 2,14,NB,4733.867322386519,0.01,99,99,8.274331779844722,14.79081095864967,12656.803115844727
D2,Dataset 2,10,NB,4738.986099885733,0.01,99,99,8.3616717548856,14.746643318356641,12800.668386220932
D2,Dataset 2,5,NB,4575.445377875767,0.01,99,99,7.406535147178937,12.7432395686621,12814.432813882828
D2,Dataset 2,0,NB,4513.551484509837,0.01,99,99,8.115338374228164,15.033720661501864,12878.85900235176
D2,Dataset 2,8,NB,4477.772300766737,0.01,99,99,8.9407610727501,16.313337417435104,12953.1446788311
D2,Dataset 2,7,NB,4936.289957569963,0.01,99,99,8.252576190510275,14.784282626200001,13043.915979385376
D2,Dataset 2,1,NB,4437.750063876927,0.01,99,99,7.868943672708422,14.726334943487016,13338.520815849304
D2,Dataset 2,16,NB,4747.947685146995,0.01,99,99,9.129424415381344,18.041461935918047,8694.688116550446
D2,Dataset 2,19,NB,4727.400650151772,0.01,99,99,8.382694873178608,16.0389658278822,8211.969034433365
D2,Dataset 2,15,NB,4638.456529333016,0.01,99,99,7.882252167270347,15.498267211686468,9483.07365322113
D2,Dataset 2,17,NB,4800.200413896011,0.01,99,99,7.482280790708069,14.605188633137004,8660.703070163727
D2,Dataset 2,18,NB,4374.259483961403,0.01,99,99,7.966785687867906,15.39962670501627,9451.516442537308
