Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D2,Dataset 2,11,Poisson,1.542461633682251,True,15,-79877.25762851993,159758.51525703986,159774.32223214494
D2,Dataset 2,11,NB,3.7589197158813477,True,11,-21407.917103000167,42821.834206000334,42845.544668657945
D2,Dataset 2,11,ZIP,6.332939386367798,True,15,-30121.481415949936,60250.96283189987,60282.576782110016
D2,Dataset 2,11,ZINB,8.831132888793945,True,24,-19265.76705745115,38541.5341149023,38581.05155266498
D2,Dataset 2,11,P+NB,23.023837327957153,True,62,-21228.56487626255,42469.1297525251,42516.550677840314
D2,Dataset 2,11,Z+P+NB,26.159690380096436,True,19,-19233.153283375203,38482.306566750405,38545.53446717069
D2,Dataset 2,11,ZIP--ZINB,77.60893177986145,True,52,-19209.36054096739,38438.72108193478,38517.75595746014
D2,Dataset 2,13,Poisson,1.1193077564239502,True,16,-81478.76179522902,162961.52359045803,162977.3305655631
D2,Dataset 2,13,NB,3.272738218307495,True,15,-21296.0054783906,42598.0109567812,42621.721419438814
D2,Dataset 2,13,ZIP,5.627064228057861,True,15,-29967.447688498512,59942.895376997025,59974.50932720717
D2,Dataset 2,13,ZINB,10.705220937728882,True,23,-19023.944197293436,38057.88839458687,38097.405832349556
D2,Dataset 2,13,P+NB,21.33112668991089,True,67,-21027.678171368192,42067.356342736384,42114.7772680516
D2,Dataset 2,13,Z+P+NB,38.37112855911255,True,25,-18975.658919896632,37967.317839793264,38030.54574021355
D2,Dataset 2,13,ZIP--ZINB,61.120270013809204,True,17,-18940.578720082816,37901.15744016563,37980.19231569099
D2,Dataset 2,12,Poisson,1.485154151916504,True,17,-80707.13032449319,161418.26064898638,161434.06762409146
D2,Dataset 2,12,NB,5.803892612457275,True,11,-21323.71530790921,42653.43061581842,42677.14107847603
D2,Dataset 2,12,ZIP,6.743630647659302,True,15,-29807.221804960453,59622.443609920905,59654.05756013105
D2,Dataset 2,12,ZINB,12.158884525299072,True,26,-19070.3233030245,38150.646606049,38190.16404381168
D2,Dataset 2,12,P+NB,18.752666473388672,True,60,-21131.798021576546,42275.59604315309,42323.016968468306
D2,Dataset 2,12,Z+P+NB,40.31678223609924,True,31,-19038.782458796457,38093.564917592914,38156.7928180132
D2,Dataset 2,12,ZIP--ZINB,65.80362939834595,True,16,-19019.59575799002,38059.19151598004,38138.2263915054
D2,Dataset 2,2,Poisson,0.9755792617797852,True,16,-80429.99279392786,160863.9855878557,160879.7925629608
D2,Dataset 2,2,NB,4.540876865386963,True,22,-21451.20142698197,42908.40285396394,42932.11331662155
D2,Dataset 2,2,ZIP,9.281038761138916,True,12,-30296.13587589228,60600.27175178456,60631.8857019947
D2,Dataset 2,2,ZINB,8.1419997215271,True,23,-19232.178820470963,38474.357640941926,38513.87507870461
D2,Dataset 2,2,P+NB,20.808751583099365,True,58,-21227.671746664248,42467.343493328495,42514.76441864371
D2,Dataset 2,2,Z+P+NB,34.49072551727295,True,18,-19193.495040674185,38402.99008134837,38466.217981768656
D2,Dataset 2,2,ZIP--ZINB,54.66175556182861,True,14,-19171.662473055847,38363.324946111694,38442.35982163705
D2,Dataset 2,4,Poisson,1.400245189666748,True,10,-82367.30956469559,164738.61912939118,164754.42610449626
D2,Dataset 2,4,NB,4.996850490570068,True,23,-21488.54274773738,42983.08549547476,43006.795958132374
D2,Dataset 2,4,ZIP,8.984662771224976,True,17,-31013.769408131273,62035.538816262546,62067.15276647269
D2,Dataset 2,4,ZINB,11.691989660263062,True,26,-19233.573591781693,38477.147183563386,38516.66462132607
D2,Dataset 2,4,P+NB,31.02360701560974,True,78,-21284.197815252915,42580.39563050583,42627.816555821046
D2,Dataset 2,4,Z+P+NB,33.99699020385742,True,48,-19203.171324973428,38422.342649946855,38485.57055036714
D2,Dataset 2,4,ZIP--ZINB,82.86424517631531,True,29,-19187.3057792474,38394.6115584948,38473.64643402016
D2,Dataset 2,9,Poisson,1.2313835620880127,True,11,-84538.80763200678,169081.61526401356,169097.42223911863
D2,Dataset 2,9,NB,4.69079327583313,True,18,-21633.273478470102,43272.546956940205,43296.257419597816
D2,Dataset 2,9,ZIP,8.379509687423706,True,13,-31560.791109801372,63129.582219602744,63161.19616981289
D2,Dataset 2,9,ZINB,10.755735874176025,True,11,-19438.892961223202,38887.785922446405,38927.30336020909
D2,Dataset 2,9,P+NB,31.876211166381836,True,40,-21452.89703612703,42917.79407225406,42965.214997569274
D2,Dataset 2,9,Z+P+NB,33.66926288604736,True,22,-19397.846311561632,38811.692623123265,38874.92052354355
D2,Dataset 2,9,ZIP--ZINB,57.975632429122925,True,13,-19381.23294112267,38782.46588224534,38861.5007577707
D2,Dataset 2,3,Poisson,1.377537727355957,True,15,-78448.1702199876,156900.3404399752,156916.14741508028
D2,Dataset 2,3,NB,6.7118518352508545,True,19,-20972.42605910047,41950.85211820094,41974.562580858554
D2,Dataset 2,3,ZIP,8.216118812561035,True,12,-29084.426478092762,58176.852956185525,58208.46690639567
D2,Dataset 2,3,ZINB,11.29693603515625,True,16,-18770.519371404578,37551.038742809156,37590.55618057184
D2,Dataset 2,3,P+NB,20.60681128501892,True,52,-20789.756944227098,41591.513888454196,41638.93481376941
D2,Dataset 2,3,Z+P+NB,34.66507887840271,True,26,-18740.816217019434,37497.63243403887,37560.860334459154
D2,Dataset 2,3,ZIP--ZINB,59.18176198005676,True,31,-18726.117408245533,37472.234816491065,37551.26969201642
D2,Dataset 2,6,Poisson,1.5859673023223877,True,9,-81303.3775100091,162610.7550200182,162626.56199512328
D2,Dataset 2,6,NB,3.765101194381714,True,15,-21565.21025265739,43136.42050531478,43160.13096797239
D2,Dataset 2,6,ZIP,6.883137464523315,True,14,-30503.298779851495,61014.59755970299,61046.21150991313
D2,Dataset 2,6,ZINB,11.243304014205933,True,27,-19272.899037593783,38555.798075187566,38595.31551295025
D2,Dataset 2,6,P+NB,41.356178522109985,True,55,-21325.762269549017,42663.524539098034,42710.94546441325
D2,Dataset 2,6,Z+P+NB,33.94902300834656,True,17,-19211.849149679252,38439.698299358504,38502.92619977879
D2,Dataset 2,6,ZIP--ZINB,64.35182428359985,True,30,-19190.882079341965,38401.76415868393,38480.79903420929
