Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D2,Dataset 2,13,Poisson,125076.36615029242,0.01,99,99,2.843934600280434,9.643987118601215,4309.215617895126
D2,Dataset 2,5,Poisson,119494.28516552015,0.01,99,99,3.296446414623451,10.458414198391251,4338.097546815872
D2,Dataset 2,11,Poisson,121335.79417510482,0.01,99,99,3.0760791825703544,9.342567702809172,4347.44560956955
D2,Dataset 2,1,Poisson,120455.03726748523,0.01,99,99,2.959782079067975,8.656730490708286,4430.253701686859
D2,Dataset 2,2,Poisson,122516.660641744,0.01,99,99,3.2537810423129505,9.915256752224373,4495.5542948246
D2,Dataset 2,12,Poisson,123375.06913300634,0.01,99,99,3.8061675749321684,10.247366034115837,4580.667409658432
D2,Dataset 2,10,Poisson,118942.78815563778,0.01,99,99,3.3987326418683743,10.12085760273912,4602.959515810013
D2,Dataset 2,0,Poisson,122742.2115652864,0.01,99,99,3.2686163009004874,9.698795140374568,4605.392624139786
D2,Dataset 2,8,Poisson,121000.40934569422,0.01,99,99,2.653564345321472,8.32312759639026,4675.833742618561
D2,Dataset 2,7,Poisson,124217.33237373133,0.01,99,99,2.7399931801546242,7.663216142425516,4672.024649620056
D2,Dataset 2,14,Poisson,120858.48179847217,0.01,99,99,3.3183038303411903,10.707169817202514,4687.074236392975
D2,Dataset 2,9,Poisson,130315.14938176797,0.01,99,99,3.076632744043382,10.364141074397041,4960.601030826569
D2,Dataset 2,6,Poisson,124224.99086133456,0.01,99,99,3.335306938474594,10.255544933260534,4990.091962099075
D2,Dataset 2,3,Poisson,119444.10562348296,0.01,99,99,3.390278957106483,9.296633002017177,5334.9671947956085
D2,Dataset 2,4,Poisson,126360.0075708965,0.01,99,99,3.443055466583705,9.64085769485391,5618.622094154358
D2,Dataset 2,18,Poisson,120146.02080881852,0.01,99,99,3.4242653648812627,9.254814159669323,4266.989447593689
D2,Dataset 2,15,Poisson,127430.76791047805,0.01,99,99,3.423414649082009,12.010708138145123,4426.270833969116
D2,Dataset 2,19,Poisson,123509.13348817968,0.01,99,99,3.1446198658023152,8.96220805407647,4693.862382411957
D2,Dataset 2,17,Poisson,125347.99855907544,0.01,99,99,3.127476108337034,8.29622351716825,5003.126800537109
D2,Dataset 2,16,Poisson,124776.82147179602,0.01,99,99,3.3037081767763468,9.954548696819256,5609.646971940994
