Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D2,Dataset 2,3,Z+P+NB,29.397617548689595,0.01,99,99,2.44682815575167,6.542103221406432,2692.331371307373
D2,Dataset 2,14,Z+P+NB,37.42244574337383,0.01,99,99,2.1144759603341683,5.262223729556714,2775.4629938602448
D2,Dataset 2,8,Z+P+NB,45.432119076300296,0.01,99,99,2.0418527133140634,5.375543109660065,2881.7625777721405
D2,Dataset 2,7,Z+P+NB,27.021594533129246,0.01,99,99,2.015912726703979,5.507147891516064,2921.7282276153564
D2,Dataset 2,10,Z+P+NB,34.40592571198795,0.01,99,99,2.0430404075620268,5.611004095239331,2949.7369458675385
D2,Dataset 2,2,Z+P+NB,43.66513523658796,0.01,99,99,2.5055846391382275,7.844700455199925,2988.283758163452
D2,Dataset 2,5,Z+P+NB,21.052112670506176,0.01,99,99,1.9398323710871281,5.24345539754431,2991.2243871688843
D2,Dataset 2,1,Z+P+NB,39.28696422665962,0.01,99,99,2.0498857451929866,6.121804040022104,3066.6522200107574
D2,Dataset 2,12,Z+P+NB,38.37340161776228,0.01,99,99,2.0076517274518286,6.197959563301264,3084.472508430481
D2,Dataset 2,6,Z+P+NB,41.93414067487174,0.01,99,99,2.36028100591655,7.497866292177781,3209.0094785690308
D2,Dataset 2,9,Z+P+NB,33.22674087782798,0.01,99,99,1.8632851816049272,4.804520256453541,3231.8657274246216
D2,Dataset 2,4,Z+P+NB,31.731091450856184,0.01,99,99,1.9474664753630129,5.081573315296553,3327.334470510483
D2,Dataset 2,0,Z+P+NB,16.9606560820539,0.01,99,99,2.4103898280100293,6.544811343472243,3404.1958322525024
D2,Dataset 2,13,Z+P+NB,70.16039963807998,0.01,99,99,2.116080752310797,5.612082582274886,3439.4037585258484
D2,Dataset 2,11,Z+P+NB,47.58548481535399,0.01,99,99,2.629471465072129,8.200684863424973,3886.0499114990234
D2,Dataset 2,15,Z+P+NB,58.6419776829207,0.01,99,99,2.4830637942852465,6.8683010813983785,2942.715094089508
D2,Dataset 2,16,Z+P+NB,49.90116829253384,0.01,99,99,2.2439531672163424,6.202616870524068,2879.9332666397095
D2,Dataset 2,19,Z+P+NB,46.05959596939647,0.01,99,99,2.2536859863502827,6.466279227982884,3158.4174048900604
D2,Dataset 2,17,Z+P+NB,54.31210121154436,0.01,99,99,1.9676512302988094,5.147906542519194,3593.6238884925842
D2,Dataset 2,18,Z+P+NB,37.26140608375135,0.01,99,99,2.4667424514713034,6.2804688192321905,4443.544321060181
