Scenario,Dataset,Rep,Parameter,true,estimate
D3,Dataset 3,14,beta_z[0],6.6,6.516926161978754
D3,Dataset 3,14,beta_z[1],-2.1,-2.0822994445432603
D3,Dataset 3,14,gamma_z[0],-2.5,-2.2270296344098317
D3,Dataset 3,14,gamma_z[1],2.0,1.9170065783949588
D3,Dataset 3,14,beta_nb[0],8.0,8.066502404832876
D3,Dataset 3,14,beta_nb[1],2.5,2.9532646661739506
D3,Dataset 3,14,gamma_nb[0],-2.5,-2.6128667634028404
D3,Dataset 3,14,gamma_nb[1],2.5,2.549990167082223
D3,Dataset 3,4,beta_z[0],6.6,6.655173088667869
D3,Dataset 3,4,beta_z[1],-2.1,-2.1572813175520817
D3,Dataset 3,4,gamma_z[0],-2.5,-2.505098884561604
D3,Dataset 3,4,gamma_z[1],2.0,2.0048825028907715
D3,Dataset 3,4,beta_nb[0],8.0,8.511307488898403
D3,Dataset 3,4,beta_nb[1],2.5,1.9372634783896205
D3,Dataset 3,4,gamma_nb[0],-2.5,-2.3896268253292936
D3,Dataset 3,4,gamma_nb[1],2.5,2.407395424323459
D3,Dataset 3,7,beta_z[0],6.6,6.492624918145456
D3,Dataset 3,7,beta_z[1],-2.1,-2.0483554939368003
D3,Dataset 3,7,gamma_z[0],-2.5,-2.581596391078491
D3,Dataset 3,7,gamma_z[1],2.0,1.9638836466775917
D3,Dataset 3,7,beta_nb[0],8.0,7.33768784988952
D3,Dataset 3,7,beta_nb[1],2.5,3.30229912072866
D3,Dataset 3,7,gamma_nb[0],-2.5,-2.3735929722270472
D3,Dataset 3,7,gamma_nb[1],2.5,2.424833349001025
D3,Dataset 3,2,beta_z[0],6.6,6.432272771026613
D3,Dataset 3,2,beta_z[1],-2.1,-2.0070300574873188
D3,Dataset 3,2,gamma_z[0],-2.5,-2.5313777553771732
D3,Dataset 3,2,gamma_z[1],2.0,2.0101272313817207
D3,Dataset 3,2,beta_nb[0],8.0,8.017511763907558
D3,Dataset 3,2,beta_nb[1],2.5,2.5553080950213016
D3,Dataset 3,2,gamma_nb[0],-2.5,-2.5084446071539936
D3,Dataset 3,2,gamma_nb[1],2.5,2.57313621698629
D3,Dataset 3,1,beta_z[0],6.6,6.719436605045847
D3,Dataset 3,1,beta_z[1],-2.1,-2.23983425185717
D3,Dataset 3,1,gamma_z[0],-2.5,-2.528331002404523
D3,Dataset 3,1,gamma_z[1],2.0,2.0192960045796546
D3,Dataset 3,1,beta_nb[0],8.0,8.073464718135638
D3,Dataset 3,1,beta_nb[1],2.5,1.9577444104668584
D3,Dataset 3,1,gamma_nb[0],-2.5,-2.3790532694525326
D3,Dataset 3,1,gamma_nb[1],2.5,2.415670914902195
D3,Dataset 3,3,beta_z[0],6.6,6.806472115202941
D3,Dataset 3,3,beta_z[1],-2.1,-2.199375189289572
D3,Dataset 3,3,gamma_z[0],-2.5,-2.2217398350045574
D3,Dataset 3,3,gamma_z[1],2.0,1.888384944618
D3,Dataset 3,3,beta_nb[0],8.0,7.904237412877701
D3,Dataset 3,3,beta_nb[1],2.5,2.907420016692986
D3,Dataset 3,3,gamma_nb[0],-2.5,-2.7554491496404347
D3,Dataset 3,3,gamma_nb[1],2.5,2.5974731593254266
D3,Dataset 3,8,beta_z[0],6.6,6.266898750566648
D3,Dataset 3,8,beta_z[1],-2.1,-1.9460064002723314
D3,Dataset 3,8,gamma_z[0],-2.5,-3.523919406631249
D3,Dataset 3,8,gamma_z[1],2.0,2.381830415585467
