Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D3,Dataset 3,7,P+NB,6598.544732374779,0.01,99,99,3.2903452355510465,7.840693115814791,3947.409662246704
D3,Dataset 3,4,P+NB,6538.819991275035,0.01,99,99,3.735585541194296,9.829979540030761,4040.203242778778
D3,Dataset 3,6,P+NB,6705.600453914725,0.01,99,99,3.514534045998645,9.409288047016885,4060.532371044159
D3,Dataset 3,2,P+NB,6989.727326747801,0.01,99,99,3.6339145441355996,10.1865771183453,4056.758905172348
D3,Dataset 3,12,P+NB,6746.386149291233,0.01,99,99,3.8821919433414056,10.01611968542129,4157.845569372177
D3,Dataset 3,5,P+NB,6927.683342299701,0.01,99,99,3.642045128475913,9.046983783694301,4182.934341430664
D3,Dataset 3,1,P+NB,6478.4717077122405,0.01,99,99,3.1253095003318383,8.623321757862866,4182.465647935867
D3,Dataset 3,13,P+NB,6882.634720755152,0.01,99,99,3.2863867402376137,7.1493364250840346,4213.6247663497925
D3,Dataset 3,9,P+NB,6626.083876091689,0.01,99,99,3.725521836198547,10.674472819199575,4192.571309089661
D3,Dataset 3,11,P+NB,6929.371347902328,0.01,99,99,3.498960721944288,7.890751184653342,4228.613608121872
D3,Dataset 3,3,P+NB,6657.319606038611,0.01,99,99,3.8752341233341596,9.505714814429663,4260.461163759232
D3,Dataset 3,0,P+NB,6647.020834583993,0.01,99,99,3.3368400156136655,9.177777576738297,4267.14706993103
D3,Dataset 3,10,P+NB,6677.218362432017,0.01,99,99,3.226699168109917,9.88951114462834,4265.211010217667
D3,Dataset 3,8,P+NB,6587.660513565701,0.01,99,99,3.064709821592333,7.905800155133329,4288.614402770996
D3,Dataset 3,14,P+NB,6858.814189906589,0.01,99,99,3.576548317880702,9.313136697240406,4302.991303443909
D3,Dataset 3,18,P+NB,6797.21406369708,0.01,99,99,3.196950003194018,8.068834165106079,4139.104517221451
D3,Dataset 3,15,P+NB,6646.515331773182,0.01,99,99,3.3595585132740475,9.196591791439998,4257.9693784713745
D3,Dataset 3,16,P+NB,6710.157847721217,0.01,99,99,3.5717626804560294,8.050947543681094,4191.803061962128
D3,Dataset 3,19,P+NB,6423.371542985202,0.01,99,99,3.28206202795844,7.583951643633189,4146.997771978378
D3,Dataset 3,17,P+NB,6549.370695367375,0.01,99,99,3.6007159845901313,8.580039120613216,4298.666966676712
