Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D3,Dataset 3,6,Poisson,0.5211455821990967,True,11,-75478.58791750997,150961.17583501994,150976.98281012502
D3,Dataset 3,6,NB,4.3995325565338135,True,15,-33763.660951389276,67533.32190277855,67557.03236543616
D3,Dataset 3,6,ZIP,5.37612247467041,True,11,-43782.2997626015,87572.599525203,87604.21347541314
D3,Dataset 3,6,ZINB,8.592204570770264,True,20,-30159.45030014971,60328.90060029942,60368.418038062104
D3,Dataset 3,6,P+NB,16.701835870742798,True,26,-32907.8860183359,65827.7720366718,65875.19296198702
D3,Dataset 3,6,Z+P+NB,18.400590419769287,True,24,-29563.54292264337,59143.08584528674,59206.313745707026
D3,Dataset 3,6,ZIP--ZINB,27.96746253967285,True,18,-29555.085791378537,59130.17158275707,59209.20645828243
D3,Dataset 3,1,Poisson,1.084078073501587,True,10,-72241.45489686886,144486.90979373772,144502.7167688428
D3,Dataset 3,1,NB,4.250920295715332,True,36,-32868.12304557533,65742.24609115066,65765.95655380827
D3,Dataset 3,1,ZIP,4.0179221630096436,True,15,-41889.25390858447,83786.50781716894,83818.12176737908
D3,Dataset 3,1,ZINB,7.143061399459839,True,18,-29494.616798434094,58999.23359686819,59038.75103463087
D3,Dataset 3,1,P+NB,15.96446180343628,True,22,-32230.05810934834,64472.11621869668,64519.5371440119
D3,Dataset 3,1,Z+P+NB,21.634621620178223,True,20,-29006.50786137414,58029.01572274828,58092.243623168564
D3,Dataset 3,1,ZIP--ZINB,42.03818607330322,True,32,-28990.82225549222,58001.64451098444,58080.6793865098
D3,Dataset 3,11,Poisson,0.9072339534759521,True,13,-74639.14287106297,149282.28574212594,149298.09271723102
D3,Dataset 3,11,NB,4.155393362045288,True,14,-33804.84796490214,67615.69592980428,67639.40639246188
D3,Dataset 3,11,ZIP,4.656995058059692,True,14,-44107.21637876372,88222.43275752744,88254.04670773758
D3,Dataset 3,11,ZINB,6.637226581573486,True,14,-30228.232046617344,60466.46409323469,60505.98153099737
D3,Dataset 3,11,P+NB,19.750240325927734,True,37,-33051.424767054086,66114.84953410817,66162.2704594234
D3,Dataset 3,11,Z+P+NB,19.53944754600525,True,14,-29620.923110002837,59257.846220005675,59321.07412042596
D3,Dataset 3,11,ZIP--ZINB,39.11359357833862,True,19,-29586.739093102922,59193.478186205844,59272.5130617312
D3,Dataset 3,14,Poisson,1.2401230335235596,True,16,-73460.95037292076,146925.90074584153,146941.7077209466
D3,Dataset 3,14,NB,4.800551891326904,True,18,-33300.98610907019,66607.97221814038,66631.68268079798
D3,Dataset 3,14,ZIP,4.314458131790161,True,10,-42636.86823427549,85281.73646855098,85313.35041876113
D3,Dataset 3,14,ZINB,8.94859504699707,True,15,-29692.44022789914,59394.88045579828,59434.39789356096
D3,Dataset 3,14,P+NB,18.765445232391357,True,49,-32487.196302735374,64986.39260547075,65033.81353078596
D3,Dataset 3,14,Z+P+NB,21.2364501953125,True,28,-29079.520972541293,58175.04194508259,58238.26984550287
D3,Dataset 3,14,ZIP--ZINB,40.27056074142456,True,34,-29057.78920778208,58135.57841556416,58214.61329108952
D3,Dataset 3,9,Poisson,0.7599821090698242,True,15,-73862.32094809807,147728.64189619615,147744.44887130123
D3,Dataset 3,9,NB,3.533465623855591,True,22,-33617.04422437848,67240.08844875696,67263.79891141456
D3,Dataset 3,9,ZIP,3.7746620178222656,True,14,-43177.055739885385,86362.11147977077,86393.72542998091
D3,Dataset 3,9,ZINB,4.848933458328247,True,17,-30142.820547219097,60295.64109443819,60335.158532200876
D3,Dataset 3,9,P+NB,47.22632622718811,True,32,-32909.42370610562,65830.84741221124,65878.26833752646
