Scenario,Dataset,Rep,Parameter,true,estimate
D3,Dataset 3,6,rho,0.4,0.437064790876412
D3,Dataset 3,6,lambda,3.4606009487797693,3.4054714511051394
D3,Dataset 3,6,pi,0.5729714363489458,0.5962128961066526
D3,Dataset 3,6,varphi,11.737379822881225,11.629311590141576
D3,Dataset 3,6,alpha,1.0,1.078546645206848
D3,Dataset 3,6,omega,0.6546376013357527,0.634686423135807
D3,Dataset 3,1,rho,0.4,0.38035001094083
D3,Dataset 3,1,lambda,3.4577412224211557,3.3679419201792116
D3,Dataset 3,1,pi,0.57432928367549,0.5739214065226467
D3,Dataset 3,1,varphi,11.740784259022435,11.002864507681068
D3,Dataset 3,1,alpha,1.0,1.0080980537674826
D3,Dataset 3,1,omega,0.6564604668537574,0.6599648144779517
D3,Dataset 3,11,rho,0.4,0.4031839109741333
D3,Dataset 3,11,lambda,3.4669561645039444,3.39427455264983
D3,Dataset 3,11,pi,0.5723941897508901,0.5519223712264326
D3,Dataset 3,11,varphi,11.729814089876255,12.577401316797191
D3,Dataset 3,11,alpha,1.0,0.984472169826319
D3,Dataset 3,11,omega,0.6542081392827742,0.6626865228145998
D3,Dataset 3,14,rho,0.4,0.45183948596699985
D3,Dataset 3,14,lambda,3.4439703026279234,3.387498121121654
D3,Dataset 3,14,pi,0.5759915985031283,0.60091942838698
D3,Dataset 3,14,varphi,11.757178211157234,12.5048790670446
D3,Dataset 3,14,alpha,1.0,0.936797543529115
D3,Dataset 3,14,omega,0.6582230315855029,0.6511973438384133
D3,Dataset 3,9,rho,0.4,0.42768274741063317
D3,Dataset 3,9,lambda,3.4783086604948985,3.478443425926112
D3,Dataset 3,9,pi,0.5706246177176169,0.6037027769137024
D3,Dataset 3,9,varphi,11.716299213696551,10.922389343750528
D3,Dataset 3,9,alpha,1.0,1.0177254648189742
D3,Dataset 3,9,omega,0.6529657178604189,0.63097673351591
D3,Dataset 3,3,rho,0.4,0.4258534879379643
D3,Dataset 3,3,lambda,3.4475323304274252,3.504824887824162
D3,Dataset 3,3,pi,0.5752299278484586,0.5954079755256925
D3,Dataset 3,3,varphi,11.752937701872114,12.268783891207603
D3,Dataset 3,3,alpha,1.0,1.0548951084088662
D3,Dataset 3,3,omega,0.657574438801491,0.6397169393354537
D3,Dataset 3,10,rho,0.4,0.42267142797058976
D3,Dataset 3,10,lambda,3.4647599381810656,3.5541340100892427
D3,Dataset 3,10,pi,0.5726559246503692,0.6098244774925721
D3,Dataset 3,10,varphi,11.732428645022539,10.587082995018928
D3,Dataset 3,10,alpha,1.0,1.043301087837294
D3,Dataset 3,10,omega,0.6541384116105826,0.6376405764730928
D3,Dataset 3,5,rho,0.4,0.3810508612937757
D3,Dataset 3,5,lambda,3.463472337925928,3.4853818781645183
D3,Dataset 3,5,pi,0.5725858857696592,0.5468427495035456
D3,Dataset 3,5,varphi,11.733961502469134,11.619357527939904
D3,Dataset 3,5,alpha,1.0,0.9999135226389533
D3,Dataset 3,5,omega,0.6540254902227564,0.6699993138805554
D3,Dataset 3,0,rho,0.4,0.41522188006804217
D3,Dataset 3,0,lambda,3.43285440765202,3.434120053487383
D3,Dataset 3,0,pi,0.5777251577841781,0.5877385227796974
D3,Dataset 3,0,varphi,11.77041141946188,11.842345498957124
D3,Dataset 3,0,alpha,1.0,0.9466965116123156
D3,Dataset 3,0,omega,0.6594175160273058,0.6598798145046795
D3,Dataset 3,8,rho,0.4,0.35616518949627113
D3,Dataset 3,8,lambda,3.4448088929486067,3.343078708469338
D3,Dataset 3,8,pi,0.5757912947114006,0.5067707203729893
D3,Dataset 3,8,varphi,11.756179889346894,12.027930820782826
D3,Dataset 3,8,alpha,1.0,0.8427778920633962
D3,Dataset 3,8,omega,0.6581082631741411,0.6902456399527132
D3,Dataset 3,13,rho,0.4,0.4222282729798878
D3,Dataset 3,13,lambda,3.433841675296911,3.586764446298239
D3,Dataset 3,13,pi,0.5777922008651379,0.5950846537480251
D3,Dataset 3,13,varphi,11.769236100837011,12.176783029790252
D3,Dataset 3,13,alpha,1.0,1.0510530040528154
D3,Dataset 3,13,omega,0.659892484303814,0.6457986198016447
D3,Dataset 3,4,rho,0.4,0.4013329731830639
D3,Dataset 3,4,lambda,3.448422431520106,3.417630512811731
D3,Dataset 3,4,pi,0.5751744612879669,0.5753787484438224
D3,Dataset 3,4,varphi,11.751878057714158,11.418658023530812
D3,Dataset 3,4,alpha,1.0,1.0241097756515403
D3,Dataset 3,4,omega,0.6572120846142364,0.6582491115932239
D3,Dataset 3,12,rho,0.4,0.4071902921137552
D3,Dataset 3,12,lambda,3.442646142209455,3.462175002623233
D3,Dataset 3,12,pi,0.5768140244172437,0.572854500932111
D3,Dataset 3,12,varphi,11.75875459260779,11.541322755237328
D3,Dataset 3,12,alpha,1.0,0.9540636351161805
D3,Dataset 3,12,omega,0.6589898191171296,0.6677686036450734
D3,Dataset 3,7,rho,0.4,0.38260848390857904
