Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D3,Dataset 3,6,Poisson,0.5405051708221436,True,11,-75478.58791750997,150961.17583501994,150976.98281012502
D3,Dataset 3,6,NB,4.186770915985107,True,15,-33763.660951389276,67533.32190277855,67557.03236543616
D3,Dataset 3,6,ZIP,5.420509576797485,True,11,-43782.2997626015,87572.599525203,87604.21347541314
D3,Dataset 3,6,ZINB,9.07178807258606,True,20,-30159.45030014972,60328.90060029944,60368.418038062126
D3,Dataset 3,6,P+NB,17.528201818466187,True,28,-32907.88618641888,65827.77237283776,65875.19329815298
D3,Dataset 3,6,Z+P+NB,19.678725004196167,True,14,-29563.542922643363,59143.085845286725,59206.31374570701
D3,Dataset 3,6,ZIP--ZINB,35.87682771682739,True,18,-29555.085791378537,59130.17158275707,59209.20645828243
D3,Dataset 3,7,Poisson,0.6710290908813477,True,15,-74519.1488491712,149042.2976983424,149058.10467344747
D3,Dataset 3,7,NB,2.9694912433624268,True,29,-33462.6307046866,66931.2614093732,66954.9718720308
D3,Dataset 3,7,ZIP,5.088271617889404,True,11,-43414.22216471799,86836.44432943598,86868.05827964612
D3,Dataset 3,7,ZINB,6.432167053222656,True,20,-29991.194805102325,59992.38961020465,60031.90704796733
D3,Dataset 3,7,P+NB,17.413857460021973,True,39,-32717.004673867705,65446.00934773541,65493.430273050624
D3,Dataset 3,7,Z+P+NB,19.05040979385376,True,29,-29442.935804010798,58901.871608021596,58965.09950844188
D3,Dataset 3,7,ZIP--ZINB,43.68301200866699,True,17,-29417.732290320266,58855.46458064053,58934.49945616589
D3,Dataset 3,14,Poisson,1.371612787246704,True,16,-73460.95037292076,146925.90074584153,146941.7077209466
D3,Dataset 3,14,NB,6.386901617050171,True,18,-33300.98610907021,66607.97221814042,66631.68268079803
D3,Dataset 3,14,ZIP,4.990137815475464,True,10,-42636.8682342755,85281.736468551,85313.35041876114
D3,Dataset 3,14,ZINB,7.553325891494751,True,18,-29692.440227899133,59394.880455798266,59434.39789356095
D3,Dataset 3,14,P+NB,19.54142689704895,True,36,-32487.196313097524,64986.39262619505,65033.81355151026
D3,Dataset 3,14,Z+P+NB,26.06309199333191,True,28,-29079.520972541184,58175.04194508237,58238.269845502655
D3,Dataset 3,14,ZIP--ZINB,60.41933751106262,True,34,-29057.789207782072,58135.578415564145,58214.6132910895
D3,Dataset 3,10,Poisson,1.132260799407959,True,15,-72053.99957305817,144111.99914611634,144127.80612122142
D3,Dataset 3,10,NB,6.2195281982421875,True,17,-33083.78666106445,66173.5733221289,66197.2837847865
D3,Dataset 3,10,ZIP,5.213510751724243,True,11,-41856.67002257101,83721.34004514202,83752.95399535216
D3,Dataset 3,10,ZINB,10.781116485595703,True,22,-29571.915823599116,59153.83164719823,59193.349084960915
D3,Dataset 3,10,P+NB,20.029895067214966,True,35,-32403.119337816697,64818.238675633394,64865.65960094861
D3,Dataset 3,10,Z+P+NB,26.39616823196411,True,14,-29074.68808620429,58165.37617240858,58228.604072828864
D3,Dataset 3,10,ZIP--ZINB,50.2267541885376,True,17,-29064.510208300726,58149.02041660145,58228.05529212681
D3,Dataset 3,1,Poisson,1.21445894241333,True,10,-72241.45489686886,144486.90979373772,144502.7167688428
D3,Dataset 3,1,NB,5.316661834716797,True,20,-32868.12352091735,65742.2470418347,65765.9575044923
D3,Dataset 3,1,ZIP,4.7749245166778564,True,14,-41889.25390858423,83786.50781716846,83818.1217673786
D3,Dataset 3,1,ZINB,7.530431509017944,True,18,-29494.616798434035,58999.23359686807,59038.75103463075
D3,Dataset 3,1,P+NB,21.737645149230957,True,42,-32230.058158657517,64472.116317315034,64519.53724263025
D3,Dataset 3,1,Z+P+NB,24.552244663238525,True,22,-29006.507861374073,58029.01572274815,58092.24362316843
D3,Dataset 3,1,ZIP--ZINB,58.285513401031494,True,31,-28990.822255492076,58001.64451098415,58080.67938650951
D3,Dataset 3,13,Poisson,0.8631231784820557,True,18,-74631.45244206392,149266.90488412784,149282.71185923292
D3,Dataset 3,13,NB,5.422165870666504,True,20,-33364.84245395403,66735.68490790806,66759.39537056566
D3,Dataset 3,13,ZIP,6.857624530792236,True,15,-43378.23705610347,86764.47411220694,86796.08806241708
D3,Dataset 3,13,ZINB,10.665441989898682,True,19,-29781.39558052003,59572.79116104006,59612.308598802745
D3,Dataset 3,13,P+NB,17.232526302337646,True,31,-32638.42581723026,65288.85163446052,65336.27255977574
D3,Dataset 3,13,Z+P+NB,31.634345293045044,True,21,-29213.903089514733,58443.80617902947,58507.03407944975
D3,Dataset 3,13,ZIP--ZINB,56.28013896942139,True,53,-29197.10855766768,58414.21711533536,58493.25199086072
D3,Dataset 3,0,Poisson,1.1769969463348389,True,16,-72932.49998194541,145868.99996389082,145884.8069389959
D3,Dataset 3,0,NB,4.611889839172363,True,19,-33113.97494037337,66233.94988074675,66257.66034340435
D3,Dataset 3,0,ZIP,7.1196510791778564,True,13,-42238.08640684939,84484.17281369878,84515.78676390892
D3,Dataset 3,0,ZINB,11.942658424377441,True,15,-29642.526475480427,59295.05295096085,59334.570388723536
D3,Dataset 3,0,P+NB,23.30836009979248,True,170,-32384.396353870914,64780.79270774183,64828.21363305704
D3,Dataset 3,0,Z+P+NB,23.556053400039673,True,27,-29089.32733898127,58194.65467796254,58257.88257838283
D3,Dataset 3,0,ZIP--ZINB,55.080461502075195,True,17,-29060.88593022849,58141.77186045698,58220.80673598234
D3,Dataset 3,3,Poisson,1.312629222869873,True,14,-76450.23398992138,152904.46797984277,152920.27495494785
D3,Dataset 3,3,NB,4.807859897613525,True,32,-33666.16954922861,67338.33909845722,67362.04956111482
D3,Dataset 3,3,ZIP,5.721684217453003,True,14,-44457.86743116273,88923.73486232547,88955.34881253561
D3,Dataset 3,3,ZINB,9.893259286880493,True,14,-30199.109436140934,60408.21887228187,60447.73631004455
D3,Dataset 3,3,P+NB,20.89409112930298,True,35,-32917.23602985231,65846.47205970463,65893.89298501985
D3,Dataset 3,3,Z+P+NB,29.156250476837158,True,14,-29611.134347240797,59238.268694481594,59301.49659490188
D3,Dataset 3,3,ZIP--ZINB,58.770801067352295,True,17,-29588.57622131804,59197.15244263608,59276.187318161436
D3,Dataset 3,4,Poisson,0.8035032749176025,True,15,-74149.11958675658,148302.23917351317,148318.04614861825
D3,Dataset 3,4,NB,4.748850345611572,True,26,-33300.57997019657,66607.15994039315,66630.87040305075
D3,Dataset 3,4,ZIP,6.995891571044922,True,15,-43194.21749519602,86396.43499039204,86428.04894060218
D3,Dataset 3,4,ZINB,10.29454231262207,True,17,-29878.37399270422,59766.74798540844,59806.26542317112
D3,Dataset 3,4,P+NB,18.927576303482056,True,40,-32582.765948417007,65177.531896834014,65224.95282214923
D3,Dataset 3,4,Z+P+NB,23.796663761138916,True,27,-29329.168618576536,58674.33723715307,58737.56513757336
D3,Dataset 3,4,ZIP--ZINB,56.78258562088013,True,31,-29313.35594852856,58646.71189705712,58725.746772582475
D3,Dataset 3,9,Poisson,0.8700273036956787,True,15,-73862.32094809807,147728.64189619615,147744.44887130123
D3,Dataset 3,9,NB,4.491688251495361,True,24,-33617.044224802936,67240.08844960587,67263.79891226348
D3,Dataset 3,9,ZIP,4.661141633987427,True,14,-43177.055739885385,86362.11147977077,86393.72542998091
D3,Dataset 3,9,ZINB,6.877684593200684,True,18,-30142.820547219104,60295.64109443821,60335.15853220089
D3,Dataset 3,9,P+NB,21.741752862930298,True,57,-32909.4237882224,65830.8475764448,65878.26850176002
D3,Dataset 3,9,Z+P+NB,27.920515537261963,True,13,-29617.50986942611,59251.01973885222,59314.24763927251
D3,Dataset 3,9,ZIP--ZINB,63.43071699142456,True,18,-29596.38176805977,59212.76353611954,59291.7984116449
D3,Dataset 3,12,Poisson,0.8372085094451904,True,17,-70545.53608272315,141095.0721654463,141110.87914055138
D3,Dataset 3,12,NB,4.118741989135742,True,21,-32916.078596590756,65838.15719318151,65861.86765583912
D3,Dataset 3,12,ZIP,4.703465223312378,True,12,-41118.52508879457,82245.05017758915,82276.66412779929
D3,Dataset 3,12,ZINB,7.6534059047698975,True,17,-29379.555171643653,58769.110343287306,58808.62778104999
D3,Dataset 3,12,P+NB,20.321542978286743,True,46,-32185.407033522988,64382.814067045976,64430.23499236119
D3,Dataset 3,12,Z+P+NB,29.39091205596924,True,27,-28838.80850167173,57693.61700334346,57756.84490376375
D3,Dataset 3,12,ZIP--ZINB,61.248615741729736,True,16,-28812.213966250034,57644.42793250007,57723.462808025426
D3,Dataset 3,2,Poisson,0.7706212997436523,True,18,-72240.32934828856,144484.65869657713,144500.4656716822
D3,Dataset 3,2,NB,4.490626811981201,True,19,-33304.6343797326,66615.2687594652,66638.9792221228
D3,Dataset 3,2,ZIP,5.963223934173584,True,10,-42060.69785529921,84129.39571059842,84161.00966080856
D3,Dataset 3,2,ZINB,9.195317268371582,True,21,-29619.82033493623,59249.64066987246,59289.15810763514
D3,Dataset 3,2,P+NB,22.538509368896484,True,26,-32564.32818220835,65140.6563644167,65188.07728973192
D3,Dataset 3,2,Z+P+NB,27.220770359039307,True,22,-29094.65969691801,58205.31939383602,58268.54729425631
D3,Dataset 3,2,ZIP--ZINB,56.046931743621826,True,15,-29069.46449210964,58158.92898421928,58237.96385974464
D3,Dataset 3,5,Poisson,0.9925496578216553,True,17,-71812.94711162469,143629.89422324937,143645.70119835445
D3,Dataset 3,5,NB,5.082555055618286,True,20,-33248.06827749069,66502.13655498138,66525.84701763898
D3,Dataset 3,5,ZIP,4.098248243331909,True,13,-42173.707189527944,84355.41437905589,84387.02832926603
D3,Dataset 3,5,ZINB,8.597562313079834,True,15,-29635.91494560037,59281.82989120074,59321.34732896342
D3,Dataset 3,5,P+NB,18.68295979499817,True,29,-32525.05263374873,65062.10526749746,65109.52619281268
D3,Dataset 3,5,Z+P+NB,24.69216823577881,True,23,-29085.05299000379,58186.10598000758,58249.33388042787
D3,Dataset 3,5,ZIP--ZINB,56.292208671569824,True,17,-29061.210939582586,58142.42187916517,58221.45675469053
D3,Dataset 3,8,Poisson,1.0140137672424316,True,16,-71880.48771043768,143764.97542087536,143780.78239598044
D3,Dataset 3,8,NB,4.548517227172852,True,22,-33439.32802422376,66884.65604844752,66908.36651110512
D3,Dataset 3,8,ZIP,4.9428184032440186,True,12,-42326.608397265845,84661.21679453169,84692.83074474183
D3,Dataset 3,8,ZINB,7.636055946350098,True,13,-30027.56424733234,60065.12849466468,60104.64593242736
D3,Dataset 3,8,P+NB,25.998536586761475,True,40,-32768.51475418701,65549.02950837402,65596.45043368924
D3,Dataset 3,8,Z+P+NB,23.90837287902832,True,15,-29499.65240267771,59015.30480535542,59078.53270577571
D3,Dataset 3,8,ZIP--ZINB,50.959832429885864,True,51,-29474.68336557634,58969.36673115268,59048.40160667804
D3,Dataset 3,11,Poisson,1.034069538116455,True,13,-74639.14287106297,149282.28574212594,149298.09271723102
D3,Dataset 3,11,NB,4.902828693389893,True,15,-33804.84796505526,67615.69593011052,67639.40639276813
D3,Dataset 3,11,ZIP,5.369913339614868,True,15,-44107.216378763726,88222.43275752745,88254.0467077376
D3,Dataset 3,11,ZINB,8.837758302688599,True,14,-30228.232046617344,60466.46409323469,60505.98153099737
D3,Dataset 3,11,P+NB,19.864352703094482,True,34,-33051.42476959478,66114.84953918956,66162.27046450478
D3,Dataset 3,11,Z+P+NB,22.993077993392944,True,14,-29620.923110002834,59257.84622000567,59321.074120425954
