Scenario,Dataset,Rep,Parameter,true,estimate
D4,Dataset 4,14,rho,0.3,0.30612685541115453
D4,Dataset 4,14,lambda,7.2543069266943405,7.091510090666878
D4,Dataset 4,14,pi,0.39589158299752636,0.4300309633534708
D4,Dataset 4,14,varphi,4.497128715537107,4.731803011873876
D4,Dataset 4,14,alpha,1.0,0.9871526123826297
D4,Dataset 4,14,omega,0.39561752460190236,0.39170324535534007
D4,Dataset 4,4,rho,0.3,0.3014302205793868
D4,Dataset 4,4,lambda,7.251126834628495,7.347932922152385
D4,Dataset 4,4,pi,0.39555787844350543,0.40455594551417884
D4,Dataset 4,4,varphi,4.499248776914336,4.646677554672381
D4,Dataset 4,4,alpha,1.0,1.0040693542474213
D4,Dataset 4,4,omega,0.39516484282347036,0.4034733957017286
D4,Dataset 4,3,rho,0.3,0.30215223314050543
D4,Dataset 4,3,lambda,7.251762621123268,7.247070985440194
D4,Dataset 4,3,pi,0.39545754611917433,0.35190340317769137
D4,Dataset 4,3,varphi,4.498824919251154,4.405544582952549
D4,Dataset 4,3,alpha,1.0,1.0726021718399514
D4,Dataset 4,3,omega,0.39470575731455254,0.4098859391369544
D4,Dataset 4,0,rho,0.3,0.3040691031670504
D4,Dataset 4,0,lambda,7.262246851677127,7.186289180104647
D4,Dataset 4,0,pi,0.3972222063119591,0.3869989515983556
D4,Dataset 4,0,varphi,4.491835432215248,4.439512066280978
D4,Dataset 4,0,alpha,1.0,1.0083498997658922
D4,Dataset 4,0,omega,0.39806001386003004,0.4118056374603585
D4,Dataset 4,7,rho,0.3,0.23439891327727339
D4,Dataset 4,7,lambda,7.255915752005918,7.307555209618806
D4,Dataset 4,7,pi,0.3963878762698137,0.20744471333209058
D4,Dataset 4,7,varphi,4.49605616532939,4.421275048395477
D4,Dataset 4,7,alpha,1.0,1.0822526403930872
D4,Dataset 4,7,omega,0.3967668443980401,0.4523367105479445
D4,Dataset 4,2,rho,0.3,0.28132250165127837
D4,Dataset 4,2,lambda,7.243989240767305,7.292964884856455
D4,Dataset 4,2,pi,0.3947395583816764,0.4246309654748148
D4,Dataset 4,2,varphi,4.504007172821797,4.674110931039023
D4,Dataset 4,2,alpha,1.0,0.8914527572493474
D4,Dataset 4,2,omega,0.3942038443449003,0.39201443267112906
D4,Dataset 4,6,rho,0.3,0.3249757211445254
D4,Dataset 4,6,lambda,7.242427893728736,7.12211827661569
D4,Dataset 4,6,pi,0.39438262692644027,0.4147162059873761
D4,Dataset 4,6,varphi,4.50504807084751,4.496481832563547
D4,Dataset 4,6,alpha,1.0,1.0650698936374492
D4,Dataset 4,6,omega,0.3934639880461734,0.37039691885592485
D4,Dataset 4,13,rho,0.3,0.3154857176629246
D4,Dataset 4,13,lambda,7.261541660502205,7.3613078551892945
D4,Dataset 4,13,pi,0.39700055849343924,0.3901944324438548
D4,Dataset 4,13,varphi,4.492305559665196,4.440558593905226
D4,Dataset 4,13,alpha,1.0,1.0439094354410163
D4,Dataset 4,13,omega,0.3975442973008945,0.3956012719817972
D4,Dataset 4,12,rho,0.3,0.3092320334668301
D4,Dataset 4,12,lambda,7.2552527555646735,7.188680429153146
D4,Dataset 4,12,pi,0.39614648020629745,0.39382141896792583
D4,Dataset 4,12,varphi,4.496498162956883,4.420149254779195
D4,Dataset 4,12,alpha,1.0,1.0624204732852334
D4,Dataset 4,12,omega,0.3963269935887092,0.394315376904579
D4,Dataset 4,10,rho,0.3,0.30190764061890235
D4,Dataset 4,10,lambda,7.2394571870135245,7.217756193872453
D4,Dataset 4,10,pi,0.39407401362373373,0.35763276097755814
D4,Dataset 4,10,varphi,4.507028541990984,4.468822453374692
D4,Dataset 4,10,alpha,1.0,1.1278527167289176
D4,Dataset 4,10,omega,0.3932868412476945,0.39284100162177676
D4,Dataset 4,8,rho,0.3,0.3121462231529449
D4,Dataset 4,8,lambda,7.253707933608137,7.35452498824903
D4,Dataset 4,8,pi,0.3957780350980441,0.4252815774518286
D4,Dataset 4,8,varphi,4.497528044261242,4.502621269109906
D4,Dataset 4,8,alpha,1.0,1.0039726724995597
D4,Dataset 4,8,omega,0.39529557609193566,0.3840476388436243
D4,Dataset 4,9,rho,0.3,0.3301511721322585
D4,Dataset 4,9,lambda,7.229779528217929,7.30253392961277
D4,Dataset 4,9,pi,0.39230980097243767,0.4628760675331782
D4,Dataset 4,9,varphi,4.51348031452138,4.598088857622002
D4,Dataset 4,9,alpha,1.0,0.9079515340370977
D4,Dataset 4,9,omega,0.38990079170542574,0.3741678164884267
D4,Dataset 4,1,rho,0.3,0.2778861557484319
D4,Dataset 4,1,lambda,7.244470555413461,7.2309000578179115
D4,Dataset 4,1,pi,0.39462250391066184,0.3331089093678811
D4,Dataset 4,1,varphi,4.503686296391027,4.364118547549344
D4,Dataset 4,1,alpha,1.0,0.977185470101754
D4,Dataset 4,1,omega,0.3939288293658469,0.42267007088068564
D4,Dataset 4,5,rho,0.3,0.30749306784794206
D4,Dataset 4,5,lambda,7.240376901481479,7.348551038185123
D4,Dataset 4,5,pi,0.3942050493695102,0.44269045145113334
D4,Dataset 4,5,varphi,4.506415399012348,4.657023233971859
D4,Dataset 4,5,alpha,1.0,0.9584375352346262
D4,Dataset 4,5,omega,0.3933800208362817,0.37568080518041563
D4,Dataset 4,11,rho,0.3,0.34350890418827723
D4,Dataset 4,11,lambda,7.237888453925753,7.247156971378019
D4,Dataset 4,11,pi,0.3937406432398047,0.46076935834155575
D4,Dataset 4,11,varphi,4.508074364049498,4.57263005384601
D4,Dataset 4,11,alpha,1.0,0.9489373206747261
D4,Dataset 4,11,omega,0.39255388127937535,0.3603277154264856
D4,Dataset 4,15,rho,0.3,0.2979904876574585
D4,Dataset 4,15,lambda,7.245390209260941,7.161311523541957
D4,Dataset 4,15,pi,0.3947642942643057,0.4142677896272473
D4,Dataset 4,15,varphi,4.503073193826039,4.543795364848781
D4,Dataset 4,15,alpha,1.0,0.9750351889399197
D4,Dataset 4,15,omega,0.3941401094564851,0.39495664796009167
D4,Dataset 4,19,rho,0.3,0.28727099170059645
D4,Dataset 4,19,lambda,7.233302157631682,7.255463510595676
D4,Dataset 4,19,pi,0.39279001979703887,0.3616212922162613
D4,Dataset 4,19,varphi,4.511131894912212,4.375736074586847
D4,Dataset 4,19,alpha,1.0,0.966580824161168
D4,Dataset 4,19,omega,0.39050662601220093,0.40704582797396927
D4,Dataset 4,17,rho,0.3,0.31739170357168844
D4,Dataset 4,17,lambda,7.254545520428224,7.241270133522836
D4,Dataset 4,17,pi,0.3960788331443543,0.4311072408875968
D4,Dataset 4,17,varphi,4.49696965304785,4.544003936282155
D4,Dataset 4,17,alpha,1.0,0.9425102285413733
D4,Dataset 4,17,omega,0.39616860555530464,0.39170241553056245
D4,Dataset 4,16,rho,0.3,0.3294916356365106
D4,Dataset 4,16,lambda,7.265675674346446,7.1294360317704415
D4,Dataset 4,16,pi,0.3978548681102061,0.42477450454945903
D4,Dataset 4,16,varphi,4.489549550435703,4.387139756933193
D4,Dataset 4,16,alpha,1.0,1.0226123023043576
D4,Dataset 4,16,omega,0.39938295674082636,0.3953182253380056
D4,Dataset 4,18,rho,0.3,0.2936974102785525
D4,Dataset 4,18,lambda,7.244648897159649,7.175848162034663
D4,Dataset 4,18,pi,0.39469782413988935,0.37945227679778637
D4,Dataset 4,18,varphi,4.503567401893568,4.477218609663898
D4,Dataset 4,18,alpha,1.0,1.0429012371033712
D4,Dataset 4,18,omega,0.3940030344735811,0.3913228040938078
