Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D4,Dataset 4,2,Poisson,0.6591134071350098,True,6,-69817.28541912811,139638.57083825622,139654.3778133613
D4,Dataset 4,2,NB,1.4013633728027344,True,8,-43251.22446710879,86508.44893421758,86532.15939687518
D4,Dataset 4,2,ZIP,4.358805418014526,True,12,-46362.00159896936,92732.00319793871,92763.61714814886
D4,Dataset 4,2,ZINB,4.579935073852539,True,26,-40237.46530830183,80484.93061660365,80524.44805436634
D4,Dataset 4,2,P+NB,9.941007614135742,True,21,-41447.99590598949,82907.99181197898,82955.4127372942
D4,Dataset 4,2,Z+P+NB,20.058340311050415,True,18,-40075.024181192,80166.048362384,80229.27626280428
D4,Dataset 4,2,ZIP--ZINB,36.89881730079651,True,24,-40045.36521752277,80110.73043504554,80189.7653105709
D4,Dataset 4,0,Poisson,0.8401336669921875,True,7,-69579.61039225351,139163.22078450702,139179.0277596121
D4,Dataset 4,0,NB,1.4122014045715332,True,14,-42797.19744679434,85600.39489358867,85624.10535624628
D4,Dataset 4,0,ZIP,6.214112758636475,True,13,-45915.941976873815,91839.88395374763,91871.49790395777
D4,Dataset 4,0,ZINB,6.025359392166138,True,17,-39838.72470826383,79687.44941652766,79726.96685429034
D4,Dataset 4,0,P+NB,14.642438650131226,True,22,-40930.350470015226,81872.70094003045,81920.12186534567
D4,Dataset 4,0,Z+P+NB,22.862927675247192,True,12,-39611.211085980205,79238.42217196041,79301.6500723807
D4,Dataset 4,0,ZIP--ZINB,48.59174370765686,True,16,-39595.16159290863,79210.32318581727,79289.35806134263
D4,Dataset 4,1,Poisson,0.5571191310882568,True,7,-70825.7268852373,141655.4537704746,141671.26074557967
D4,Dataset 4,1,NB,1.5091350078582764,True,16,-43352.28812978364,86710.57625956729,86734.28672222489
D4,Dataset 4,1,ZIP,4.542489528656006,True,11,-46660.4436220623,93328.8872441246,93360.50119433475
D4,Dataset 4,1,ZINB,4.802290678024292,True,14,-40345.67007346743,80701.34014693486,80740.85758469754
D4,Dataset 4,1,P+NB,12.319165229797363,True,28,-41384.6714916936,82781.3429833872,82828.76390870243
D4,Dataset 4,1,Z+P+NB,21.189546585083008,True,17,-40093.85948336654,80203.71896673308,80266.94686715337
D4,Dataset 4,1,ZIP--ZINB,33.856950998306274,True,18,-40045.70537064253,80111.41074128506,80190.44561681042
D4,Dataset 4,8,Poisson,1.1960070133209229,True,11,-70536.89723017134,141077.79446034267,141093.60143544775
D4,Dataset 4,8,NB,2.1170926094055176,True,8,-43208.42822927161,86422.85645854322,86446.56692120082
D4,Dataset 4,8,ZIP,6.118202209472656,True,12,-46600.95269681519,93209.90539363038,93241.51934384053
D4,Dataset 4,8,ZINB,3.733064889907837,True,14,-40322.411071203685,80654.82214240737,80694.33958017005
D4,Dataset 4,8,P+NB,14.32378339767456,True,29,-41358.00457087714,82728.00914175429,82775.43006706951
D4,Dataset 4,8,Z+P+NB,23.54487943649292,True,12,-40110.917994710864,80237.83598942173,80301.06388984201
D4,Dataset 4,8,ZIP--ZINB,57.50409913063049,True,14,-40093.763327306675,80207.52665461335,80286.56153013872
D4,Dataset 4,5,Poisson,1.005645751953125,True,8,-70585.84595893414,141175.69191786827,141191.49889297335
D4,Dataset 4,5,NB,2.0348262786865234,True,12,-43319.9542521108,86645.9085042216,86669.6189668792
D4,Dataset 4,5,ZIP,5.172215700149536,True,13,-46674.86802626968,93357.73605253936,93389.3500027495
D4,Dataset 4,5,ZINB,9.387698411941528,True,13,-40397.61883465511,80805.23766931023,80844.75510707291
D4,Dataset 4,5,P+NB,16.11419677734375,True,39,-41506.73497342944,83025.46994685888,83072.8908721741
D4,Dataset 4,5,Z+P+NB,24.450775861740112,True,12,-40213.35208979438,80442.70417958876,80505.93208000905
D4,Dataset 4,5,ZIP--ZINB,57.55515193939209,True,24,-40199.389828871994,80418.77965774399,80497.81453326935
D4,Dataset 4,12,Poisson,1.1563403606414795,True,7,-70173.67545512489,140351.35091024978,140367.15788535486
D4,Dataset 4,12,NB,1.5817203521728516,True,8,-43030.26396171945,86066.5279234389,86090.2383860965
D4,Dataset 4,12,ZIP,7.612378120422363,True,14,-46491.44409921619,92990.88819843238,93022.50214864252
D4,Dataset 4,12,ZINB,4.43475079536438,True,17,-40061.02170398954,80132.04340797909,80171.56084574177
D4,Dataset 4,12,P+NB,12.875224590301514,True,44,-41186.951672381445,82385.90334476289,82433.32427007811
D4,Dataset 4,12,Z+P+NB,27.24125909805298,True,14,-39822.095298709726,79660.19059741945,79723.41849783974
D4,Dataset 4,12,ZIP--ZINB,61.50381422042847,True,31,-39799.28413122487,79618.56826244974,79697.60313797511
D4,Dataset 4,4,Poisson,0.6083269119262695,True,9,-71585.93771788455,143175.8754357691,143191.68241087417
D4,Dataset 4,4,NB,2.4119694232940674,True,7,-43208.95660035638,86423.91320071276,86447.62366337037
D4,Dataset 4,4,ZIP,6.186534643173218,True,14,-47029.9055041578,94067.8110083156,94099.42495852575
D4,Dataset 4,4,ZINB,10.799388647079468,True,18,-40276.42115007661,80562.84230015322,80602.3597379159
D4,Dataset 4,4,P+NB,11.284318447113037,True,33,-41395.88299869102,82803.76599738204,82851.18692269726
D4,Dataset 4,4,Z+P+NB,27.29896593093872,True,13,-40053.25140075366,80122.50280150732,80185.7307019276
D4,Dataset 4,4,ZIP--ZINB,54.205199003219604,True,86,-40039.424518002415,80098.84903600483,80177.8839115302
D4,Dataset 4,11,Poisson,0.9903461933135986,True,7,-70213.4140935043,140430.8281870086,140446.63516211367
D4,Dataset 4,11,NB,1.3810553550720215,True,15,-43480.25501661501,86966.51003323002,86990.22049588762
D4,Dataset 4,11,ZIP,6.226889133453369,True,13,-46701.894213441396,93411.78842688279,93443.40237709293
D4,Dataset 4,11,ZINB,7.239768743515015,True,17,-40540.30730260519,81090.61460521039,81130.13204297307
D4,Dataset 4,11,P+NB,13.359368085861206,True,42,-41618.561767131716,83249.12353426343,83296.54445957865
D4,Dataset 4,11,Z+P+NB,29.244908094406128,True,14,-40309.45707112939,80634.91414225879,80698.14204267907
D4,Dataset 4,11,ZIP--ZINB,58.09406661987305,True,72,-40290.697067609035,80601.39413521807,80680.42901074344
D4,Dataset 4,7,Poisson,0.5151717662811279,True,7,-71365.85972937128,142735.71945874256,142751.52643384764
D4,Dataset 4,7,NB,1.8982510566711426,True,16,-43231.714670830974,86469.42934166195,86493.13980431955
D4,Dataset 4,7,ZIP,6.655884265899658,True,13,-46967.88353057574,93943.76706115148,93975.38101136162
D4,Dataset 4,7,ZINB,4.9556801319122314,True,20,-40327.21713755716,80664.43427511433,80703.95171287701
D4,Dataset 4,7,P+NB,12.42555856704712,True,36,-41384.78086309988,82781.56172619975,82828.98265151498
D4,Dataset 4,7,Z+P+NB,27.15567946434021,True,14,-40083.580541370815,80183.16108274163,80246.38898316192
D4,Dataset 4,7,ZIP--ZINB,53.83968424797058,True,20,-40053.11363265794,80126.22726531589,80205.26214084125
D4,Dataset 4,9,Poisson,0.9803721904754639,True,9,-70444.4346443998,140892.8692887996,140908.67626390466
D4,Dataset 4,9,NB,1.574652910232544,True,7,-43370.636926486026,86747.27385297205,86770.98431562966
D4,Dataset 4,9,ZIP,6.467369556427002,True,13,-46639.03988234052,93286.07976468104,93317.69371489118
D4,Dataset 4,9,ZINB,5.623592853546143,True,13,-40428.904207142594,80867.80841428519,80907.32585204787
D4,Dataset 4,9,P+NB,12.602803468704224,True,46,-41530.43487451259,83072.86974902518,83120.2906743404
D4,Dataset 4,9,Z+P+NB,22.2653386592865,True,12,-40217.38414401122,80450.76828802245,80513.99618844273
