Scenario,Dataset,Rep,Parameter,true,estimate
D4,Dataset 4,2,rho,0.3,0.2813225247531993
D4,Dataset 4,2,lambda,7.243989240767305,7.292964941391341
D4,Dataset 4,2,pi,0.3947395583816764,0.4246310408841031
D4,Dataset 4,2,varphi,4.504007172821797,4.674110647142543
D4,Dataset 4,2,alpha,1.0,0.8914529227999183
D4,Dataset 4,2,omega,0.3942038443449003,0.39201438551933815
D4,Dataset 4,0,rho,0.3,0.3040691031670535
D4,Dataset 4,0,lambda,7.262246851677127,7.186289180104648
D4,Dataset 4,0,pi,0.3972222063119591,0.38699895159835906
D4,Dataset 4,0,varphi,4.491835432215248,4.439512066280968
D4,Dataset 4,0,alpha,1.0,1.0083498997658975
D4,Dataset 4,0,omega,0.39806001386003004,0.4118056374603567
D4,Dataset 4,1,rho,0.3,0.2778861559082251
D4,Dataset 4,1,lambda,7.244470555413461,7.230900057307744
D4,Dataset 4,1,pi,0.39462250391066184,0.33310890994150494
D4,Dataset 4,1,varphi,4.503686296391027,4.364118548369971
D4,Dataset 4,1,alpha,1.0,0.9771854698090107
D4,Dataset 4,1,omega,0.3939288293658469,0.42267007076477103
D4,Dataset 4,8,rho,0.3,0.3121462231529441
D4,Dataset 4,8,lambda,7.253707933608137,7.354524988249029
D4,Dataset 4,8,pi,0.3957780350980441,0.42528157745183254
D4,Dataset 4,8,varphi,4.497528044261242,4.502621269109928
D4,Dataset 4,8,alpha,1.0,1.0039726724995477
D4,Dataset 4,8,omega,0.39529557609193566,0.384047638843624
D4,Dataset 4,5,rho,0.3,0.3074930678479396
D4,Dataset 4,5,lambda,7.240376901481479,7.348551038185126
D4,Dataset 4,5,pi,0.3942050493695102,0.44269045145113867
D4,Dataset 4,5,varphi,4.506415399012348,4.657023233971891
D4,Dataset 4,5,alpha,1.0,0.9584375352346073
D4,Dataset 4,5,omega,0.3933800208362817,0.37568080518041563
D4,Dataset 4,12,rho,0.3,0.30923203346582806
D4,Dataset 4,12,lambda,7.2552527555646735,7.188680429152268
D4,Dataset 4,12,pi,0.39614648020629745,0.39382141896373707
D4,Dataset 4,12,varphi,4.496498162956883,4.420149254765967
D4,Dataset 4,12,alpha,1.0,1.0624204732932756
D4,Dataset 4,12,omega,0.3963269935887092,0.39431537690616525
D4,Dataset 4,4,rho,0.3,0.3014304389586794
D4,Dataset 4,4,lambda,7.251126834628495,7.347932607141448
D4,Dataset 4,4,pi,0.39555787844350543,0.4045559700328171
D4,Dataset 4,4,varphi,4.499248776914336,4.646677215611283
D4,Dataset 4,4,alpha,1.0,1.0040695838983629
D4,Dataset 4,4,omega,0.39516484282347036,0.4034733236304474
D4,Dataset 4,11,rho,0.3,0.3435097775762615
D4,Dataset 4,11,lambda,7.237888453925753,7.247155681378555
D4,Dataset 4,11,pi,0.3937406432398047,0.46077000458746126
D4,Dataset 4,11,varphi,4.508074364049498,4.5726266784196445
D4,Dataset 4,11,alpha,1.0,0.9489385446168638
D4,Dataset 4,11,omega,0.39255388127937535,0.3603270368206807
D4,Dataset 4,7,rho,0.3,0.23439891327727475
D4,Dataset 4,7,lambda,7.255915752005918,7.307555209618808
