Scenario,Dataset,Rep,Parameter,true,estimate
D4,Dataset 4,10,beta_z[0],5.0,5.196418611591678
D4,Dataset 4,10,beta_z[1],1.5,1.3539023612523524
D4,Dataset 4,10,gamma_z[0],-2.0,-2.7901201686140222
D4,Dataset 4,10,gamma_z[1],1.0,1.3536568912675628
D4,Dataset 4,10,beta_nb[0],6.0,5.742392355688152
D4,Dataset 4,10,beta_nb[1],-1.0,-0.8530437038708403
D4,Dataset 4,10,gamma_nb[0],-3.7,-3.5776598090682588
D4,Dataset 4,10,gamma_nb[1],2.0,1.9278954026169361
D4,Dataset 4,3,beta_z[0],5.0,5.054319594622415
D4,Dataset 4,3,beta_z[1],1.5,1.4606899747656004
D4,Dataset 4,3,gamma_z[0],-2.0,-2.4584479804441792
D4,Dataset 4,3,gamma_z[1],1.0,1.1404900683068093
D4,Dataset 4,3,beta_nb[0],6.0,5.902789862487913
D4,Dataset 4,3,beta_nb[1],-1.0,-0.9973821832883613
D4,Dataset 4,3,gamma_nb[0],-3.7,-3.4416585572340304
D4,Dataset 4,3,gamma_nb[1],2.0,1.9083564211227144
D4,Dataset 4,8,beta_z[0],5.0,5.148718383072702
D4,Dataset 4,8,beta_z[1],1.5,1.4681183211115205
D4,Dataset 4,8,gamma_z[0],-2.0,-1.8441941602803749
D4,Dataset 4,8,gamma_z[1],1.0,0.9920902826072756
D4,Dataset 4,8,beta_nb[0],6.0,6.005939968509511
D4,Dataset 4,8,beta_nb[1],-1.0,-1.0005635670320583
D4,Dataset 4,8,gamma_nb[0],-3.7,-3.6912765185978835
D4,Dataset 4,8,gamma_nb[1],2.0,1.9517397890858668
D4,Dataset 4,6,beta_z[0],5.0,5.104649371564914
D4,Dataset 4,6,beta_z[1],1.5,1.349520921515187
D4,Dataset 4,6,gamma_z[0],-2.0,-1.9760798025331783
D4,Dataset 4,6,gamma_z[1],1.0,1.0465944068943962
D4,Dataset 4,6,beta_nb[0],6.0,5.950547131523691
D4,Dataset 4,6,beta_nb[1],-1.0,-0.9726502040667457
D4,Dataset 4,6,gamma_nb[0],-3.7,-4.042693438714107
D4,Dataset 4,6,gamma_nb[1],2.0,2.1028224989176327
