Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D4,Dataset 4,12,ZIP,13384.31993598264,0.01,99,99,5.912388237618319,11.676991329529844,3845.3509573936462
D4,Dataset 4,3,ZIP,13164.489482327699,0.01,99,99,5.740629710255437,11.541594731346413,3870.150135278702
D4,Dataset 4,2,ZIP,12633.272762893248,0.01,99,99,5.8501314281714105,13.366505726652393,3901.271295070648
D4,Dataset 4,5,ZIP,12950.956394795372,0.01,99,99,6.45724391250817,12.44445426603341,3948.298727989197
D4,Dataset 4,10,ZIP,13711.596605803628,0.01,99,99,6.045517456300781,11.050290240775212,4046.124820947647
D4,Dataset 4,14,ZIP,14169.356044522894,0.01,99,99,6.378883762700063,12.590938158663624,4062.0779180526733
D4,Dataset 4,6,ZIP,13583.390355780153,0.01,99,99,6.068431328583187,12.773167335873586,4093.4814355373383
D4,Dataset 4,11,ZIP,12822.394291664183,0.01,99,99,6.579377011709665,13.366413211984026,4121.71880030632
D4,Dataset 4,8,ZIP,13014.378739017033,0.01,99,99,5.650134027601752,12.671707206871357,4144.007049798965
D4,Dataset 4,4,ZIP,13980.96197230897,0.01,99,99,5.785905488346194,12.288172721360752,4138.496626377106
D4,Dataset 4,0,ZIP,12641.560767930569,0.01,99,99,5.70859762694689,12.085577052387812,4148.969529390335
D4,Dataset 4,1,ZIP,13229.476502839578,0.01,99,99,5.650719793865456,13.038548165782407,4222.687283277512
D4,Dataset 4,7,ZIP,13829.539795835619,0.01,99,99,6.182305345850182,13.901876335489213,4232.068032503128
D4,Dataset 4,13,ZIP,13063.606615747893,0.01,99,99,6.074266098531709,12.703078453443595,4261.322140693665
D4,Dataset 4,9,ZIP,12891.368359864413,0.01,99,99,5.131346280554268,12.368068290993676,4405.483119487762
D4,Dataset 4,15,ZIP,13024.788949003545,0.01,99,99,6.529932391229192,14.16272715448431,3907.8593513965607
D4,Dataset 4,18,ZIP,13452.749277882598,0.01,99,99,5.635788084382916,11.496296065913336,3948.858139038086
D4,Dataset 4,16,ZIP,12733.326531336657,0.01,99,99,5.797338642541265,11.057078306058248,4085.9171500205994
D4,Dataset 4,17,ZIP,12649.397605142818,0.01,99,99,6.695305455659929,14.974844828029742,4108.204070806503
D4,Dataset 4,19,ZIP,13334.31245189716,0.01,99,99,6.3340230121595065,12.90630243811756,4255.167523860931
