Scenario,Dataset,Rep,Parameter,true,estimate
D4,Dataset 4,12,beta_z[0],5.0,4.954103964732004
D4,Dataset 4,12,beta_z[1],1.5,1.4862479109456688
D4,Dataset 4,12,gamma_z[0],-2.0,-2.1422226471271637
D4,Dataset 4,12,gamma_z[1],1.0,1.078982885875125
D4,Dataset 4,12,beta_nb[0],6.0,5.883654193153989
D4,Dataset 4,12,beta_nb[1],-1.0,-0.9733975059513988
D4,Dataset 4,12,gamma_nb[0],-3.7,-3.819137338615325
D4,Dataset 4,12,gamma_nb[1],2.0,2.0602916312907933
D4,Dataset 4,3,beta_z[0],5.0,5.054319594622414
D4,Dataset 4,3,beta_z[1],1.5,1.460689974765601
D4,Dataset 4,3,gamma_z[0],-2.0,-2.4584479804442063
D4,Dataset 4,3,gamma_z[1],1.0,1.140490068306818
D4,Dataset 4,3,beta_nb[0],6.0,5.902789862487914
D4,Dataset 4,3,beta_nb[1],-1.0,-0.9973821832883621
D4,Dataset 4,3,gamma_nb[0],-3.7,-3.4416585572340095
D4,Dataset 4,3,gamma_nb[1],2.0,1.9083564211227058
D4,Dataset 4,2,beta_z[0],5.0,5.05544816314479
D4,Dataset 4,2,beta_z[1],1.5,1.4956734668413076
D4,Dataset 4,2,gamma_z[0],-2.0,-1.6494566386875391
D4,Dataset 4,2,gamma_z[1],1.0,0.8714884053401782
D4,Dataset 4,2,beta_nb[0],6.0,5.928496249856067
D4,Dataset 4,2,beta_nb[1],-1.0,-0.8384970701780808
D4,Dataset 4,2,gamma_nb[0],-3.7,-3.8192481985605746
D4,Dataset 4,2,gamma_nb[1],2.0,2.059647611266556
D4,Dataset 4,5,beta_z[0],5.0,4.914560259262283
D4,Dataset 4,5,beta_z[1],1.5,1.6296303385247364
D4,Dataset 4,5,gamma_z[0],-2.0,-1.7175983057774533
D4,Dataset 4,5,gamma_z[1],1.0,0.9696979844013713
D4,Dataset 4,5,beta_nb[0],6.0,5.7923719598960695
D4,Dataset 4,5,beta_nb[1],-1.0,-0.7601502621099612
D4,Dataset 4,5,gamma_nb[0],-3.7,-3.818694865317061
D4,Dataset 4,5,gamma_nb[1],2.0,1.9985703881125423
D4,Dataset 4,10,beta_z[0],5.0,5.196418616269544
D4,Dataset 4,10,beta_z[1],1.5,1.3539023587804093
D4,Dataset 4,10,gamma_z[0],-2.0,-2.7901202771927713
D4,Dataset 4,10,gamma_z[1],1.0,1.3536569339289681
D4,Dataset 4,10,beta_nb[0],6.0,5.742392347944033
D4,Dataset 4,10,beta_nb[1],-1.0,-0.8530437039199317
D4,Dataset 4,10,gamma_nb[0],-3.7,-3.5776597756418105
D4,Dataset 4,10,gamma_nb[1],2.0,1.92789539041006
D4,Dataset 4,14,beta_z[0],5.0,4.725406210395004
D4,Dataset 4,14,beta_z[1],1.5,1.5743889079080282
D4,Dataset 4,14,gamma_z[0],-2.0,-1.7562710756099942
D4,Dataset 4,14,gamma_z[1],1.0,0.9509290406282237
D4,Dataset 4,14,beta_nb[0],6.0,6.274638032307672
D4,Dataset 4,14,beta_nb[1],-1.0,-1.0265915893024509
D4,Dataset 4,14,gamma_nb[0],-3.7,-3.7714366081381563
D4,Dataset 4,14,gamma_nb[1],2.0,2.0256515524880854
D4,Dataset 4,6,beta_z[0],5.0,5.104652340409423
D4,Dataset 4,6,beta_z[1],1.5,1.3495192755774106
D4,Dataset 4,6,gamma_z[0],-2.0,-1.9760798290014931
