Scenario,Dataset,Rep,Parameter,true,estimate
D4,Dataset 4,1,beta_z[0],5.0,4.748910641462355
D4,Dataset 4,1,beta_z[1],1.5,1.6587360055976603
D4,Dataset 4,1,gamma_z[0],-2.0,-2.1764799094846947
D4,Dataset 4,1,gamma_z[1],1.0,0.9222398872423744
D4,Dataset 4,1,beta_nb[0],6.0,6.260106754296725
D4,Dataset 4,1,beta_nb[1],-1.0,-1.2671060896881463
D4,Dataset 4,1,gamma_nb[0],-3.7,-3.42983340643918
D4,Dataset 4,1,gamma_nb[1],2.0,1.9540970459812863
D4,Dataset 4,2,beta_z[0],5.0,5.0554481632288
D4,Dataset 4,2,beta_z[1],1.5,1.4956734668193752
D4,Dataset 4,2,gamma_z[0],-2.0,-1.6494566388715861
D4,Dataset 4,2,gamma_z[1],1.0,0.8714884053944517
D4,Dataset 4,2,beta_nb[0],6.0,5.928496249810715
D4,Dataset 4,2,beta_nb[1],-1.0,-0.8384970702260928
D4,Dataset 4,2,gamma_nb[0],-3.7,-3.819248198598112
D4,Dataset 4,2,gamma_nb[1],2.0,2.059647611286978
D4,Dataset 4,0,beta_z[0],5.0,4.956164790853016
D4,Dataset 4,0,beta_z[1],1.5,1.4787009567048253
D4,Dataset 4,0,gamma_z[0],-2.0,-2.267496014584278
D4,Dataset 4,0,gamma_z[1],1.0,1.1296486205159961
D4,Dataset 4,0,beta_nb[0],6.0,6.043073499079805
D4,Dataset 4,0,beta_nb[1],-1.0,-1.063253617709775
D4,Dataset 4,0,gamma_nb[0],-3.7,-3.328096526554223
D4,Dataset 4,0,gamma_nb[1],2.0,1.8369068969531797
D4,Dataset 4,4,beta_z[0],5.0,4.924195607050645
D4,Dataset 4,4,beta_z[1],1.5,1.6150158419377514
D4,Dataset 4,4,gamma_z[0],-2.0,-2.075858905500016
D4,Dataset 4,4,gamma_z[1],1.0,1.0732000255584793
D4,Dataset 4,4,beta_nb[0],6.0,6.221319579098812
D4,Dataset 4,4,beta_nb[1],-1.0,-1.0492361020702283
D4,Dataset 4,4,gamma_nb[0],-3.7,-3.3756207901192705
D4,Dataset 4,4,gamma_nb[1],2.0,1.8437941102636317
D4,Dataset 4,14,beta_z[0],5.0,4.725406210395013
D4,Dataset 4,14,beta_z[1],1.5,1.574388907908023
D4,Dataset 4,14,gamma_z[0],-2.0,-1.7562710756100122
D4,Dataset 4,14,gamma_z[1],1.0,0.9509290406282311
D4,Dataset 4,14,beta_nb[0],6.0,6.274638032307667
D4,Dataset 4,14,beta_nb[1],-1.0,-1.0265915893024555
D4,Dataset 4,14,gamma_nb[0],-3.7,-3.7714366081381563
D4,Dataset 4,14,gamma_nb[1],2.0,2.0256515524880854
D4,Dataset 4,11,beta_z[0],5.0,4.662796399255429
D4,Dataset 4,11,beta_z[1],1.5,1.7322306285571911
D4,Dataset 4,11,gamma_z[0],-2.0,-1.5712897933733185
D4,Dataset 4,11,gamma_z[1],1.0,0.9314328682560077
D4,Dataset 4,11,beta_nb[0],6.0,6.113905072589606
D4,Dataset 4,11,beta_nb[1],-1.0,-1.033079904943129
D4,Dataset 4,11,gamma_nb[0],-3.7,-4.177284935409849
D4,Dataset 4,11,gamma_nb[1],2.0,2.141069380857662
D4,Dataset 4,5,beta_z[0],5.0,4.914560259262298
D4,Dataset 4,5,beta_z[1],1.5,1.6296303385247268
D4,Dataset 4,5,gamma_z[0],-2.0,-1.717598305777513
D4,Dataset 4,5,gamma_z[1],1.0,0.9696979844013897
D4,Dataset 4,5,beta_nb[0],6.0,5.792371959896053
D4,Dataset 4,5,beta_nb[1],-1.0,-0.7601502621099576
D4,Dataset 4,5,gamma_nb[0],-3.7,-3.81869486531703
D4,Dataset 4,5,gamma_nb[1],2.0,1.998570388112531
D4,Dataset 4,7,beta_z[0],5.0,5.222132006080033
D4,Dataset 4,7,beta_z[1],1.5,1.3866363593262234
D4,Dataset 4,7,gamma_z[0],-2.0,-5.123980829061541
D4,Dataset 4,7,gamma_z[1],1.0,2.0115334643188327
D4,Dataset 4,7,beta_nb[0],6.0,6.057452441032103
