Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D4,Dataset 4,1,Poisson,0.650230884552002,True,7,-70825.7268852373,141655.4537704746,141671.26074557967
D4,Dataset 4,1,NB,1.5802383422851562,True,16,-43352.28812978364,86710.57625956729,86734.28672222489
D4,Dataset 4,1,ZIP,4.547165870666504,True,11,-46660.4436220623,93328.8872441246,93360.50119433475
D4,Dataset 4,1,ZINB,4.768645286560059,True,14,-40345.67007346743,80701.34014693486,80740.85758469754
D4,Dataset 4,1,P+NB,12.358852624893188,True,28,-41384.6714916936,82781.3429833872,82828.76390870243
D4,Dataset 4,1,Z+P+NB,21.18483567237854,True,17,-40093.85948336654,80203.71896673308,80266.94686715337
D4,Dataset 4,1,ZIP--ZINB,33.646095275878906,True,18,-40045.70537064253,80111.41074128506,80190.44561681042
D4,Dataset 4,2,Poisson,0.6630938053131104,True,6,-69817.28541912811,139638.57083825622,139654.3778133613
D4,Dataset 4,2,NB,1.3968877792358398,True,8,-43251.22446710879,86508.44893421758,86532.15939687518
D4,Dataset 4,2,ZIP,4.351168394088745,True,12,-46362.00159896936,92732.00319793871,92763.61714814886
D4,Dataset 4,2,ZINB,4.527806997299194,True,26,-40237.46530830183,80484.93061660365,80524.44805436634
D4,Dataset 4,2,P+NB,9.956251859664917,True,21,-41447.99590598949,82907.99181197898,82955.4127372942
D4,Dataset 4,2,Z+P+NB,19.910848140716553,True,18,-40075.024181192,80166.048362384,80229.27626280428
D4,Dataset 4,2,ZIP--ZINB,36.30205726623535,True,24,-40045.36521752277,80110.73043504554,80189.7653105709
D4,Dataset 4,0,Poisson,0.9509677886962891,True,7,-69579.61039225351,139163.22078450702,139179.0277596121
D4,Dataset 4,0,NB,1.4181368350982666,True,14,-42797.19744679434,85600.39489358867,85624.10535624628
D4,Dataset 4,0,ZIP,6.21407675743103,True,13,-45915.941976873815,91839.88395374763,91871.49790395777
D4,Dataset 4,0,ZINB,5.973930358886719,True,17,-39838.72470826383,79687.44941652766,79726.96685429034
D4,Dataset 4,0,P+NB,14.631804704666138,True,22,-40930.350470015226,81872.70094003045,81920.12186534567
