SourceFolder,Scenario,Dataset,Rep,RestrictedModel,ObservedLRT,BootstrapPValue,BootstrapRepsRequested,BootstrapRepsSucceeded,BootstrapMeanLRT,BootstrapQ95,ElapsedSec
D1_NB,D1,Dataset 1,9,NB,3987.574407635053,0.01,99,99,6.98534920256108,13.92400644286244,6460.449931621552
D1_NB,D1,Dataset 1,5,NB,3765.26651253835,0.01,99,99,6.776227830394143,15.30761927936546,6517.410897493362
D1_NB,D1,Dataset 1,3,NB,3902.390087905049,0.01,99,99,6.751307892570192,14.768337609090668,6572.351886510849
D1_NB,D1,Dataset 1,14,NB,4052.327732127931,0.01,99,99,6.677042665464493,12.410975284127924,6637.971441268921
D1_NB,D1,Dataset 1,10,NB,4094.2741716133023,0.01,99,99,7.138365363218878,14.072308816487196,6627.725800991058
D1_NB,D1,Dataset 1,11,NB,4060.4485415430536,0.01,99,99,6.501858506174882,13.636307056130317,6636.227262735367
D1_NB,D1,Dataset 1,0,NB,4080.3569764410495,0.01,99,99,6.466500199356086,12.7101567378646,6638.219354867935
D1_NB,D1,Dataset 1,7,NB,4078.766189492832,0.01,99,99,7.114673596271196,12.727005443518282,6643.407092094421
D1_NB,D1,Dataset 1,4,NB,4033.7865903764905,0.01,99,99,7.703996069486208,15.593907547160036,6646.37525510788
D1_NB,D1,Dataset 1,6,NB,3892.684065585039,0.01,99,99,6.826090699746279,14.895919202681396,6681.98903298378
D1_NB,D1,Dataset 1,12,NB,3930.89706338245,0.01,99,99,6.983622636592969,15.603964750091832,6710.076683044434
D1_NB,D1,Dataset 1,13,NB,3680.405442727453,0.01,99,99,7.4762754698048495,14.25268362834904,6740.091372489929
D1_NB,D1,Dataset 1,8,NB,4030.6039393027168,0.01,99,99,6.82371082326228,12.834900774885304,6737.632277727127
D1_NB,D1,Dataset 1,2,NB,3808.118049152647,0.01,99,99,6.387658275284768,13.211796132923332,6767.759548664093
D1_NB,D1,Dataset 1,1,NB,3983.4324784051714,0.01,99,99,7.116617500846688,12.194466756081964,6875.559541463852
D1_NB,D1,Dataset 1,15,NB,3985.3535070970247,0.01,99,99,7.192442524962855,14.567198579495008,6637.568642139435
D1_NB,D1,Dataset 1,16,NB,3958.732421905457,0.01,99,99,7.390656781853224,14.89944171368552,6583.537567138672
D1_NB,D1,Dataset 1,17,NB,3803.719860501064,0.01,99,99,7.251896018801919,13.535254591275589,6579.057940244675
D1_NB,D1,Dataset 1,18,NB,3921.437065637743,0.01,99,99,6.56535157759267,12.529287685696906,6562.324338197708
D1_NB,D1,Dataset 1,19,NB,3929.936107032088,0.01,99,99,7.284380429111553,12.69894610899646,6778.875595092773
D1_P_plus_NB,D1,Dataset 1,8,P+NB,1222.549120831478,0.01,99,99,3.4099716422126884,8.096725988056273,4407.413092374802
D1_P_plus_NB,D1,Dataset 1,4,P+NB,1199.2646046043665,0.01,99,99,3.1564741036613624,8.168378432199821,4465.014204740524
D1_P_plus_NB,D1,Dataset 1,13,P+NB,1224.6495718773076,0.01,99,99,2.9933686435985205,7.885012499257565,4489.293052911758
D1_P_plus_NB,D1,Dataset 1,12,P+NB,1282.11563976272,0.01,99,99,3.4918588583260326,8.580431014507484,4504.932577133179
D1_P_plus_NB,D1,Dataset 1,10,P+NB,1249.273040427157,0.01,99,99,2.761990110931102,8.095355572660626,4499.200200557709
D1_P_plus_NB,D1,Dataset 1,14,P+NB,1158.701636715385,0.01,99,99,3.10188347711025,8.510644659050739,4517.594260215759
D1_P_plus_NB,D1,Dataset 1,5,P+NB,1122.4084904603517,0.01,99,99,2.9288524174898147,8.109262105902586,4520.391748666763
D1_P_plus_NB,D1,Dataset 1,2,P+NB,1265.416414386258,0.01,99,99,2.8798218244328657,7.430831764581664,4537.027017116547
D1_P_plus_NB,D1,Dataset 1,3,P+NB,1251.014215199786,0.01,99,99,3.02006340627291,8.209583989906237,4528.735897064209
D1_P_plus_NB,D1,Dataset 1,9,P+NB,1269.616984906228,0.01,99,99,3.3524151907321253,9.69913171828375,4539.795116901398
D1_P_plus_NB,D1,Dataset 1,0,P+NB,1330.528980250936,0.01,99,99,2.802923644439557,8.087293199652049,4559.937056541443
D1_P_plus_NB,D1,Dataset 1,7,P+NB,1344.6349377395818,0.01,99,99,2.650407915083119,6.951527019402416,4562.023332118988
D1_P_plus_NB,D1,Dataset 1,11,P+NB,1334.0313358701533,0.01,99,99,3.225104985365613,7.493157214566596,4580.787363767624
D1_P_plus_NB,D1,Dataset 1,6,P+NB,1250.858471163869,0.01,99,99,2.4321789643708134,7.613953884592046,4672.465629816055
D1_P_plus_NB,D1,Dataset 1,1,P+NB,1285.1347668577073,0.01,99,99,3.354862306629792,9.061627003391912,4712.129288673401
D1_P_plus_NB,D1,Dataset 1,18,P+NB,1327.8667956396675,0.01,99,99,2.9060334272268453,9.186817625793628,4435.99458360672
D1_P_plus_NB,D1,Dataset 1,16,P+NB,1231.3577214366087,0.01,99,99,3.683217435911612,9.66652496446185,4504.531569242477
D1_P_plus_NB,D1,Dataset 1,15,P+NB,1385.1350248495874,0.01,99,99,2.994575747548934,6.9672772890960895,4621.383562326431
D1_P_plus_NB,D1,Dataset 1,19,P+NB,1250.451381695675,0.01,99,99,2.955350714634412,7.836536962407989,4552.392313480377
D1_P_plus_NB,D1,Dataset 1,17,P+NB,1299.0937433515792,0.01,99,99,2.814323156593177,7.830663607666793,4604.920882940292
D1_Poisson,D1,Dataset 1,0,Poisson,107433.98793828677,0.01,99,99,2.617794349486234,8.210123933987047,3769.006594181061
D1_Poisson,D1,Dataset 1,13,Poisson,107341.28627786507,0.01,99,99,3.233540644422068,9.047180012417082,3924.917564868927
D1_Poisson,D1,Dataset 1,3,Poisson,106761.15344087336,0.01,99,99,3.616423874911488,9.590983146408686,3922.2403161525726
D1_Poisson,D1,Dataset 1,2,Poisson,104711.41983250147,0.01,99,99,3.471683194901826,7.540633123322904,3945.2363183498383
D1_Poisson,D1,Dataset 1,5,Poisson,105734.29877701716,0.01,99,99,3.563075491131961,9.781850011194182,3940.493234395981
D1_Poisson,D1,Dataset 1,11,Poisson,106974.91687262074,0.01,99,99,3.3891187088237427,8.482679552987973,3955.908577442169
D1_Poisson,D1,Dataset 1,4,Poisson,112579.9846899528,0.01,99,99,3.30602909430845,8.663372319556945,3976.277364253998
D1_Poisson,D1,Dataset 1,7,Poisson,106436.90540506318,0.01,99,99,3.34055382641802,9.837849385075966,4012.862105846405
D1_Poisson,D1,Dataset 1,10,Poisson,109736.78370614212,0.01,99,99,2.840037002514388,9.093650336215791,4084.877014875412
D1_Poisson,D1,Dataset 1,12,Poisson,110237.53618068044,0.01,99,99,2.4759022483194717,7.705359239768585,4106.739856004715
D1_Poisson,D1,Dataset 1,1,Poisson,108049.1129626162,0.01,99,99,3.865221376852291,12.056839672014757,4118.51634144783
D1_Poisson,D1,Dataset 1,14,Poisson,103590.37252062072,0.01,99,99,3.448464142667797,8.66631955687626,4147.043899536133
D1_Poisson,D1,Dataset 1,6,Poisson,110673.37849216245,0.01,99,99,2.952093166544195,8.823162406671322,4299.858184576035
D1_Poisson,D1,Dataset 1,8,Poisson,106095.2634508645,0.01,99,99,3.0534859440673667,6.870888092396488,4322.787696123123
D1_Poisson,D1,Dataset 1,9,Poisson,106226.25154457727,0.01,99,99,4.072475991701011,10.546796654358328,4418.245331764221
D1_Poisson,D1,Dataset 1,18,Poisson,107446.76560775028,0.01,99,99,2.649404523057529,8.527169647018306,3927.895563602448
D1_Poisson,D1,Dataset 1,19,Poisson,107679.63800002912,0.01,99,99,3.347426396018809,10.27876864081336,4089.618623733521
D1_Poisson,D1,Dataset 1,17,Poisson,106965.61797093177,0.01,99,99,3.1611280761958414,9.535591736010971,4133.558899641037
D1_Poisson,D1,Dataset 1,16,Poisson,109000.29030420716,0.01,99,99,3.054260142558669,7.643631913518765,4218.06339430809
D1_Poisson,D1,Dataset 1,15,Poisson,110195.653674946,0.01,99,99,3.0661668466073944,8.284750806153168,4366.467864990234
D1_ZINB,D1,Dataset 1,13,ZINB,2183.585578096696,0.01,99,99,6.4904064129627335,13.683035406422272,4986.603390693665
D1_ZINB,D1,Dataset 1,0,ZINB,2535.087882558044,0.01,99,99,6.23949393491226,13.122243216040076,5058.340091228485
D1_ZINB,D1,Dataset 1,9,ZINB,2469.8209913789324,0.01,99,99,7.113973906186246,13.032923434478288,5063.964295864105
D1_ZINB,D1,Dataset 1,12,ZINB,2431.944597455309,0.01,99,99,6.456366791140148,12.693396543365084,5105.127920150757
D1_ZINB,D1,Dataset 1,2,ZINB,2269.7612657550344,0.01,99,99,6.606382591193048,13.206869018700663,5112.993754863739
D1_ZINB,D1,Dataset 1,11,ZINB,2492.056523750347,0.01,99,99,6.545881828550435,11.730556711045208,5146.337669849396
D1_ZINB,D1,Dataset 1,5,ZINB,2399.6202510780568,0.01,99,99,6.84846962811196,12.888801739712648,5148.661732435226
D1_ZINB,D1,Dataset 1,14,ZINB,2561.271349905452,0.01,99,99,6.456247429778673,11.950998799703664,5161.40365934372
D1_ZINB,D1,Dataset 1,3,ZINB,2381.274538342899,0.01,99,99,6.530089855290811,12.037000897245882,5185.954028844833
D1_ZINB,D1,Dataset 1,7,ZINB,2467.5450104852207,0.01,99,99,7.211003837381746,12.690094446841975,5189.609894275665
D1_ZINB,D1,Dataset 1,6,ZINB,2476.421734520758,0.01,99,99,6.107635856152605,11.6403692789594,5194.222726583481
D1_ZINB,D1,Dataset 1,4,ZINB,2598.22533241268,0.01,99,99,6.465005275832032,12.936272163629472,5212.953294992447
