SourceFolder,Scenario,Dataset,Rep,Parameter,true,estimate
D1_NB,D1,Dataset 1,9,beta_z[0],2.0,2.065994584901751
D1_NB,D1,Dataset 1,9,beta_z[1],1.0,0.94761980502776
D1_NB,D1,Dataset 1,9,gamma_z[0],-2.0,-1.770950664851719
D1_NB,D1,Dataset 1,9,gamma_z[1],1.0,0.9016459662240032
D1_NB,D1,Dataset 1,9,beta_nb[0],4.0,4.091969220674545
D1_NB,D1,Dataset 1,9,beta_nb[1],3.5,3.484632596261502
D1_NB,D1,Dataset 1,9,gamma_nb[0],1.0,1.0056562487677925
D1_NB,D1,Dataset 1,9,gamma_nb[1],-3.0,-4.310639905048836
D1_NB,D1,Dataset 1,5,beta_z[0],2.0,2.0051762839328
D1_NB,D1,Dataset 1,5,beta_z[1],1.0,1.002355579099521
D1_NB,D1,Dataset 1,5,gamma_z[0],-2.0,-1.9576721479312265
D1_NB,D1,Dataset 1,5,gamma_z[1],1.0,0.9676861888511328
D1_NB,D1,Dataset 1,5,beta_nb[0],4.0,3.6969300198147472
D1_NB,D1,Dataset 1,5,beta_nb[1],3.5,3.3051059988798306
D1_NB,D1,Dataset 1,5,gamma_nb[0],1.0,0.84947934620306
D1_NB,D1,Dataset 1,5,gamma_nb[1],-3.0,-3.135805924935476
D1_NB,D1,Dataset 1,3,beta_z[0],2.0,1.9292204358658696
D1_NB,D1,Dataset 1,3,beta_z[1],1.0,1.073164667643995
D1_NB,D1,Dataset 1,3,gamma_z[0],-2.0,-2.156652996731247
D1_NB,D1,Dataset 1,3,gamma_z[1],1.0,1.0631367701519514
D1_NB,D1,Dataset 1,3,beta_nb[0],4.0,4.196774837589733
D1_NB,D1,Dataset 1,3,beta_nb[1],3.5,3.05975737814602
D1_NB,D1,Dataset 1,3,gamma_nb[0],1.0,1.112813958144605
D1_NB,D1,Dataset 1,3,gamma_nb[1],-3.0,-3.228224226138733
D1_NB,D1,Dataset 1,14,beta_z[0],2.0,1.9586410009827464
D1_NB,D1,Dataset 1,14,beta_z[1],1.0,1.0939737495459014
D1_NB,D1,Dataset 1,14,gamma_z[0],-2.0,-2.0225916466367533
D1_NB,D1,Dataset 1,14,gamma_z[1],1.0,0.9797836452992964
D1_NB,D1,Dataset 1,14,beta_nb[0],4.0,4.309775265109077
D1_NB,D1,Dataset 1,14,beta_nb[1],3.5,3.139701430703475
D1_NB,D1,Dataset 1,14,gamma_nb[0],1.0,0.9445826015733872
D1_NB,D1,Dataset 1,14,gamma_nb[1],-3.0,-2.754101307678845
D1_NB,D1,Dataset 1,10,beta_z[0],2.0,1.9868157423886488
D1_NB,D1,Dataset 1,10,beta_z[1],1.0,1.0159749176059256
