SourceFolder,Scenario,Dataset,Rep,Parameter,true,estimate
D1_NB,D1,Dataset 1,9,rho,0.7,0.7180022094374298
D1_NB,D1,Dataset 1,9,lambda,3.50188472373374,3.4892102939804883
D1_NB,D1,Dataset 1,9,pi,0.3958469137871457,0.4101030852743405
D1_NB,D1,Dataset 1,9,varphi,9.256596533068086,9.325485684824333
D1_NB,D1,Dataset 1,9,alpha,1.5,1.4724460200689728
D1_NB,D1,Dataset 1,9,omega,0.145299986821806,0.101355904703599
D1_NB,D1,Dataset 1,5,rho,0.7,0.6850950123343298
D1_NB,D1,Dataset 1,5,lambda,3.496957825102711,3.505660311601188
D1_NB,D1,Dataset 1,5,pi,0.3950004909779172,0.3927931831635549
D1_NB,D1,Dataset 1,5,varphi,9.239352387859489,8.64453430763182
D1_NB,D1,Dataset 1,5,alpha,1.5,1.6484748345311795
D1_NB,D1,Dataset 1,5,omega,0.1479449048897703,0.1300589294429339
D1_NB,D1,Dataset 1,3,rho,0.7,0.6850135592497325
D1_NB,D1,Dataset 1,3,lambda,3.506577555499009,3.5460262374928657
D1_NB,D1,Dataset 1,3,pi,0.397038734481087,0.3866537037283902
D1_NB,D1,Dataset 1,3,varphi,9.273021444246533,8.806536628777021
D1_NB,D1,Dataset 1,3,alpha,1.5,1.6370650386545746
D1_NB,D1,Dataset 1,3,omega,0.1458414029586163,0.1442624644979038
D1_NB,D1,Dataset 1,14,rho,0.7,0.7004922861254222
D1_NB,D1,Dataset 1,14,lambda,3.505038240619608,3.605113328283344
D1_NB,D1,Dataset 1,14,pi,0.3966127883991522,0.3851883509578428
D1_NB,D1,Dataset 1,14,varphi,9.267633842168625,9.0351459824459
D1_NB,D1,Dataset 1,14,alpha,1.5,1.5418353154007258
D1_NB,D1,Dataset 1,14,omega,0.1454291234971905,0.1535231597831569
D1_NB,D1,Dataset 1,10,rho,0.7,0.7019180419304201
D1_NB,D1,Dataset 1,10,lambda,3.4990877845893054,3.509851330820818
D1_NB,D1,Dataset 1,10,pi,0.3951158208362758,0.3862939481162968
D1_NB,D1,Dataset 1,10,varphi,9.24680724606257,9.367817751355595
D1_NB,D1,Dataset 1,10,alpha,1.5,1.558008283276495
D1_NB,D1,Dataset 1,10,omega,0.1452806884266435,0.1481517360730289
D1_NB,D1,Dataset 1,11,rho,0.7,0.6972443045840347
D1_NB,D1,Dataset 1,11,lambda,3.509280451457156,3.4900428197473543
D1_NB,D1,Dataset 1,11,pi,0.397517028033592,0.3860274270515152
D1_NB,D1,Dataset 1,11,varphi,9.282481580100043,9.233723791786002
D1_NB,D1,Dataset 1,11,alpha,1.5,1.5142446205591549
D1_NB,D1,Dataset 1,11,omega,0.1445431711847462,0.1646248731075824
D1_NB,D1,Dataset 1,0,rho,0.7,0.7187667005372109
D1_NB,D1,Dataset 1,0,lambda,3.50804637970374,3.4546043370707595
D1_NB,D1,Dataset 1,0,pi,0.3973134617821227,0.394643095776452
D1_NB,D1,Dataset 1,0,varphi,9.27816232896309,9.891680615057004
D1_NB,D1,Dataset 1,0,alpha,1.5,1.3307187619033607
D1_NB,D1,Dataset 1,0,omega,0.1452152310429932,0.1587095449163779
D1_NB,D1,Dataset 1,7,rho,0.7,0.7157659354144797
D1_NB,D1,Dataset 1,7,lambda,3.4910899245569103,3.455907060895006
D1_NB,D1,Dataset 1,7,pi,0.3934957437897623,0.3939642513887438
D1_NB,D1,Dataset 1,7,varphi,9.218814735949186,9.523802894471546
D1_NB,D1,Dataset 1,7,alpha,1.5,1.4440109596524426
D1_NB,D1,Dataset 1,7,omega,0.1475478499055759,0.1512358788068565
D1_NB,D1,Dataset 1,4,rho,0.7,0.6821932770093503
D1_NB,D1,Dataset 1,4,lambda,3.504509250692634,3.57479144242644
D1_NB,D1,Dataset 1,4,pi,0.3963112590456617,0.3746079907195324
D1_NB,D1,Dataset 1,4,varphi,9.26578237742422,8.995337645343882
D1_NB,D1,Dataset 1,4,alpha,1.5,1.732374066744004
D1_NB,D1,Dataset 1,4,omega,0.1441503881866927,0.1552398346182797
