Scenario,Dataset,Rep,Count,Observed,Expected,RootogramDiff
D2,Dataset 2,1,0,16556.0,16554.910506532175,0.004233738902087225
D2,Dataset 2,1,1,234.0,233.5555160932144,0.014535316741874027
D2,Dataset 2,1,2,260.0,258.69875425598934,0.0404005300846606
D2,Dataset 2,1,3,285.0,284.43869019067597,0.01663275540439102
D2,Dataset 2,1,4,288.0,292.1499570483556,-0.12183196520635775
D2,Dataset 2,1,5,280.0,274.78785032542095,0.15647436640465173
D2,Dataset 2,1,6,234.0,239.30616846563584,-0.17246531956187994
D2,Dataset 2,1,7,200.0,198.37081365703463,0.057718218064692906
D2,Dataset 2,1,8,159.0,161.86895405791765,-0.11325283614269388
D2,Dataset 2,1,9,137.0,133.8772312761369,0.13416702428190064
D2,Dataset 2,1,10,113.0,114.04727518561097,-0.0491460732290907
D2,Dataset 2,1,11,98.0,100.19049522007481,-0.11002529265381256
D2,Dataset 2,1,12,86.0,90.07769031718556,-0.21730824098190737
D2,Dataset 2,1,13,92.0,82.12860283421526,0.5291797868221266
D2,Dataset 2,1,14,77.0,75.42453353466644,0.09023448170901993
D2,Dataset 2,1,15,56.0,69.4957395373301,-0.8530956972320984
D2,Dataset 2,1,16,63.0,64.1185859535144,-0.07015425881907067
D2,Dataset 2,1,17,68.0,59.1861295602715,0.5529590416511647
D2,Dataset 2,1,18,42.0,54.641296745810706,-0.9112344602226603
D2,Dataset 2,1,19,43.0,50.44707959938517,-0.5451722350867731
D2,Dataset 2,1,20,61.0,46.57465555929201,0.9856870115821472
D2,Dataset 2,1,21,52.0,42.99904351284751,0.6537369584932007
D2,Dataset 2,1,22,38.0,39.69759522901319,-0.13618876414887993
D2,Dataset 2,1,23,41.0,36.649459287671355,0.34924454853322917
D2,Dataset 2,1,24,28.0,33.83535402789209,-0.5253138635347838
D2,Dataset 2,1,25,33.0,31.237433824473126,0.155516768709405
D2,Dataset 2,1,26,28.0,28.839184132642004,-0.07871004895210465
D2,Dataset 2,1,27,27.0,26.625327461334305,0.036178831559647406
D2,Dataset 2,1,28,26.0,24.581735738696786,0.14102236366452114
D2,Dataset 2,1,29,27.0,22.695347999820235,0.4321889467949793
D2,Dataset 2,1,30,18.0,20.95409311978283,-0.33492341617657484
D2,Dataset 2,1,31,16.0,19.346817444832475,-0.398501727274013
D2,Dataset 2,1,32,24.0,17.863217162599557,0.6724895515194804
D2,Dataset 2,1,33,21.0,16.4937752224957,0.5213227820611381
D2,Dataset 2,1,34,17.0,15.229702594575489,0.22058046944307286
D2,Dataset 2,1,35,19.0,14.062883641626414,0.6088477916726873
D2,Dataset 2,1,36,9.0,12.985825373439475,-0.6035850723188809
D2,Dataset 2,1,37,8.0,11.991610351926248,-0.6344633372705117
D2,Dataset 2,1,38,9.0,11.073853019525153,-0.3277399266657173
D2,Dataset 2,1,39,10.0,10.226659229829462,-0.03563716512473025
D2,Dataset 2,1,40,3.0,9.444588767695123,-1.3411541591873468
D2,Dataset 2,1,41,6.0,8.722620655624945,-0.5039185689178889
D2,Dataset 2,1,42,3.0,8.056121053408283,-1.1062798732025305
D2,Dataset 2,1,43,2.0,7.4408135685374095,-1.31357190729592
D2,Dataset 2,1,44,8.0,6.872751805503026,0.20683375324422792
D2,Dataset 2,1,45,5.0,6.348293992534768,-0.2835141292263965
D2,Dataset 2,1,46,6.0,5.864079534577731,0.027903581900660335
D2,Dataset 2,1,47,6.0,5.417007351132723,0.12204321254177986
D2,Dataset 2,1,48,3.0,5.004215867063476,-0.5049596678342838
D2,Dataset 2,1,49,7.0,4.62306453345338,0.49562002822314977
D2,Dataset 2,1,50,5.0,4.271116764146804,0.16939994316365015
D2,Dataset 2,1,51,5.0,3.946124181657345,0.24958259329547983
D2,Dataset 2,1,52,4.0,3.646012073715776,0.09054665578973209
D2,Dataset 2,1,53,5.0,3.368865968842379,0.40062090148741425
D2,Dataset 2,1,54,3.0,3.1129192460027397,-0.03229588341981282
