Scenario,Dataset,Rep,n,mean,sd,q01,q05,q50,q95,q99
D2,Dataset 2,1,20000,0.003705726234376033,0.9978704099307729,-2.3362529072719,-1.6468698485979887,0.00829767971645749,1.6482329470539756,2.3279879920034285
D2,Dataset 2,2,20000,-0.004930042064970626,1.0036512597780367,-2.3424608069621766,-1.6534772232938595,-0.0012925048558464548,1.6366213238423808,2.335310969199389
D2,Dataset 2,0,20000,-0.00661579635159828,1.0033465711138894,-2.3259319137811145,-1.6650506857234273,-0.001964119485510386,1.6527936902540117,2.3399436953229076
D3,Dataset 3,0,20000,-0.0061390808317091355,1.0068668232007647,-2.379737300511391,-1.668642686914944,-0.0034912279816260764,1.6430317041127953,2.336907135972046
D3,Dataset 3,1,20000,0.0012102661166751235,1.0008862974462487,-2.352059317908712,-1.6453257904112852,0.0033999812903161833,1.6638552983583097,2.326661660978498
D3,Dataset 3,2,20000,-0.0005874387331992537,1.001296872772161,-2.338986248499085,-1.6452150159987615,0.0011372585017827975,1.6345149626645268,2.3446699348198106
D1,Dataset 1,2,20000,-0.0006956915068758306,1.0005370767704103,-2.334383470898816,-1.6457965594202206,-0.005245710744803316,1.636445332107425,2.3162462403382955
D1,Dataset 1,1,20000,0.002214472061031242,1.0002734445684818,-2.3567738883399842,-1.6395450603029065,0.0032102041430084466,1.6379446115324303,2.3377338440250566
D1,Dataset 1,0,20000,0.0005456294511541593,0.9994293050527787,-2.3160951476276654,-1.6373044636676692,-0.0003582956384705806,1.6500945965077287,2.326360079165536
D4,Dataset 4,2,20000,0.0008811370737732051,0.9991795400789983,-2.34072774653917,-1.6212704844582113,0.005909395816878028,1.646650763082522,2.343270610203697
D4,Dataset 4,1,20000,0.001134446136343431,0.9989421728858195,-2.305915631469955,-1.6479634179065612,0.0019821678232372643,1.6422859940548558,2.3468796747251046
D4,Dataset 4,0,20000,0.00041294924148551466,1.0002883800290945,-2.348716060995543,-1.6418288957379854,-4.205520878846444e-05,1.6456468845952195,2.3145196675512762
