Scenario,Dataset,Rep,Threshold,ObservedTailCount,ExpectedTailCount,ObservedTailRate,ExpectedTailRate
D2,Dataset 2,1,1,3444.0,3445.0894934678254,0.1722,0.17225447467339128
D2,Dataset 2,1,2,3210.0,3211.533977374611,0.1605,0.16057669886873055
D2,Dataset 2,1,3,2950.0,2952.835223118622,0.1475,0.14764176115593108
D2,Dataset 2,1,5,2377.0,2376.24657587959,0.11885,0.11881232879397952
D2,Dataset 2,1,8,1663.0,1663.7817434314989,0.08315,0.08318908717157494
D2,Dataset 2,1,10,1367.0,1368.035558097444,0.06835,0.0684017779048722
D2,Dataset 2,1,15,901.0,906.1669610056911,0.04505,0.04530834805028455
D2,Dataset 2,1,20,629.0,608.2781296093792,0.03145,0.03041390648046896
D2,Dataset 2,2,1,3561.0,3559.7702945876445,0.17805,0.17798851472938224
D2,Dataset 2,2,2,3310.0,3304.2017823791766,0.1655,0.16521008911895882
D2,Dataset 2,2,3,3024.0,3037.923727692423,0.1512,0.15189618638462116
D2,Dataset 2,2,5,2484.0,2460.5329007426235,0.1242,0.12302664503713118
D2,Dataset 2,2,8,1699.0,1720.471292661755,0.08495,0.08602356463308775
D2,Dataset 2,2,10,1421.0,1404.278887822714,0.07105,0.07021394439113571
D2,Dataset 2,2,15,940.0,922.2123459504184,0.047,0.04611061729752092
D2,Dataset 2,2,20,593.0,618.0161862052686,0.02965,0.030900809310263427
D2,Dataset 2,0,1,3537.0,3537.265309175093,0.17685,0.17686326545875466
D2,Dataset 2,0,2,3273.0,3284.8784682800847,0.16365,0.16424392341400423
D2,Dataset 2,0,3,3006.0,3002.2421643926673,0.1503,0.15011210821963336
D2,Dataset 2,0,5,2380.0,2385.7463136092156,0.119,0.11928731568046078
D2,Dataset 2,0,8,1666.0,1675.6931206251636,0.0833,0.08378465603125818
D2,Dataset 2,0,10,1398.0,1388.9462749504128,0.0699,0.06944731374752064
D2,Dataset 2,0,15,933.0,926.3679069305997,0.04665,0.046318395346529984
D2,Dataset 2,0,20,638.0,624.4864428609159,0.0319,0.031224322143045793
D3,Dataset 3,0,1,6960.0,6964.903513182409,0.348,0.34824517565912044
D3,Dataset 3,0,2,6429.0,6414.945803832523,0.32145,0.3207472901916261
D3,Dataset 3,0,3,5766.0,5750.263568453733,0.2883,0.28751317842268664
D3,Dataset 3,0,5,4203.0,4227.822482485377,0.21015,0.21139112412426883
D3,Dataset 3,0,8,2381.0,2372.626057779879,0.11905,0.11863130288899394
D3,Dataset 3,0,10,1696.0,1698.0093687826602,0.0848,0.08490046843913301
D3,Dataset 3,0,15,953.0,957.8259784524764,0.04765,0.04789129892262382
D3,Dataset 3,0,20,589.0,589.1725985644521,0.02945,0.029458629928222603
D3,Dataset 3,1,1,6941.0,6942.181094090587,0.34705,0.34710905470452935
D3,Dataset 3,1,2,6368.0,6358.180533221435,0.3184,0.3179090266610718
D3,Dataset 3,1,3,5682.0,5683.454496245027,0.2841,0.28417272481225136
D3,Dataset 3,1,5,4174.0,4181.909120794121,0.2087,0.20909545603970606
D3,Dataset 3,1,8,2379.0,2360.556478080931,0.11895,0.11802782390404655
D3,Dataset 3,1,10,1660.0,1686.1519315418175,0.083,0.08430759657709087
D3,Dataset 3,1,15,963.0,937.2766531497351,0.04815,0.046863832657486754
D3,Dataset 3,1,20,581.0,570.083266383313,0.02905,0.02850416331916565
D3,Dataset 3,2,1,7034.0,7033.973178659076,0.3517,0.3516986589329538
D3,Dataset 3,2,2,6440.0,6472.535686772612,0.322,0.3236267843386306
D3,Dataset 3,2,3,5794.0,5788.210521945574,0.2897,0.28941052609727874
D3,Dataset 3,2,5,4227.0,4219.29251153236,0.21135,0.210964625576618
D3,Dataset 3,2,8,2354.0,2345.87308304831,0.1177,0.11729365415241551
D3,Dataset 3,2,10,1687.0,1680.245255827534,0.08435,0.0840122627913767
D3,Dataset 3,2,15,963.0,944.2147393620262,0.04815,0.04721073696810131
D3,Dataset 3,2,20,565.0,574.1475977546884,0.02825,0.02870737988773442
D1,Dataset 1,2,1,12205.0,12216.990344279004,0.61025,0.6108495172139502
D1,Dataset 1,2,2,10514.0,10500.7800309386,0.5257,0.5250390015469301
D1,Dataset 1,2,3,8352.0,8394.655185972042,0.4176,0.4197327592986021
D1,Dataset 1,2,5,4733.0,4729.92847066534,0.23665,0.236496423533267
D1,Dataset 1,2,8,2331.0,2339.7669586818147,0.11655,0.11698834793409073
D1,Dataset 1,2,10,1801.0,1804.9434684765934,0.09005,0.09024717342382967
D1,Dataset 1,2,15,1160.0,1167.2888620904184,0.058,0.05836444310452092
D1,Dataset 1,2,20,779.0,789.9730868548118,0.03895,0.03949865434274059
D1,Dataset 1,1,1,12391.0,12379.267794024987,0.61955,0.6189633897012493
D1,Dataset 1,1,2,10650.0,10681.814192779286,0.5325,0.5340907096389643
D1,Dataset 1,1,3,8532.0,8536.782880037903,0.4266,0.42683914400189515
D1,Dataset 1,1,5,4789.0,4770.281097226711,0.23945,0.23851405486133553
D1,Dataset 1,1,8,2355.0,2346.2269674222807,0.11775,0.11731134837111404
D1,Dataset 1,1,10,1815.0,1821.9973506129086,0.09075,0.09109986753064543
D1,Dataset 1,1,15,1213.0,1199.8496443583565,0.06065,0.05999248221791782
D1,Dataset 1,1,20,825.0,824.2472420127089,0.04125,0.04121236210063544
D1,Dataset 1,0,1,12303.0,12302.895750867374,0.61515,0.6151447875433687
D1,Dataset 1,0,2,10596.0,10578.829843065963,0.5298,0.5289414921532982
D1,Dataset 1,0,3,8392.0,8428.302840947814,0.4196,0.42141514204739067
D1,Dataset 1,0,5,4722.0,4688.573255034366,0.2361,0.2344286627517183
D1,Dataset 1,0,8,2286.0,2290.9965198301475,0.1143,0.11454982599150737
D1,Dataset 1,0,10,1780.0,1772.9123201625098,0.089,0.08864561600812548
D1,Dataset 1,0,15,1162.0,1165.2764555803756,0.0581,0.05826382277901878
D1,Dataset 1,0,20,797.0,801.9968892188767,0.03985,0.040099844460943834
D4,Dataset 4,2,1,10664.0,10661.053732069464,0.5332,0.5330526866034732
D4,Dataset 4,2,2,9428.0,9431.251219534417,0.4714,0.47156256097672083
D4,Dataset 4,2,3,8301.0,8295.284398881857,0.41505,0.41476421994409285
D4,Dataset 4,2,5,6136.0,6148.065033393561,0.3068,0.307403251669678
D4,Dataset 4,2,8,3294.0,3294.9029211418037,0.1647,0.16474514605709017
D4,Dataset 4,2,10,1989.0,1979.8240149823775,0.09945,0.09899120074911888
D4,Dataset 4,2,15,568.0,574.8358434373218,0.0284,0.028741792171866093
D4,Dataset 4,2,20,223.0,209.32279214373867,0.01115,0.010466139607186934
D4,Dataset 4,1,1,10630.0,10623.456004550317,0.5315,0.5311728002275158
D4,Dataset 4,1,2,9372.0,9395.828694469283,0.4686,0.46979143472346413
D4,Dataset 4,1,3,8296.0,8286.837031599278,0.4148,0.4143418515799639
D4,Dataset 4,1,5,6196.0,6173.578687516267,0.3098,0.30867893437581334
D4,Dataset 4,1,8,3286.0,3313.777686013762,0.1643,0.1656888843006881
D4,Dataset 4,1,10,1978.0,1987.0805484755474,0.0989,0.09935402742377737
D4,Dataset 4,1,15,579.0,577.0674678077575,0.02895,0.028853373390387873
D4,Dataset 4,1,20,223.0,221.0218161997218,0.01115,0.01105109080998609
D4,Dataset 4,0,1,10480.0,10479.57844957076,0.524,0.523978922478538
D4,Dataset 4,0,2,9290.0,9268.437771048819,0.4645,0.46342188855244093
D4,Dataset 4,0,3,8163.0,8179.953394630364,0.40815,0.4089976697315182
