Scenario,Dataset,Rep,Bin,DoseMin,DoseMax,n,ObservedZeroRate,FittedZeroProbability
D2,Dataset 2,1,1,0.00015426153219944005,0.31289436521759917,2000,0.471,0.4737583928454552
D2,Dataset 2,1,2,0.3129109324970708,0.5993986340449818,2000,0.6085,0.6010716988731999
D2,Dataset 2,1,3,0.5996081292995135,0.8949158295676227,2000,0.706,0.7057750483217157
D2,Dataset 2,1,4,0.8950480991447255,1.1989007720885474,2000,0.783,0.795389769087656
D2,Dataset 2,1,5,1.1991553204903884,1.5046209349042101,2000,0.8795,0.869481042990525
D2,Dataset 2,1,6,1.5046982945407616,1.8066668084373412,2000,0.919,0.9219513084412467
D2,Dataset 2,1,7,1.8066820736093372,2.1000295997258536,2000,0.955,0.95534548710265
D2,Dataset 2,1,8,2.1000937502804273,2.390065354968975,2000,0.9785,0.9752461081887308
D2,Dataset 2,1,9,2.3906934814986713,2.690201032439556,2000,0.987,0.9865407466226914
D2,Dataset 2,1,10,2.6902798653086997,2.999745582364121,2000,0.9905,0.9928956507922166
D2,Dataset 2,2,1,7.238699426204143e-05,0.30004281390041887,2000,0.463,0.4539830067117723
D2,Dataset 2,2,2,0.3000471257533992,0.6054478193722825,2000,0.5745,0.5881710102425407
D2,Dataset 2,2,3,0.6055680339045489,0.8964497895313424,2000,0.7065,0.7025723293038952
D2,Dataset 2,2,4,0.8966099931882567,1.2024242775779612,2000,0.7865,0.7940995640363396
D2,Dataset 2,2,5,1.2024907442718822,1.5040283560523637,2000,0.868,0.8662126753787713
D2,Dataset 2,2,6,1.504241134017681,1.8050231684086642,2000,0.925,0.9175146061123896
D2,Dataset 2,2,7,1.8050960957915592,2.1095815008795604,2000,0.956,0.9510336184104173
D2,Dataset 2,2,8,2.1097996321643975,2.412075247203537,2000,0.971,0.9718078224635817
D2,Dataset 2,2,9,2.412232955800013,2.7025592556956624,2000,0.977,0.9838866431348153
D2,Dataset 2,2,10,2.702872602988307,2.9998306168657667,2000,0.992,0.9908335769116547
D2,Dataset 2,0,1,0.0007766881290856009,0.31561173880696203,2000,0.456,0.4586768046241792
D2,Dataset 2,0,2,0.316026007675952,0.6201723643407816,2000,0.587,0.5846161012772718
D2,Dataset 2,0,3,0.6202333205366565,0.9168299079907606,2000,0.707,0.6997418328632788
D2,Dataset 2,0,4,0.9169572261512393,1.2041554008156137,2000,0.7875,0.7942862236406991
D2,Dataset 2,0,5,1.2041912943221482,1.5080363797281513,2000,0.866,0.8679825827671828
D2,Dataset 2,0,6,1.508305300966065,1.8116303379914322,2000,0.924,0.9210140155342879
D2,Dataset 2,0,7,1.8116407039454285,2.1111404266491935,2000,0.9515,0.9538825048002794
D2,Dataset 2,0,8,2.111257290452865,2.406881713764679,2000,0.978,0.9739920226500477
D2,Dataset 2,0,9,2.40690052142869,2.7010812405420417,2000,0.9815,0.9853252875693095
D2,Dataset 2,0,10,2.7012129536259764,2.999738901030241,2000,0.993,0.9918499696859169
D3,Dataset 3,0,1,0.00013104294228805102,0.3053802130372707,2000,0.1765,0.1645919280397258
D3,Dataset 3,0,2,0.3054905858352329,0.6070259857352327,2000,0.236,0.24526934207033654
D3,Dataset 3,0,3,0.6070946817000786,0.8998089257078613,2000,0.3605,0.3633072469954801
D3,Dataset 3,0,4,0.8999902998543198,1.205804562816009,2000,0.5245,0.5147388396700115
D3,Dataset 3,0,5,1.2064466453235685,1.514621727896253,2000,0.649,0.6689721546160529
D3,Dataset 3,0,6,1.5146274145237149,1.808154259093473,2000,0.801,0.7936077511193
D3,Dataset 3,0,7,1.8082249498998961,2.1168074866151882,2000,0.8855,0.8794814007885049
D3,Dataset 3,0,8,2.1171107526610347,2.405987817012514,2000,0.938,0.9343711255804519
D3,Dataset 3,0,9,2.406146869378893,2.7056124300179265,2000,0.9655,0.9668037255525799
D3,Dataset 3,0,10,2.7057288923826484,2.999829525499235,2000,0.9835,0.9864047289763518
D3,Dataset 3,1,1,2.2341895270505674e-05,0.2933219826851632,2000,0.171,0.17015090520817716
D3,Dataset 3,1,2,0.2937639898862331,0.5970103478727539,2000,0.249,0.24878433478137896
D3,Dataset 3,1,3,0.5970512556504248,0.8994672781474733,2000,0.3655,0.366248092632255
D3,Dataset 3,1,4,0.8995617991699849,1.200852438323332,2000,0.5155,0.5140374568715446
D3,Dataset 3,1,5,1.2009132204077324,1.4982182392302978,2000,0.673,0.6663602366014396
D3,Dataset 3,1,6,1.4982443049258436,1.7959874106492102,2000,0.7785,0.7896207801055222
D3,Dataset 3,1,7,1.7962161167919657,2.0967388936096945,2000,0.881,0.8794444755710712
D3,Dataset 3,1,8,2.0968939115874834,2.3954422503019526,2000,0.9315,0.935861445419466
D3,Dataset 3,1,9,2.395971429464173,2.6931635660404245,2000,0.974,0.9694623341277991
D3,Dataset 3,1,10,2.693319006382629,2.999970461865378,2000,0.9905,0.9889393916360523
D3,Dataset 3,2,1,3.3294503113179275e-05,0.2951720696787996,2000,0.1595,0.15786686156486104
D3,Dataset 3,2,2,0.2951763438111433,0.5866977975625796,2000,0.2365,0.23433232756845515
D3,Dataset 3,2,3,0.586899326631924,0.8775547874059046,2000,0.3385,0.35094946338236943
D3,Dataset 3,2,4,0.8777289164476086,1.1843982316653987,2000,0.5,0.5046941039464299
D3,Dataset 3,2,5,1.184603668309974,1.4847573460029193,2000,0.679,0.6621838309866572
D3,Dataset 3,2,6,1.4847585794912725,1.795705604561915,2000,0.789,0.7926005201977637
D3,Dataset 3,2,7,1.7957236569316923,2.1054435665639133,2000,0.8845,0.8836129542298361
D3,Dataset 3,2,8,2.105798564430066,2.4103250018513087,2000,0.9455,0.9390452141746884
D3,Dataset 3,2,9,2.4104895458780327,2.704610711531441,2000,0.97,0.9703848199794296
D3,Dataset 3,2,10,2.7046605802431083,2.99995506626941,2000,0.9805,0.9873433146399716
D1,Dataset 1,2,1,0.00028365263528573603,0.30657164610505927,2000,0.3865,0.3868017264830995
D1,Dataset 1,2,2,0.30666630532772154,0.6056542958909139,2000,0.343,0.34538492297319173
D1,Dataset 1,2,3,0.6056573030241963,0.9076450316934964,2000,0.3205,0.3162515470586153
D1,Dataset 1,2,4,0.90787410884038,1.217556718693619,2000,0.315,0.3078461657834729
D1,Dataset 1,2,5,1.2176317046467884,1.5177174995012774,2000,0.3095,0.32239552765277835
D1,Dataset 1,2,6,1.517736600634192,1.8150704312825674,2000,0.371,0.35327157022327815
D1,Dataset 1,2,7,1.815238029251717,2.1132053977641982,2000,0.3685,0.395805171328395
D1,Dataset 1,2,8,2.113342106984897,2.4137088283186654,2000,0.4525,0.442416785846335
D1,Dataset 1,2,9,2.413736186583648,2.7064458164308056,2000,0.4885,0.4892841343919439
D1,Dataset 1,2,10,2.7067309962199504,2.999594641968425,2000,0.5425,0.5320472761193885
D1,Dataset 1,1,1,0.00015834507192880043,0.3103174618987584,2000,0.3635,0.3797049181044282
D1,Dataset 1,1,2,0.31057551472909395,0.6138833835914549,2000,0.344,0.3349466532869704
D1,Dataset 1,1,3,0.6139859045804644,0.9116196533659872,2000,0.298,0.304548673140941
D1,Dataset 1,1,4,0.911745223581173,1.2182554747991234,2000,0.3115,0.298407053834311
D1,Dataset 1,1,5,1.2183770827870215,1.519929138315021,2000,0.3045,0.3155462998506816
D1,Dataset 1,1,6,1.5200106380880762,1.810861636186118,2000,0.343,0.3482025699601226
D1,Dataset 1,1,7,1.8111178110981965,2.1134572023521,2000,0.401,0.3897582610275317
D1,Dataset 1,1,8,2.1134719412178806,2.4010537856475973,2000,0.446,0.4350228069053163
D1,Dataset 1,1,9,2.4012591824891825,2.6943021120965134,2000,0.465,0.4802832538639879
D1,Dataset 1,1,10,2.694499232024617,2.9999235854071156,2000,0.528,0.5239456130132162
D1,Dataset 1,0,1,1.2918354342916771e-05,0.3006586795118015,2000,0.3575,0.3642371664638463
D1,Dataset 1,0,2,0.3010228139611797,0.5959229725359891,2000,0.333,0.3290277301434453
D1,Dataset 1,0,3,0.5959352236564982,0.9127409557270335,2000,0.307,0.30819074601000235
D1,Dataset 1,0,4,0.9128043846238417,1.2088315414358428,2000,0.3095,0.30677200790948167
D1,Dataset 1,0,5,1.208862778843653,1.513701922687762,2000,0.3285,0.32425281177524573
D1,Dataset 1,0,6,1.5137694133141415,1.8152923440054476,2000,0.353,0.3563627133399191
D1,Dataset 1,0,7,1.8153066670839715,2.1196229742261314,2000,0.396,0.39773853859633446
D1,Dataset 1,0,8,2.1196434666940602,2.4125965417786546,2000,0.453,0.4429016733626168
D1,Dataset 1,0,9,2.412809163840954,2.707800603901975,2000,0.4875,0.48796166420808357
D1,Dataset 1,0,10,2.7079677051069266,2.9996125139931133,2000,0.5235,0.5311070727573382
D4,Dataset 4,2,1,3.3294503113179275e-05,0.2951720696787996,2000,0.156,0.16322705475069568
D4,Dataset 4,2,2,0.2951763438111433,0.5866977975625796,2000,0.189,0.19274751252467195
D4,Dataset 4,2,3,0.586899326631924,0.8775547874059046,2000,0.234,0.2336336445170043
D4,Dataset 4,2,4,0.8777289164476086,1.1843982316653987,2000,0.306,0.2932160509381223
D4,Dataset 4,2,5,1.184603668309974,1.4847573460029193,2000,0.3855,0.37480176596912873
D4,Dataset 4,2,6,1.4847585794912725,1.795705604561915,2000,0.4645,0.47861224741603825
D4,Dataset 4,2,7,1.7957236569316923,2.1054435665639133,2000,0.591,0.5942299695923733
D4,Dataset 4,2,8,2.105798564430066,2.4103250018513087,2000,0.711,0.701925680736993
D4,Dataset 4,2,9,2.4104895458780327,2.704610711531441,2000,0.7785,0.7879275802107204
D4,Dataset 4,2,10,2.7046605802431083,2.99995506626941,2000,0.8525,0.8491516273095205
D4,Dataset 4,1,1,2.2341895270505674e-05,0.2933219826851632,2000,0.139,0.15927106488494552
D4,Dataset 4,1,2,0.2937639898862331,0.5970103478727539,2000,0.19,0.19238740695036471
D4,Dataset 4,1,3,0.5970512556504248,0.8994672781474733,2000,0.255,0.23943357707703092
D4,Dataset 4,1,4,0.8995617991699849,1.200852438323332,2000,0.318,0.3051885967896164
D4,Dataset 4,1,5,1.2009132204077324,1.4982182392302978,2000,0.394,0.3925317749122279
D4,Dataset 4,1,6,1.4982443049258436,1.7959874106492102,2000,0.486,0.49295431694757896
D4,Dataset 4,1,7,1.7962161167919657,2.0967388936096945,2000,0.583,0.6001468190980686
D4,Dataset 4,1,8,2.0968939115874834,2.3954422503019526,2000,0.717,0.6965571524325929
D4,Dataset 4,1,9,2.395971429464173,2.6931635660404245,2000,0.7665,0.7749993367241804
D4,Dataset 4,1,10,2.693319006382629,2.999970461865378,2000,0.8365,0.8348019519082353
D4,Dataset 4,0,1,0.00013104294228805102,0.3053802130372707,2000,0.169,0.16440605396711788
D4,Dataset 4,0,2,0.3054905858352329,0.6070259857352327,2000,0.187,0.1989093495992069
D4,Dataset 4,0,3,0.6070946817000786,0.8998089257078613,2000,0.2445,0.2460478610400712
D4,Dataset 4,0,4,0.8999902998543198,1.205804562816009,2000,0.32,0.3120639095773586
D4,Dataset 4,0,5,1.2064466453235685,1.514621727896253,2000,0.4135,0.3985025830104691
D4,Dataset 4,0,6,1.5146274145237149,1.808154259093473,2000,0.497,0.4996038082964733
D4,Dataset 4,0,7,1.8082249498998961,2.1168074866151882,2000,0.589,0.6048887493433022
D4,Dataset 4,0,8,2.1171107526610347,2.405987817012514,2000,0.7035,0.7033743751463633
D4,Dataset 4,0,9,2.406146869378893,2.7056124300179265,2000,0.793,0.7842946246467476
D4,Dataset 4,0,10,2.7057288923826484,2.999829525499235,2000,0.8435,0.8481194605875101
