Scenario,Dataset,Rep,Parameter,true,estimate
D2,Dataset 2,1,beta_z[0],5.0,5.134111438631106
D2,Dataset 2,1,beta_z[1],-0.5,-0.8200506040526186
D2,Dataset 2,1,gamma_z[0],0.1,0.28513169683775325
D2,Dataset 2,1,gamma_z[1],3.1,2.90692417929212
D2,Dataset 2,1,beta_nb[0],10.0,10.714399189693749
D2,Dataset 2,1,beta_nb[1],2.5,1.9304394289733453
D2,Dataset 2,1,gamma_nb[0],-1.7,-2.0412479000172636
D2,Dataset 2,1,gamma_nb[1],2.0,2.1613227986441883
D2,Dataset 2,2,beta_z[0],5.0,5.280818478403036
D2,Dataset 2,2,beta_z[1],-0.5,-0.4522462341588009
D2,Dataset 2,2,gamma_z[0],0.1,0.1141815629797218
D2,Dataset 2,2,gamma_z[1],3.1,3.002269084349428
D2,Dataset 2,2,beta_nb[0],10.0,10.012518649088092
D2,Dataset 2,2,beta_nb[1],2.5,2.3148906392550983
D2,Dataset 2,2,gamma_nb[0],-1.7,-1.5928355115861625
D2,Dataset 2,2,gamma_nb[1],2.0,1.9596977894417398
D2,Dataset 2,0,beta_z[0],5.0,4.657716894586531
D2,Dataset 2,0,beta_z[1],-0.5,-0.3825700948281289
D2,Dataset 2,0,gamma_z[0],0.1,0.23280092953284592
D2,Dataset 2,0,gamma_z[1],3.1,2.335539230023748
D2,Dataset 2,0,beta_nb[0],10.0,10.017931908410597
D2,Dataset 2,0,beta_nb[1],2.5,2.917843694486843
D2,Dataset 2,0,gamma_nb[0],-1.7,-1.4783090238903742
D2,Dataset 2,0,gamma_nb[1],2.0,1.9989964654392693
D2,Dataset 2,3,beta_z[0],5.0,5.4018245506175475
D2,Dataset 2,3,beta_z[1],-0.5,-0.49078341794739744
D2,Dataset 2,3,gamma_z[0],0.1,0.1815128833574237
D2,Dataset 2,3,gamma_z[1],3.1,3.780444731067095
D2,Dataset 2,3,beta_nb[0],10.0,9.360256087759387
D2,Dataset 2,3,beta_nb[1],2.5,2.6372991496322697
D2,Dataset 2,3,gamma_nb[0],-1.7,-1.9459934971251052
D2,Dataset 2,3,gamma_nb[1],2.0,2.1897565832603374
D3,Dataset 3,0,beta_z[0],6.6,6.619781229917143
D3,Dataset 3,0,beta_z[1],-2.1,-2.1122768990051113
D3,Dataset 3,0,gamma_z[0],-2.5,-2.2564882161147852
D3,Dataset 3,0,gamma_z[1],2.0,1.8656403758785731
D3,Dataset 3,0,beta_nb[0],8.0,8.450455125247517
D3,Dataset 3,0,beta_nb[1],2.5,2.249018738513226
D3,Dataset 3,0,gamma_nb[0],-2.5,-2.518685538720862
D3,Dataset 3,0,gamma_nb[1],2.5,2.5204647372371562
D3,Dataset 3,4,beta_z[0],6.6,6.655173088667869
D3,Dataset 3,4,beta_z[1],-2.1,-2.1572813175520817
D3,Dataset 3,4,gamma_z[0],-2.5,-2.505098884561604
D3,Dataset 3,4,gamma_z[1],2.0,2.0048825028907715
D3,Dataset 3,4,beta_nb[0],8.0,8.511307488898403
D3,Dataset 3,4,beta_nb[1],2.5,1.9372634783896205
D3,Dataset 3,4,gamma_nb[0],-2.5,-2.3896268253292936
D3,Dataset 3,4,gamma_nb[1],2.5,2.407395424323459
D2,Dataset 2,4,beta_z[0],5.0,4.4857309334683375
D2,Dataset 2,4,beta_z[1],-0.5,1.7157116711710432
D2,Dataset 2,4,gamma_z[0],0.1,0.03199226956983088
D2,Dataset 2,4,gamma_z[1],3.1,3.2562031885334957
D2,Dataset 2,4,beta_nb[0],10.0,9.487668142905354
D2,Dataset 2,4,beta_nb[1],2.5,2.8157787595495325
D2,Dataset 2,4,gamma_nb[0],-1.7,-1.4263979600840928
D2,Dataset 2,4,gamma_nb[1],2.0,1.9463041069752638
D3,Dataset 3,3,beta_z[0],6.6,6.806472115202941
D3,Dataset 3,3,beta_z[1],-2.1,-2.199375189289572
D3,Dataset 3,3,gamma_z[0],-2.5,-2.2217398350045574
D3,Dataset 3,3,gamma_z[1],2.0,1.888384944618
D3,Dataset 3,3,beta_nb[0],8.0,7.904237412877701
D3,Dataset 3,3,beta_nb[1],2.5,2.907420016692986
D3,Dataset 3,3,gamma_nb[0],-2.5,-2.7554491496404347
D3,Dataset 3,3,gamma_nb[1],2.5,2.5974731593254266
D3,Dataset 3,1,beta_z[0],6.6,6.719436605045847
D3,Dataset 3,1,beta_z[1],-2.1,-2.23983425185717
D3,Dataset 3,1,gamma_z[0],-2.5,-2.528331002404523
D3,Dataset 3,1,gamma_z[1],2.0,2.0192960045796546
D3,Dataset 3,1,beta_nb[0],8.0,8.073464718135638
D3,Dataset 3,1,beta_nb[1],2.5,1.9577444104668584
D3,Dataset 3,1,gamma_nb[0],-2.5,-2.3790532694525326
D3,Dataset 3,1,gamma_nb[1],2.5,2.415670914902195
D3,Dataset 3,2,beta_z[0],6.6,6.432272771026613
D3,Dataset 3,2,beta_z[1],-2.1,-2.0070300574873188
D3,Dataset 3,2,gamma_z[0],-2.5,-2.5313777553771732
D3,Dataset 3,2,gamma_z[1],2.0,2.0101272313817207
D3,Dataset 3,2,beta_nb[0],8.0,8.017511763907558
D3,Dataset 3,2,beta_nb[1],2.5,2.5553080950213016
D3,Dataset 3,2,gamma_nb[0],-2.5,-2.5084446071539936
D3,Dataset 3,2,gamma_nb[1],2.5,2.57313621698629
D1,Dataset 1,2,beta_z[0],2.0,1.973214382820962
D1,Dataset 1,2,beta_z[1],1.0,1.006535593682049
D1,Dataset 1,2,gamma_z[0],-2.0,-2.134325786767647
D1,Dataset 1,2,gamma_z[1],1.0,1.0720996229227
D1,Dataset 1,2,beta_nb[0],4.0,4.370574395093062
D1,Dataset 1,2,beta_nb[1],3.5,3.2041340395888316
D1,Dataset 1,2,gamma_nb[0],1.0,1.0667330572622058
D1,Dataset 1,2,gamma_nb[1],-3.0,-2.500719008450146
D1,Dataset 1,1,beta_z[0],2.0,1.9869582728799422
D1,Dataset 1,1,beta_z[1],1.0,0.9721275029986998
D1,Dataset 1,1,gamma_z[0],-2.0,-1.987520260861519
D1,Dataset 1,1,gamma_z[1],1.0,0.9775164767949012
D1,Dataset 1,1,beta_nb[0],4.0,4.417353189779731
D1,Dataset 1,1,beta_nb[1],3.5,3.761308149073833
D1,Dataset 1,1,gamma_nb[0],1.0,1.1593711608884143
D1,Dataset 1,1,gamma_nb[1],-3.0,-2.917494054981227
D1,Dataset 1,0,beta_z[0],2.0,1.9618234527692304
D1,Dataset 1,0,beta_z[1],1.0,0.9898773037701868
D1,Dataset 1,0,gamma_z[0],-2.0,-1.9964383673828914
D1,Dataset 1,0,gamma_z[1],1.0,0.9899433926094122
D1,Dataset 1,0,beta_nb[0],4.0,3.9937281276260475
D1,Dataset 1,0,beta_nb[1],3.5,3.9109887910673073
D1,Dataset 1,0,gamma_nb[0],1.0,0.6795668172423539
D1,Dataset 1,0,gamma_nb[1],-3.0,-2.2719807511703913
D1,Dataset 1,3,beta_z[0],2.0,1.9292204358658696
D1,Dataset 1,3,beta_z[1],1.0,1.073164667643995
D1,Dataset 1,3,gamma_z[0],-2.0,-2.156652996731247
D1,Dataset 1,3,gamma_z[1],1.0,1.0631367701519514
D1,Dataset 1,3,beta_nb[0],4.0,4.196774837589733
D1,Dataset 1,3,beta_nb[1],3.5,3.0597573781460197
D1,Dataset 1,3,gamma_nb[0],1.0,1.112813958144605
D1,Dataset 1,3,gamma_nb[1],-3.0,-3.2282242261387335
D1,Dataset 1,4,beta_z[0],2.0,1.9213321820157157
D1,Dataset 1,4,beta_z[1],1.0,1.0990023887520248
D1,Dataset 1,4,gamma_z[0],-2.0,-2.255099973614118
D1,Dataset 1,4,gamma_z[1],1.0,1.087870425591655
D1,Dataset 1,4,beta_nb[0],4.0,3.8117637629858776
D1,Dataset 1,4,beta_nb[1],3.5,3.4453585978096384
D1,Dataset 1,4,gamma_nb[0],1.0,0.6541217568438982
D1,Dataset 1,4,gamma_nb[1],-3.0,-2.275409140584443
D4,Dataset 4,2,beta_z[0],5.0,5.05544816314479
D4,Dataset 4,2,beta_z[1],1.5,1.4956734668413076
D4,Dataset 4,2,gamma_z[0],-2.0,-1.6494566386875391
D4,Dataset 4,2,gamma_z[1],1.0,0.8714884053401782
D4,Dataset 4,2,beta_nb[0],6.0,5.928496249856067
D4,Dataset 4,2,beta_nb[1],-1.0,-0.8384970701780808
D4,Dataset 4,2,gamma_nb[0],-3.7,-3.8192481985605746
D4,Dataset 4,2,gamma_nb[1],2.0,2.059647611266556
D4,Dataset 4,1,beta_z[0],5.0,4.7489106414764635
D4,Dataset 4,1,beta_z[1],1.5,1.6587360056020182
D4,Dataset 4,1,gamma_z[0],-2.0,-2.1764799096193506
D4,Dataset 4,1,gamma_z[1],1.0,0.9222398872594768
D4,Dataset 4,1,beta_nb[0],6.0,6.260106754323293
D4,Dataset 4,1,beta_nb[1],-1.0,-1.2671060897296516
D4,Dataset 4,1,gamma_nb[0],-3.7,-3.4298334063915785
D4,Dataset 4,1,gamma_nb[1],2.0,1.9540970459715323
D4,Dataset 4,3,beta_z[0],5.0,5.054319594622414
D4,Dataset 4,3,beta_z[1],1.5,1.460689974765601
D4,Dataset 4,3,gamma_z[0],-2.0,-2.4584479804442063
D4,Dataset 4,3,gamma_z[1],1.0,1.140490068306818
D4,Dataset 4,3,beta_nb[0],6.0,5.902789862487914
D4,Dataset 4,3,beta_nb[1],-1.0,-0.9973821832883621
D4,Dataset 4,3,gamma_nb[0],-3.7,-3.4416585572340095
D4,Dataset 4,3,gamma_nb[1],2.0,1.9083564211227058
D4,Dataset 4,0,beta_z[0],5.0,4.956164790853003
D4,Dataset 4,0,beta_z[1],1.5,1.4787009567048313
D4,Dataset 4,0,gamma_z[0],-2.0,-2.2674960145842875
D4,Dataset 4,0,gamma_z[1],1.0,1.1296486205159977
D4,Dataset 4,0,beta_nb[0],6.0,6.043073499079808
D4,Dataset 4,0,beta_nb[1],-1.0,-1.0632536177097678
D4,Dataset 4,0,gamma_nb[0],-3.7,-3.3280965265542064
D4,Dataset 4,0,gamma_nb[1],2.0,1.8369068969531737
D4,Dataset 4,4,beta_z[0],5.0,4.9241923594834764
D4,Dataset 4,4,beta_z[1],1.5,1.6150196291424654
D4,Dataset 4,4,gamma_z[0],-2.0,-2.0758490059418473
D4,Dataset 4,4,gamma_z[1],1.0,1.073197371012125
D4,Dataset 4,4,beta_nb[0],6.0,6.221322061982872
D4,Dataset 4,4,beta_nb[1],-1.0,-1.0492366092292853
