Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D2,Dataset 2,1,Poisson,0.5397553443908691,True,18,-78881.85809868333,157767.71619736665,157783.52317247173
D2,Dataset 2,1,NB,3.8917667865753174,True,16,-20873.214497493624,41752.42899498725,41776.13945764486
D2,Dataset 2,1,ZIP,6.087113380432129,True,12,-29457.68201047261,58923.36402094522,58954.977971155364
D2,Dataset 2,1,ZINB,5.688775300979614,True,12,-18722.819006382677,37455.638012765354,37495.15545052804
D2,Dataset 2,1,P+NB,18.79526662826538,True,47,-20768.059090048802,41548.118180097605,41595.53910541282
D2,Dataset 2,1,Z+P+NB,17.511242866516113,True,32,-18673.982947054043,37363.965894108085,37427.19379452837
D2,Dataset 2,1,ZIP--ZINB,23.650686264038086,True,18,-18654.339464940713,37328.678929881426,37407.713805406784
D2,Dataset 2,2,Poisson,0.6496059894561768,True,16,-80429.99279392786,160863.9855878557,160879.7925629608
D2,Dataset 2,2,NB,3.1768810749053955,True,22,-21451.20142698197,42908.40285396394,42932.11331662155
D2,Dataset 2,2,ZIP,6.197094678878784,True,12,-30296.13587589228,60600.27175178456,60631.8857019947
D2,Dataset 2,2,ZINB,4.6513447761535645,True,23,-19232.178820470966,38474.35764094193,38513.875078704616
D2,Dataset 2,2,P+NB,14.07070779800415,True,60,-21227.671344888993,42467.34268977799,42514.7636150932
D2,Dataset 2,2,Z+P+NB,21.29895281791687,True,24,-19193.49504067415,38402.9900813483,38466.21798176858
D2,Dataset 2,2,ZIP--ZINB,33.410680294036865,True,14,-19171.662473055854,38363.32494611171,38442.35982163707
D2,Dataset 2,0,Poisson,0.6702480316162109,True,16,-80393.47448303025,160790.9489660605,160806.75594116558
D2,Dataset 2,0,NB,3.3019750118255615,True,11,-21279.144442641966,42564.28888528393,42587.99934794154
D2,Dataset 2,0,ZIP,7.552313566207886,True,15,-30447.659846361345,60903.31969272269,60934.93364293283
D2,Dataset 2,0,ZINB,6.332902193069458,True,22,-19080.229873873694,38170.45974774739,38209.97718551007
