Scenario,Dataset,Rep,Parameter,true,estimate
D2,Dataset 2,1,rho,0.5,0.5530427950170951
D2,Dataset 2,1,lambda,4.250253894313932,3.9044519449231894
D2,Dataset 2,1,pi,0.9313306711782571,0.9362606080670699
D2,Dataset 2,1,varphi,13.748730528430341,13.609078077964956
D2,Dataset 2,1,alpha,1.0,0.974466064487061
D2,Dataset 2,1,omega,0.6913296982414571,0.6685333249747184
D2,Dataset 2,2,rho,0.5,0.47251858837601374
D2,Dataset 2,2,lambda,4.248259440481134,4.6008748041893615
D2,Dataset 2,2,pi,0.9309380892604184,0.9294306385566335
D2,Dataset 2,2,varphi,13.75870279759433,13.49291301784532
D2,Dataset 2,2,alpha,1.0,1.0300238505898642
D2,Dataset 2,2,omega,0.6916064358160608,0.7005456203094156
D2,Dataset 2,0,rho,0.5,0.44786365450688703
D2,Dataset 2,0,lambda,4.2457667373249075,4.0806227129382515
D2,Dataset 2,0,pi,0.9326039289448754,0.9185864107803491
D2,Dataset 2,0,varphi,13.771166313375465,14.419401447748116
D2,Dataset 2,0,alpha,1.0,0.9891357565554596
D2,Dataset 2,0,omega,0.6939959292996505,0.7240702944298244
D2,Dataset 2,3,rho,0.5,0.4872637883299563
D2,Dataset 2,3,lambda,4.254242642696852,4.669813861064233
D2,Dataset 2,3,pi,0.9314619889793981,0.9473564090748774
D2,Dataset 2,3,varphi,13.728786786515741,13.29382657625459
D2,Dataset 2,3,alpha,1.0,1.0310045815904918
D2,Dataset 2,3,omega,0.6897871168853392,0.6837345946777594
D3,Dataset 3,0,rho,0.4,0.41522188006804217
D3,Dataset 3,0,lambda,3.43285440765202,3.434120053487383
D3,Dataset 3,0,pi,0.5777251577841781,0.5877385227796974
D3,Dataset 3,0,varphi,11.77041141946188,11.842345498957124
D3,Dataset 3,0,alpha,1.0,0.9466965116123156
D3,Dataset 3,0,omega,0.6594175160273058,0.6598798145046795
D3,Dataset 3,4,rho,0.4,0.4013329731830639
D3,Dataset 3,4,lambda,3.448422431520106,3.417630512811731
D3,Dataset 3,4,pi,0.5751744612879669,0.5753787484438224
D3,Dataset 3,4,varphi,11.751878057714158,11.418658023530812
D3,Dataset 3,4,alpha,1.0,1.0241097756515403
D3,Dataset 3,4,omega,0.6572120846142364,0.6582491115932239
D2,Dataset 2,4,rho,0.5,0.40747963680720006
D2,Dataset 2,4,lambda,4.248911067880447,7.063035027318161
D2,Dataset 2,4,pi,0.9304400881750382,0.9303880441386682
D2,Dataset 2,4,varphi,13.755444660597766,13.717468666095307
D2,Dataset 2,4,alpha,1.0,1.1042376971538603
D2,Dataset 2,4,omega,0.6907747511841102,0.7206745689547799
D3,Dataset 3,3,rho,0.4,0.4258534879379643
D3,Dataset 3,3,lambda,3.4475323304274252,3.504824887824162
D3,Dataset 3,3,pi,0.5752299278484586,0.5954079755256925
D3,Dataset 3,3,varphi,11.752937701872114,12.268783891207603
D3,Dataset 3,3,alpha,1.0,1.0548951084088662
D3,Dataset 3,3,omega,0.657574438801491,0.6397169393354537
D3,Dataset 3,1,rho,0.4,0.38035001094083
D3,Dataset 3,1,lambda,3.4577412224211557,3.3679419201792116
D3,Dataset 3,1,pi,0.57432928367549,0.5739214065226467
D3,Dataset 3,1,varphi,11.740784259022435,11.002864507681068
D3,Dataset 3,1,alpha,1.0,1.0080980537674826
D3,Dataset 3,1,omega,0.6564604668537574,0.6599648144779517
D3,Dataset 3,2,rho,0.4,0.39479647902415704
D3,Dataset 3,2,lambda,3.458415062925774,3.4297702010945286
D3,Dataset 3,2,pi,0.5729016889103898,0.570233974002288
