Scenario,Dataset,Model,mean_fit_elapsed_sec,sd_fit_elapsed_sec,n_fit_elapsed_sec
D2,Dataset 2,Poisson,0.773187255859375,0.21829277784944967,5
D2,Dataset 2,NB,3.5620167732238768,0.3586726219595657,5
D2,Dataset 2,ZIP,6.270775079727173,0.748126274300199,5
D2,Dataset 2,ZINB,6.303760576248169,1.2014361171172232,5
D2,Dataset 2,P+NB,16.062945795059203,2.448799045818467,5
D2,Dataset 2,Z+P+NB,19.03118567466736,1.4589720629369913,5
D2,Dataset 2,ZIP--ZINB,33.720030069351196,5.910407754587336,5
D3,Dataset 3,Poisson,1.3073334693908691,0.7338596552253708,5
D3,Dataset 3,NB,4.698776149749756,1.0956325425101379,5
D3,Dataset 3,ZIP,4.297883224487305,0.67704336132428,5
D3,Dataset 3,ZINB,8.291560316085816,1.4865357622633133,5
D3,Dataset 3,P+NB,16.85938901901245,3.1242274069470195,5
D3,Dataset 3,Z+P+NB,21.26112742424011,2.145006193567807,5
D3,Dataset 3,ZIP--ZINB,38.76838159561157,2.73733169168796,5
D1,Dataset 1,Poisson,0.6693079471588135,0.1405556715339076,5
D1,Dataset 1,NB,2.323168659210205,0.5384910198355867,5
D1,Dataset 1,ZIP,5.983856725692749,1.282858208870585,5
D1,Dataset 1,ZINB,12.761404848098755,2.2741893966628473,5
D1,Dataset 1,P+NB,11.637786483764648,0.749479347824967,5
D1,Dataset 1,Z+P+NB,28.534159231185914,2.041049314123047,5
D1,Dataset 1,ZIP--ZINB,49.450339031219485,2.9646400591494286,5
D4,Dataset 4,Poisson,0.6873716354370117,0.2013811835387911,5
D4,Dataset 4,NB,1.6183192729949951,0.21833235792612438,5
D4,Dataset 4,ZIP,4.55440468788147,0.6677312867742901,5
D4,Dataset 4,ZINB,5.9062333583831785,3.272603365482256,5
D4,Dataset 4,P+NB,11.152866792678832,1.766050940414298,5
D4,Dataset 4,Z+P+NB,21.936666584014894,2.3636849447997776,5
D4,Dataset 4,ZIP--ZINB,34.30867915153503,5.483821224908031,5
