"SourceFolder","Dataset","Link","RestrictedModel","ObservedLRT","BootstrapPValue","BootstrapRepsRequested","BootstrapRepsSucceeded","BootstrapMeanLRT","BootstrapQ95","ElapsedSec","BootstrapSource","Decision"
"C2_identity_Poisson","C2","identity","Poisson",1367.07504577476,0.01,99,99,1.07225738632659,4.634262055418,156.51876449585,"B=99","Reject"
"C2_identity_NB","C2","identity","NB",192.168839199173,0.01,99,99,6.06953975150765,14.6342709659866,191.784849405289,"B=99","Reject"
"C2_identity_ZIP","C2","identity","ZIP",0.0023604735852131,0.97,99,99,5.15048965002865,10.9895366038852,187.719555854797,"B=99","Fail"
"C2_identity_ZINB","C2","identity","ZINB",0.0006847775084679,0.7,99,99,2.73978775091403,8.92062931880882,165.617770195007,"B=99","Fail"
"C2_identity_P_plus_NB","C2","identity","P+NB",18.7674076731973,0.01,99,99,1.86763159231687,8.38183025941671,234.889795303345,"B=99","Reject"
"C2_identity_Z_plus_P_plus_NB","C2","identity","Z+P+NB",0.0023271370573638,0.56,99,99,1.43439136497779,5.6140341542843,164.431754112244,"B=99","Fail"
"C2_log_Poisson","C2","log","Poisson",1380.27900741577,0.01,99,99,2.84182456918091,7.85041989415785,141.63591170311,"B=99","Reject"
"C2_log_NB","C2","log","NB",203.93265743165,0.01,99,99,9.36581229172651,17.4711444722734,170.673064231873,"B=99","Reject"
"C2_log_ZIP","C2","log","ZIP",10.2681125245272,0.14,99,99,5.6387392545135,13.258638448039,225.253124713898,"B=99","Fail"
"C2_log_ZINB","C2","log","ZINB",10.2662937518107,0.1,99,99,5.71056503114413,12.0897322709335,193.247091293335,"B=99","Fail"
"C2_log_P_plus_NB","C2","log","P+NB",15.3257556824256,0.03,99,99,4.49414225105104,10.6968299961625,240.154517173767,"B=99","Reject"
"C2_log_Z_plus_P_plus_NB","C2","log","Z+P+NB",2.33104439979252,0.31,99,99,1.90621430388281,5.44341830648209,277.658686161041,"B=99","Fail"
"C3_identity_Poisson","C3","identity","Poisson",776.518597024318,0.01,99,99,1.86949588133904,7.85020256226552,125.174641609192,"B=99","Reject"
"C3_identity_NB","C3","identity","NB",148.106063165327,0.01,99,99,5.46291891123517,13.5859811126013,163.308705329895,"B=99","Reject"
"C3_identity_ZIP","C3","identity","ZIP",5.6655858267095,0.35,99,99,4.93300698025181,11.1122611212274,177.9509370327,"B=99","Fail"
"C3_identity_ZINB","C3","identity","ZINB",4.60752021147528,0.51,99,99,5.14619499651087,9.62444457661313,180.962599754333,"B=99","Fail"
"C3_identity_P_plus_NB","C3","identity","P+NB",3.1584620162912,0.33,99,99,2.91575588440551,9.30496454513713,202.963979959488,"B=99","Fail"
"C3_identity_Z_plus_P_plus_NB","C3","identity","Z+P+NB",1.88707375024933,0.33,99,99,1.64579163791124,4.19520132516618,209.651233673096,"B=99","Fail"
"C3_log_Poisson","C3","log","Poisson",781.890276248203,0.01,99,99,3.25477931598655,8.66337877338082,112.439266443253,"B=99","Reject"
"C3_log_NB","C3","log","NB",152.678268037506,0.01,99,99,9.19518260006246,17.9274861678453,140.588678836823,"B=99","Reject"
"C3_log_ZIP","C3","log","ZIP",8.2570229720186,0.26,99,99,6.10079376967458,12.8885966785707,162.63414645195,"B=99","Fail"
"C3_log_ZINB","C3","log","ZINB",7.47102578096656,0.26,99,99,5.61209261150661,11.142019949771,162.212666034698,"B=99","Fail"
"C3_log_P_plus_NB","C3","log","P+NB",1.49733082514376,0.81,99,99,3.52274399330952,7.61278216726086,175.222053527832,"B=99","Fail"
"C3_log_Z_plus_P_plus_NB","C3","log","Z+P+NB",0.516086283252662,0.83,99,99,2.43094173078767,7.56425264495174,186.286920547485,"B=99","Fail"
"H2AX1H60_identity_Poisson","H2AX1H60","identity","Poisson",877.575586435749,0.01,99,99,2.40384680507149,8.12044677399758,32.8496463298798,"B=99","Reject"
"H2AX1H60_identity_NB","H2AX1H60","identity","NB",231.83109388102,0.01,99,99,5.46118709846864,12.0186471452098,43.6713795661926,"B=99","Reject"
"H2AX1H60_identity_ZIP","H2AX1H60","identity","ZIP",73.5521730059731,0.01,99,99,3.78312738860187,9.07255596633681,37.2554059028625,"B=99","Reject"
"H2AX1H60_identity_ZINB","H2AX1H60","identity","ZINB",57.5399136790866,0.01,99,99,5.71455852064783,11.4391055435042,37.0869171619415,"B=99","Reject"
"H2AX1H60_identity_P_plus_NB","H2AX1H60","identity","P+NB",38.162769676635,0.01,99,99,2.79061787457516,7.18657844262475,45.6511354446411,"B=99","Reject"
"H2AX1H60_identity_Z_plus_P_plus_NB","H2AX1H60","identity","Z+P+NB",28.8823448452581,0.01,99,99,1.73213433935273,4.78355640327704,42.3564836978912,"B=99","Reject"
"H2AX1H60_log_Poisson","H2AX1H60","log","Poisson",865.687732107739,0.01,99,99,2.30870591455399,7.20511434977857,24.3475742340088,"B=99","Reject"
"H2AX1H60_log_NB","H2AX1H60","log","NB",229.128874434005,0.01,99,99,6.41532361782015,14.3047074942947,29.9230909347534,"B=99","Reject"
"H2AX1H60_log_ZIP","H2AX1H60","log","ZIP",72.2718067209685,0.01,99,99,3.78413610517542,10.7375345079601,36.2570610046387,"B=99","Reject"
"H2AX1H60_log_ZINB","H2AX1H60","log","ZINB",56.4028582318879,0.01,99,99,5.40667350016967,10.3750629592027,65.3963038921356,"B=99","Reject"
"H2AX1H60_log_P_plus_NB","H2AX1H60","log","P+NB",24.5612978988211,0.01,99,99,2.2536445446437,5.81377564897429,43.628719329834,"B=99","Reject"
"H2AX1H60_log_Z_plus_P_plus_NB","H2AX1H60","log","Z+P+NB",21.4705965592902,0.01,99,99,1.69390611853653,5.87433784976842,68.5513095855713,"B=99","Reject"
"H2AX4H100_identity_Poisson","H2AX4H100","identity","Poisson",170.097136710284,0.01,99,99,2.04567882808081,7.29441197959486,29.6325831413269,"B=99","Reject"
"H2AX4H100_identity_NB","H2AX4H100","identity","NB",164.332633766416,0.01,99,99,3.32080117810898,7.36538315499033,28.2868802547455,"B=99","Reject"
"H2AX4H100_identity_ZIP","H2AX4H100","identity","ZIP",5.52957347569918,0.24,99,99,3.47569075592744,7.72599481707743,35.4771761894226,"B=99","Fail"
