"Dataset","Link","RestrictedModel","BootstrapMinutes","BootstrapRepsSucceeded"
"C2","identity","Poisson",2.60864607493083,99
"C2","identity","NB",3.19641415675481,99
"C2","identity","ZIP",3.12865926424662,99
"C2","identity","ZINB",2.76029616991679,99
"C2","identity","P+NB",3.91482992172241,99
"C2","identity","Z+P+NB",2.74052923520406,99
"C2","log","Poisson",2.36059852838516,99
"C2","log","NB",2.84455107053121,99
"C2","log","ZIP",3.75421874523163,99
"C2","log","ZINB",3.22078485488892,99
"C2","log","P+NB",4.00257528622945,99
"C2","log","Z+P+NB",4.62764476935069,99
"C3","identity","Poisson",2.08624402681986,99
"C3","identity","NB",2.72181175549825,99
"C3","identity","ZIP",2.96584895054499,99
"C3","identity","ZINB",3.01604332923889,99
"C3","identity","P+NB",3.3827329993248,99
"C3","identity","Z+P+NB",3.49418722788493,99
"C3","log","Poisson",1.87398777405421,99
"C3","log","NB",2.34314464728038,99
"C3","log","ZIP",2.7105691075325,99
"C3","log","ZINB",2.70354443391164,99
"C3","log","P+NB",2.9203675587972,99
"C3","log","Z+P+NB",3.10478200912476,99
"H2AX1H60","identity","Poisson",0.547494105497996,99
"H2AX1H60","identity","NB",0.72785632610321,99
"H2AX1H60","identity","ZIP",0.620923431714376,99
"H2AX1H60","identity","ZINB",0.618115286032359,99
"H2AX1H60","identity","P+NB",0.760852257410685,99
"H2AX1H60","identity","Z+P+NB",0.705941394964854,99
"H2AX1H60","log","Poisson",0.405792903900146,99
"H2AX1H60","log","NB",0.49871818224589,99
"H2AX1H60","log","ZIP",0.604284350077311,99
"H2AX1H60","log","ZINB",1.08993839820226,99
"H2AX1H60","log","P+NB",0.7271453221639,99
"H2AX1H60","log","Z+P+NB",1.14252182642619,99
"H2AX4H100","identity","Poisson",0.493876385688782,99
"H2AX4H100","identity","NB",0.471448004245758,99
"H2AX4H100","identity","ZIP",0.59128626982371,99
"H2AX4H100","identity","ZINB",0.649250741799672,99
"H2AX4H100","identity","P+NB",0.724989751974742,99
"H2AX4H100","identity","Z+P+NB",0.633143933614095,99
"H2AX4H100","log","Poisson",0.387814394632975,99
"H2AX4H100","log","NB",0.485589754581451,99
"H2AX4H100","log","ZIP",0.493027301629384,99
"H2AX4H100","log","ZINB",0.4435538093249,99
"H2AX4H100","log","P+NB",0.689673042297363,99
"H2AX4H100","log","Z+P+NB",0.561331419150035,99
